TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
301370 ,96.5 ,97 ,92.7 ,90.0 ,1.1,-39.4 ,-48.3 ,-33.4
301490 ,98.2 ,98 ,92.7 ,90.0 ,0.0,-39.8 ,-47.9 ,-33.2
301580 ,97.3 ,97 ,92.7 ,89.2 ,1.1,-38.4 ,-47.5 ,-34.6
301670 ,97.3 ,97 ,91.8 ,89.2 ,1.1,-37.9 ,-47.2 ,-35.4
301790 ,97.3 ,97 ,92.7 ,89.2 ,1.1,-37.7 ,-46.9 ,-35.8
301880 ,97.3 ,97 ,91.8 ,90.0 ,0.0,-37.4 ,-46.4 ,-36.3
301970 ,97.3 ,97 ,91.8 ,89.2 ,1.1,-37.3 ,-45.9 ,-36.4
302090 ,98.2 ,97 ,92.7 ,89.2 ,1.1,-37.3 ,-45.5 ,-36.3
302180 ,97.3 ,97 ,91.8 ,90.0 ,2.2,-37.3 ,-45.5 ,-36.0
302270 ,97.3 ,98 ,92.7 ,88.4 ,0.0,-37.3 ,-45.3 ,-35.9
302390 ,97.3 ,97 ,92.7 ,89.2 ,1.1,-37.6 ,-45.2 ,-35.5
302480 ,97.3 ,98 ,91.8 ,89.2 ,1.1,-37.6 ,-45.1 ,-35.4
302570 ,97.3 ,97 ,91.8 ,89.2 ,0.0,-37.7 ,-45.0 ,-35.3
302690 ,98.2 ,97 ,91.8 ,89.2 ,1.1,-37.8 ,-45.0 ,-35.3
302780 ,98.2 ,98 ,91.8 ,90.0 ,1.1,-38.1 ,-45.0 ,-35.2
302870 ,97.3 ,97 ,91.8 ,89.2 ,1.1,-38.3 ,-45.1 ,-35.1
302990 ,97.3 ,97 ,92.7 ,89.2 ,1.1,-38.6 ,-45.0 ,-35.0
303080 ,98.2 ,97 ,90.9 ,90.0 ,2.2,-38.7 ,-44.9 ,-35.0
303170 ,97.3 ,97 ,92.7 ,89.2 ,1.1,-38.9 ,-44.8 ,-34.9
303290 ,97.3 ,97 ,91.8 ,89.2 ,1.1,-39.1 ,-44.9 ,-34.6
303380 ,97.3 ,97 ,91.8 ,90.0 ,0.0,-39.1 ,-45.0 ,-34.5
303500 ,97.3 ,97 ,91.8 ,89.2 ,0.0,-39.4 ,-45.1 ,-34.1
303590 ,97.3 ,98 ,92.7 ,89.2 ,1.1,-39.7 ,-45.1 ,-33.7
303680 ,97.3 ,97 ,91.8 ,89.2 ,1.1,-39.9 ,-45.1 ,-33.5
303800 ,97.3 ,97 ,91.8 ,90.0 ,0.0,-40.3 ,-45.3 ,-33.2
303890 ,97.3 ,97 ,91.8 ,90.0 ,0.0,-40.5 ,-45.4 ,-32.9
303980 ,97.3 ,97 ,91.8 ,89.2 ,1.1,-40.7 ,-45.5 ,-32.5
304100 ,97.3 ,97 ,91.8 ,89.2 ,1.1,-40.9 ,-45.6 ,-32.2
304190 ,97.3 ,97 ,91.8 ,89.2 ,0.0,-41.0 ,-45.8 ,-32.1
304280 ,98.2 ,97 ,91.8 ,89.2 ,1.1,-41.1 ,-45.9 ,-32.0
304400 ,97.3 ,97 ,92.7 ,89.2 ,1.1,-41.2 ,-45.8 ,-31.7
