TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
132790 ,97.8 ,98 ,96.8 ,96.4 ,96.2,-62.5 ,40.0 ,-56.2
132910 ,97.8 ,98 ,96.8 ,96.4 ,96.2,-62.5 ,40.1 ,-56.3
133000 ,96.7 ,98 ,95.7 ,95.2 ,96.2,-62.2 ,40.1 ,-56.1
133090 ,96.7 ,98 ,96.8 ,96.4 ,96.2,-61.9 ,39.8 ,-55.9
133210 ,97.8 ,98 ,96.8 ,95.2 ,96.2,-61.6 ,39.6 ,-55.9
133300 ,97.8 ,98 ,95.7 ,95.2 ,96.2,-61.1 ,39.3 ,-55.8
133390 ,96.7 ,98 ,96.8 ,96.4 ,96.2,-61.0 ,39.2 ,-55.7
133510 ,96.7 ,98 ,96.8 ,96.4 ,94.9,-60.9 ,39.1 ,-55.7
133600 ,96.7 ,98 ,96.8 ,95.2 ,94.9,-61.0 ,39.0 ,-55.9
133690 ,96.7 ,98 ,96.8 ,96.4 ,94.9,-60.9 ,39.0 ,-55.9
133810 ,96.7 ,98 ,96.8 ,95.2 ,94.9,-60.9 ,39.0 ,-55.9
133900 ,97.8 ,97 ,96.8 ,96.4 ,96.2,-60.9 ,39.1 ,-55.9
133990 ,97.8 ,98 ,96.8 ,95.2 ,96.2,-61.0 ,39.2 ,-56.0
134110 ,97.8 ,97 ,96.8 ,95.2 ,94.9,-61.0 ,39.1 ,-56.0
134200 ,97.8 ,98 ,95.7 ,95.2 ,96.2,-60.8 ,39.2 ,-55.8
134290 ,97.8 ,98 ,95.7 ,95.2 ,94.9,-60.7 ,39.0 ,-55.6
134410 ,97.8 ,98 ,96.8 ,94.0 ,94.9,-60.4 ,38.9 ,-55.4
134500 ,97.8 ,98 ,96.8 ,95.2 ,94.9,-60.3 ,38.9 ,-55.4
134590 ,97.8 ,98 ,95.7 ,95.2 ,94.9,-60.0 ,38.9 ,-55.2
134710 ,97.8 ,98 ,95.7 ,96.4 ,96.2,-59.6 ,38.9 ,-54.9
134800 ,97.8 ,98 ,96.8 ,96.4 ,94.9,-59.5 ,38.8 ,-54.7
134890 ,97.8 ,98 ,95.7 ,95.2 ,94.9,-59.4 ,38.8 ,-54.6
135010 ,97.8 ,97 ,95.7 ,95.2 ,96.2,-59.3 ,38.7 ,-54.6
135100 ,96.7 ,98 ,97.8 ,94.0 ,93.6,-59.3 ,38.6 ,-54.5
135190 ,97.8 ,98 ,96.8 ,95.2 ,94.9,-59.2 ,38.6 ,-54.5
135310 ,97.8 ,99 ,96.8 ,95.2 ,94.9,-59.1 ,38.5 ,-54.5
135400 ,96.7 ,98 ,95.7 ,94.0 ,94.9,-59.1 ,38.5 ,-54.5
135490 ,96.7 ,98 ,96.8 ,95.2 ,94.9,-59.0 ,38.5 ,-54.4
