TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
112800 ,12.2 ,93 ,88.3 ,75.8 ,85.7,9.5 ,20.2 ,43.5
112920 ,12.2 ,93 ,88.3 ,76.9 ,84.2,9.3 ,19.9 ,43.8
113010 ,12.2 ,93 ,88.3 ,76.9 ,85.7,9.6 ,19.9 ,43.7
113100 ,12.2 ,93 ,88.3 ,74.7 ,85.7,9.7 ,19.9 ,43.7
113220 ,12.2 ,93 ,88.3 ,76.9 ,84.2,9.9 ,19.9 ,43.8
113310 ,12.2 ,93 ,88.3 ,76.9 ,85.7,9.9 ,19.8 ,43.9
113400 ,12.2 ,93 ,88.3 ,76.9 ,84.2,9.9 ,19.6 ,43.9
113520 ,12.2 ,92 ,88.3 ,75.8 ,87.1,10.1 ,19.5 ,44.0
113610 ,12.2 ,93 ,87.3 ,75.8 ,85.7,10.2 ,19.5 ,44.2
113700 ,13.2 ,93 ,88.3 ,75.8 ,85.7,10.4 ,19.3 ,44.2
113820 ,12.2 ,93 ,88.3 ,76.9 ,85.7,10.5 ,19.1 ,44.3
113910 ,12.2 ,92 ,87.3 ,76.9 ,84.2,10.5 ,19.0 ,44.5
114000 ,12.2 ,93 ,88.3 ,76.9 ,84.2,10.5 ,18.9 ,44.6
114120 ,12.2 ,92 ,88.3 ,75.8 ,85.7,10.7 ,18.9 ,44.8
114210 ,12.2 ,92 ,88.3 ,75.8 ,84.2,10.7 ,18.8 ,44.9
114300 ,13.2 ,92 ,88.3 ,76.9 ,85.7,10.9 ,18.8 ,45.0
114420 ,12.2 ,92 ,87.3 ,76.9 ,84.2,11.2 ,19.2 ,44.9
114510 ,13.2 ,92 ,87.3 ,76.9 ,85.7,11.4 ,19.4 ,45.5
114600 ,14.2 ,93 ,88.3 ,76.9 ,85.7,11.8 ,19.3 ,46.4
114720 ,83.6 ,92 ,87.3 ,75.8 ,85.7,11.8 ,19.0 ,46.9
114810 ,82.6 ,92 ,87.3 ,75.8 ,84.2,11.8 ,18.7 ,46.9
114900 ,82.6 ,92 ,88.3 ,75.8 ,84.2,11.9 ,18.5 ,46.9
115020 ,82.6 ,92 ,87.3 ,75.8 ,84.2,12.0 ,18.4 ,47.0
115110 ,82.6 ,93 ,88.3 ,75.8 ,84.2,12.1 ,18.3 ,47.0
115200 ,81.6 ,92 ,88.3 ,75.8 ,84.2,12.1 ,18.1 ,47.0
115320 ,12.2 ,92 ,88.3 ,76.9 ,84.2,12.1 ,17.7 ,47.2
115410 ,12.2 ,92 ,88.3 ,76.9 ,85.7,12.2 ,17.5 ,47.2
115500 ,12.2 ,92 ,88.3 ,75.8 ,84.2,12.2 ,17.2 ,47.2
115590 ,12.2 ,92 ,88.3 ,78.0 ,85.7,12.1 ,16.9 ,47.3
115710 ,11.2 ,92 ,88.3 ,76.9 ,84.2,12.1 ,16.6 ,47.3
115800 ,13.2 ,92 ,88.3 ,76.9 ,85.7,12.0 ,16.5 ,47.4
115890 ,13.2 ,93 ,87.3 ,75.8 ,85.7,12.0 ,16.3 ,47.4
116010 ,13.2 ,92 ,88.3 ,75.8 ,84.2,12.2 ,16.2 ,47.5
116100 ,13.2 ,92 ,87.3 ,75.8 ,84.2,12.2 ,16.1 ,47.7
116190 ,20.4 ,92 ,88.3 ,75.8 ,84.2,12.1 ,16.0 ,47.6
116310 ,18.3 ,92 ,88.3 ,76.9 ,84.2,12.0 ,15.8 ,47.5
116400 ,18.3 ,92 ,88.3 ,76.9 ,85.7,12.0 ,16.0 ,47.5
116490 ,17.3 ,93 ,87.3 ,75.8 ,84.2,11.9 ,16.0 ,47.4
116610 ,17.3 ,92 ,88.3 ,75.8 ,84.2,11.9 ,16.1 ,47.4
116700 ,21.4 ,93 ,87.3 ,75.8 ,84.2,11.9 ,16.1 ,47.4
116790 ,20.4 ,93 ,87.3 ,75.8 ,84.2,11.9 ,16.2 ,47.3
116910 ,22.4 ,92 ,87.3 ,76.9 ,84.2,11.8 ,16.2 ,47.3
117000 ,21.4 ,92 ,88.3 ,75.8 ,84.2,11.8 ,16.1 ,47.3
117090 ,22.4 ,92 ,88.3 ,76.9 ,84.2,12.0 ,16.1 ,47.3
117210 ,22.4 ,92 ,87.3 ,76.9 ,84.2,12.0 ,16.1 ,47.2
117300 ,19.3 ,92 ,87.3 ,75.8 ,84.2,11.9 ,15.9 ,47.1
117390 ,20.4 ,93 ,87.3 ,75.8 ,84.2,11.8 ,15.7 ,47.0
117510 ,20.4 ,92 ,87.3 ,75.8 ,85.7,11.8 ,15.5 ,46.9
117600 ,14.2 ,92 ,87.3 ,75.8 ,84.2,11.6 ,15.4 ,46.7
117690 ,14.2 ,92 ,88.3 ,75.8 ,85.7,11.9 ,15.7 ,46.6
117810 ,16.3 ,92 ,87.3 ,75.8 ,84.2,12.0 ,15.8 ,46.5
117900 ,18.3 ,92 ,88.3 ,75.8 ,84.2,12.1 ,15.8 ,46.5
117990 ,20.4 ,93 ,87.3 ,75.8 ,84.2,11.9 ,15.7 ,46.4
118110 ,18.3 ,92 ,88.3 ,76.9 ,84.2,11.7 ,15.7 ,46.3
118200 ,18.3 ,92 ,88.3 ,76.9 ,85.7,12.2 ,16.6 ,46.0
118290 ,18.3 ,92 ,87.3 ,75.8 ,84.2,11.9 ,16.8 ,46.1
118410 ,17.3 ,93 ,87.3 ,75.8 ,84.2,11.9 ,16.8 ,46.0
118500 ,18.3 ,92 ,87.3 ,76.9 ,85.7,11.8 ,16.6 ,45.9
118590 ,18.3 ,92 ,88.3 ,75.8 ,84.2,11.7 ,16.6 ,45.8
118710 ,18.3 ,92 ,87.3 ,75.8 ,85.7,11.7 ,16.6 ,45.6
118800 ,17.3 ,92 ,88.3 ,76.9 ,84.2,11.6 ,16.4 ,45.6
118890 ,17.3 ,93 ,88.3 ,75.8 ,84.2,11.5 ,16.2 ,45.5
119010 ,19.3 ,92 ,87.3 ,75.8 ,85.7,11.4 ,16.1 ,45.4
119100 ,19.3 ,92 ,87.3 ,75.8 ,84.2,11.3 ,16.1 ,45.3
119190 ,20.4 ,92 ,88.3 ,75.8 ,85.7,11.2 ,16.1 ,45.3
