TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
149940 ,91.8 ,91 ,90.2 ,2.1 ,87.1,-9.8 ,9.9 ,35.3
150060 ,91.8 ,92 ,90.2 ,3.2 ,90.0,-9.5 ,10.3 ,35.7
150150 ,93.8 ,92 ,90.2 ,3.2 ,91.4,-10.1 ,10.0 ,35.5
150240 ,93.8 ,92 ,90.2 ,3.2 ,91.4,-10.9 ,9.7 ,35.4
150360 ,94.8 ,92 ,89.3 ,2.1 ,91.4,-11.7 ,9.5 ,35.3
150450 ,94.8 ,92 ,90.2 ,3.2 ,91.4,-12.3 ,9.8 ,35.7
150540 ,94.8 ,92 ,90.2 ,2.1 ,90.0,-12.6 ,8.8 ,36.0
150660 ,94.8 ,92 ,90.2 ,2.1 ,88.5,-11.4 ,7.5 ,37.2
150750 ,94.8 ,92 ,89.3 ,2.1 ,78.5,-11.5 ,7.0 ,37.9
150840 ,95.9 ,92 ,89.3 ,2.1 ,70.0,-11.0 ,8.5 ,37.8
150960 ,94.8 ,91 ,88.3 ,3.2 ,75.7,-9.7 ,9.4 ,38.4
151050 ,94.8 ,91 ,88.3 ,1.0 ,78.5,-9.6 ,9.9 ,38.9
151140 ,94.8 ,91 ,88.3 ,2.1 ,81.4,-9.9 ,11.5 ,40.1
151260 ,95.9 ,91 ,89.3 ,3.2 ,84.2,-10.2 ,11.0 ,39.9
151350 ,94.8 ,91 ,88.3 ,3.2 ,85.7,-10.0 ,11.0 ,39.6
151440 ,94.8 ,90 ,89.3 ,3.2 ,85.7,-8.5 ,12.0 ,39.4
151560 ,94.8 ,91 ,88.3 ,3.2 ,85.7,-6.8 ,14.2 ,39.8
151650 ,94.8 ,90 ,89.3 ,3.2 ,85.7,-6.9 ,13.4 ,39.2
151740 ,94.8 ,90 ,89.3 ,4.3 ,85.7,-7.1 ,13.0 ,38.8
151860 ,94.8 ,90 ,88.3 ,3.2 ,85.7,-7.2 ,13.0 ,38.9
151950 ,93.8 ,90 ,89.3 ,3.2 ,85.7,-7.3 ,13.1 ,38.7
152040 ,93.8 ,90 ,88.3 ,2.1 ,85.7,-7.5 ,13.6 ,38.2
152160 ,93.8 ,90 ,88.3 ,1.0 ,85.7,-7.6 ,13.8 ,38.2
152250 ,94.8 ,90 ,88.3 ,2.1 ,85.7,-7.7 ,13.8 ,38.2
152340 ,93.8 ,90 ,88.3 ,2.1 ,84.2,-7.4 ,13.6 ,38.6
152460 ,94.8 ,90 ,88.3 ,2.1 ,84.2,-7.4 ,14.0 ,38.6
152550 ,93.8 ,91 ,89.3 ,3.2 ,85.7,-7.7 ,13.5 ,38.0
152640 ,94.8 ,91 ,88.3 ,3.2 ,84.2,-7.8 ,13.2 ,37.9
152730 ,94.8 ,91 ,88.3 ,3.2 ,85.7,-7.9 ,13.3 ,37.9
152850 ,93.8 ,91 ,89.3 ,3.2 ,84.2,-8.0 ,12.8 ,37.5
152940 ,94.8 ,91 ,89.3 ,3.2 ,84.2,-7.8 ,12.8 ,37.7
153030 ,93.8 ,92 ,89.3 ,3.2 ,84.2,-7.5 ,13.0 ,37.6
153150 ,93.8 ,91 ,89.3 ,3.2 ,82.8,-5.6 ,13.6 ,37.4
153240 ,93.8 ,91 ,89.3 ,3.2 ,84.2,-5.4 ,13.6 ,37.1
153330 ,94.8 ,91 ,88.3 ,3.2 ,84.2,-5.3 ,13.4 ,37.0
153450 ,93.8 ,92 ,87.3 ,3.2 ,84.2,-5.3 ,13.4 ,37.0
153540 ,93.8 ,92 ,88.3 ,3.2 ,84.2,-5.4 ,13.3 ,37.0
153630 ,93.8 ,91 ,88.3 ,2.1 ,84.2,-5.5 ,13.2 ,36.9
153750 ,93.8 ,92 ,89.3 ,3.2 ,84.2,-5.5 ,13.1 ,36.9
153840 ,93.8 ,92 ,89.3 ,3.2 ,85.7,-5.4 ,12.9 ,36.8
153930 ,93.8 ,92 ,87.3 ,3.2 ,84.2,-5.3 ,12.9 ,36.8
154050 ,93.8 ,92 ,89.3 ,3.2 ,84.2,-5.3 ,12.5 ,36.9
154140 ,92.8 ,92 ,89.3 ,3.2 ,84.2,-5.3 ,12.2 ,36.9
154230 ,93.8 ,91 ,89.3 ,3.2 ,84.2,-5.3 ,12.3 ,36.9
154350 ,93.8 ,92 ,89.3 ,3.2 ,84.2,-5.3 ,12.3 ,36.8
154440 ,93.8 ,92 ,89.3 ,2.1 ,84.2,-5.3 ,11.9 ,36.8
154530 ,93.8 ,91 ,89.3 ,3.2 ,84.2,-5.3 ,12.0 ,36.8
154650 ,93.8 ,92 ,89.3 ,3.2 ,84.2,-5.2 ,11.9 ,36.8
154740 ,93.8 ,91 ,88.3 ,3.2 ,85.7,-5.2 ,11.9 ,36.7
154830 ,92.8 ,91 ,89.3 ,3.2 ,85.7,-5.2 ,11.9 ,36.8
154950 ,93.8 ,92 ,88.3 ,3.2 ,84.2,-5.0 ,11.9 ,37.0
155040 ,93.8 ,91 ,88.3 ,3.2 ,85.7,-5.0 ,11.9 ,37.1
155130 ,93.8 ,92 ,89.3 ,3.2 ,85.7,-5.0 ,11.9 ,37.2
155250 ,92.8 ,91 ,88.3 ,2.1 ,84.2,-4.9 ,11.9 ,37.2
155340 ,93.8 ,91 ,88.3 ,3.2 ,85.7,-4.9 ,11.9 ,37.2
155430 ,93.8 ,92 ,89.3 ,2.1 ,85.7,-4.9 ,11.9 ,37.2
155550 ,93.8 ,91 ,88.3 ,3.2 ,84.2,-4.8 ,11.8 ,37.1
155640 ,93.8 ,91 ,88.3 ,3.2 ,84.2,-4.7 ,11.8 ,37.2
155730 ,93.8 ,91 ,87.3 ,3.2 ,84.2,-4.7 ,11.8 ,37.2
155820 ,93.8 ,92 ,88.3 ,2.1 ,84.2,-4.6 ,11.8 ,37.2
155940 ,93.8 ,92 ,88.3 ,2.1 ,85.7,-4.7 ,11.8 ,37.3
156030 ,93.8 ,92 ,88.3 ,2.1 ,84.2,-4.7 ,11.8 ,37.3
156120 ,93.8 ,92 ,88.3 ,2.1 ,85.7,-4.8 ,11.7 ,37.3
156240 ,93.8 ,91 ,88.3 ,3.2 ,85.7,-4.8 ,11.8 ,37.3
156330 ,92.8 ,92 ,88.3 ,3.2 ,84.2,-4.7 ,11.7 ,37.2
156420 ,93.8 ,92 ,88.3 ,2.1 ,85.7,-4.7 ,11.7 ,37.2
156540 ,92.8 ,91 ,88.3 ,2.1 ,84.2,-4.8 ,11.3 ,37.1
156630 ,92.8 ,92 ,88.3 ,2.1 ,84.2,-4.9 ,11.2 ,37.1
156720 ,92.8 ,92 ,88.3 ,3.2 ,85.7,-5.1 ,11.2 ,37.1
156840 ,92.8 ,92 ,88.3 ,2.1 ,84.2,-5.0 ,11.5 ,37.3
156930 ,92.8 ,92 ,89.3 ,2.1 ,85.7,-4.9 ,11.4 ,37.2
157020 ,92.8 ,92 ,88.3 ,3.2 ,84.2,-5.1 ,11.2 ,37.1
157140 ,92.8 ,92 ,88.3 ,2.1 ,84.2,-5.1 ,11.2 ,37.1
157230 ,93.8 ,92 ,89.3 ,3.2 ,84.2,-5.1 ,11.2 ,37.2
157320 ,92.8 ,91 ,88.3 ,3.2 ,84.2,-5.0 ,11.2 ,37.2
157440 ,92.8 ,92 ,89.3 ,3.2 ,84.2,-4.9 ,11.1 ,37.1
157530 ,93.8 ,92 ,88.3 ,3.2 ,85.7,-4.9 ,11.1 ,37.1
157620 ,92.8 ,91 ,88.3 ,3.2 ,84.2,-4.8 ,11.2 ,37.1
157740 ,93.8 ,92 ,88.3 ,2.1 ,84.2,-4.8 ,11.2 ,37.2
157830 ,93.8 ,92 ,88.3 ,2.1 ,82.8,-4.7 ,11.2 ,37.3
157920 ,92.8 ,92 ,88.3 ,1.0 ,85.7,-4.8 ,11.1 ,37.2
158040 ,93.8 ,92 ,88.3 ,3.2 ,84.2,-4.6 ,11.3 ,37.4
158130 ,92.8 ,92 ,88.3 ,2.1 ,84.2,-4.5 ,11.2 ,37.4
158220 ,93.8 ,92 ,87.3 ,3.2 ,85.7,-4.5 ,11.1 ,37.4
158340 ,92.8 ,92 ,88.3 ,2.1 ,84.2,-4.5 ,11.1 ,37.4
158430 ,93.8 ,92 ,88.3 ,2.1 ,84.2,-4.5 ,11.3 ,37.4
158520 ,92.8 ,91 ,88.3 ,3.2 ,85.7,-4.4 ,11.3 ,37.4
158640 ,93.8 ,91 ,88.3 ,3.2 ,84.2,-4.5 ,11.1 ,37.3
158730 ,93.8 ,92 ,88.3 ,3.2 ,84.2,-4.4 ,11.0 ,37.2
158820 ,92.8 ,92 ,88.3 ,2.1 ,84.2,-4.4 ,10.8 ,37.2
158910 ,91.8 ,92 ,88.3 ,2.1 ,84.2,-4.4 ,10.7 ,37.2
159030 ,92.8 ,92 ,88.3 ,2.1 ,82.8,-4.4 ,10.6 ,37.1
159120 ,92.8 ,91 ,88.3 ,3.2 ,84.2,-4.3 ,10.6 ,37.2
159210 ,92.8 ,92 ,88.3 ,2.1 ,84.2,-4.3 ,10.6 ,37.3
159330 ,92.8 ,91 ,88.3 ,2.1 ,85.7,-4.1 ,10.9 ,37.4
159420 ,92.8 ,92 ,88.3 ,2.1 ,84.2,-4.0 ,11.0 ,37.5
159510 ,92.8 ,92 ,88.3 ,2.1 ,84.2,-4.0 ,11.2 ,37.6
159630 ,93.8 ,92 ,88.3 ,2.1 ,84.2,-3.9 ,11.2 ,37.7
159720 ,92.8 ,92 ,89.3 ,2.1 ,84.2,-3.8 ,11.3 ,37.8
