TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
274090 ,96.4 ,95 ,17.4 ,82.0 ,84.4,-81.3 ,-10.3 ,36.4
274210 ,96.4 ,95 ,16.5 ,80.8 ,83.3,-81.3 ,-10.3 ,36.3
274300 ,97.3 ,95 ,17.4 ,79.7 ,84.4,-81.2 ,-10.4 ,36.2
274390 ,97.3 ,96 ,18.3 ,80.8 ,83.3,-81.3 ,-10.3 ,36.2
274510 ,94.6 ,95 ,17.4 ,80.8 ,84.4,-81.3 ,-10.4 ,36.1
274600 ,96.4 ,97 ,16.5 ,78.6 ,83.3,-81.3 ,-10.4 ,36.2
274690 ,97.3 ,96 ,16.5 ,79.7 ,82.2,-81.3 ,-10.5 ,36.3
274810 ,95.5 ,95 ,17.4 ,80.8 ,84.4,-81.3 ,-10.5 ,36.3
274900 ,97.3 ,96 ,16.5 ,79.7 ,84.4,-81.4 ,-10.4 ,36.3
274990 ,97.3 ,96 ,16.5 ,80.8 ,82.2,-81.4 ,-10.5 ,36.3
275110 ,96.4 ,95 ,16.5 ,79.7 ,85.5,-81.5 ,-10.4 ,36.3
275200 ,95.5 ,95 ,16.5 ,79.7 ,84.4,-81.5 ,-10.4 ,36.3
275290 ,97.3 ,96 ,17.4 ,79.7 ,83.3,-81.5 ,-10.5 ,36.3
275410 ,97.3 ,95 ,15.5 ,79.7 ,83.3,-81.5 ,-10.7 ,36.3
275500 ,97.3 ,96 ,16.5 ,79.7 ,83.3,-81.5 ,-10.8 ,36.5
275590 ,97.3 ,95 ,18.3 ,79.7 ,83.3,-81.4 ,-10.9 ,36.5
275710 ,97.3 ,96 ,16.5 ,79.7 ,83.3,-81.4 ,-10.9 ,36.4
275800 ,95.5 ,95 ,16.5 ,79.7 ,84.4,-81.2 ,-11.0 ,36.4
275890 ,96.4 ,95 ,17.4 ,80.8 ,84.4,-81.2 ,-11.0 ,36.3
276010 ,95.5 ,95 ,18.3 ,80.8 ,85.5,-81.1 ,-10.8 ,36.2
276100 ,97.3 ,95 ,16.5 ,78.6 ,84.4,-81.2 ,-10.7 ,36.2
276190 ,97.3 ,95 ,16.5 ,79.7 ,82.2,-81.2 ,-10.7 ,36.2
276310 ,97.3 ,96 ,16.5 ,80.8 ,83.3,-81.1 ,-10.9 ,36.2
276400 ,95.5 ,95 ,17.4 ,80.8 ,84.4,-81.0 ,-10.9 ,36.3
276490 ,97.3 ,95 ,17.4 ,79.7 ,83.3,-81.1 ,-11.0 ,36.4
276610 ,96.4 ,95 ,18.3 ,80.8 ,83.3,-81.1 ,-10.9 ,36.5
276700 ,97.3 ,95 ,16.5 ,79.7 ,83.3,-81.2 ,-10.9 ,36.6
276790 ,97.3 ,96 ,17.4 ,79.7 ,83.3,-81.2 ,-10.9 ,36.5
276910 ,96.4 ,95 ,15.5 ,79.7 ,84.4,-81.2 ,-10.9 ,36.6
277000 ,97.3 ,96 ,16.5 ,79.7 ,83.3,-81.2 ,-10.9 ,36.6
277090 ,96.4 ,95 ,18.3 ,82.0 ,83.3,-81.2 ,-11.0 ,36.6
277210 ,96.4 ,96 ,17.4 ,79.7 ,82.2,-81.2 ,-11.2 ,36.6
277300 ,96.4 ,95 ,18.3 ,80.8 ,83.3,-81.2 ,-11.1 ,36.6
277390 ,96.4 ,95 ,17.4 ,79.7 ,83.3,-81.2 ,-11.2 ,36.7
277510 ,95.5 ,95 ,18.3 ,80.8 ,83.3,-81.4 ,-11.2 ,36.7
277600 ,97.3 ,96 ,17.4 ,79.7 ,83.3,-81.4 ,-11.1 ,36.8
277690 ,96.4 ,95 ,17.4 ,80.8 ,82.2,-81.4 ,-11.1 ,36.8
277810 ,95.5 ,95 ,17.4 ,79.7 ,84.4,-81.4 ,-11.2 ,36.9
277900 ,96.4 ,96 ,17.4 ,78.6 ,84.4,-81.4 ,-11.3 ,37.0
277990 ,97.3 ,95 ,16.5 ,79.7 ,83.3,-81.5 ,-11.7 ,36.9
278110 ,95.5 ,95 ,18.3 ,79.7 ,84.4,-81.5 ,-11.6 ,37.0
278200 ,95.5 ,95 ,19.2 ,80.8 ,83.3,-81.6 ,-11.7 ,37.1
278290 ,95.5 ,95 ,18.3 ,80.8 ,85.5,-81.7 ,-11.7 ,37.2
278410 ,97.3 ,95 ,16.5 ,79.7 ,83.3,-81.7 ,-11.6 ,37.2
278500 ,96.4 ,95 ,18.3 ,79.7 ,83.3,-81.9 ,-11.7 ,37.4
278590 ,97.3 ,95 ,17.4 ,78.6 ,83.3,-81.9 ,-11.7 ,37.5
278710 ,95.5 ,95 ,17.4 ,80.8 ,85.5,-81.9 ,-11.6 ,37.4
278800 ,97.3 ,95 ,17.4 ,78.6 ,83.3,-81.9 ,-11.7 ,37.5
278890 ,96.4 ,95 ,19.2 ,80.8 ,83.3,-81.9 ,-11.7 ,37.6
278990 ,96.4 ,95 ,19.2 ,80.8 ,83.3,-81.9 ,-11.8 ,37.7
279100 ,96.4 ,95 ,17.4 ,78.6 ,83.3,-81.8 ,-11.8 ,37.7
279190 ,96.4 ,96 ,16.5 ,79.7 ,84.4,-81.8 ,-11.7 ,37.5
279310 ,96.4 ,95 ,17.4 ,80.8 ,83.3,-81.8 ,-11.8 ,37.7
279400 ,95.5 ,95 ,18.3 ,80.8 ,84.4,-81.9 ,-11.8 ,37.7
279490 ,96.4 ,95 ,18.3 ,79.7 ,84.4,-81.9 ,-11.8 ,37.8
279610 ,95.5 ,94 ,19.2 ,80.8 ,83.3,-81.9 ,-12.0 ,38.0
279700 ,96.4 ,95 ,17.4 ,78.6 ,84.4,-81.9 ,-12.0 ,38.1
279790 ,96.4 ,95 ,17.4 ,78.6 ,84.4,-82.0 ,-12.0 ,38.1
279910 ,97.3 ,96 ,17.4 ,79.7 ,83.3,-81.9 ,-12.1 ,38.2
280000 ,95.5 ,95 ,17.4 ,80.8 ,86.6,-82.0 ,-12.1 ,38.4
280090 ,96.4 ,95 ,18.3 ,82.0 ,84.4,-82.0 ,-12.1 ,38.5
280210 ,96.4 ,96 ,17.4 ,79.7 ,84.4,-82.1 ,-11.9 ,38.4
280300 ,96.4 ,95 ,18.3 ,79.7 ,84.4,-82.1 ,-11.9 ,38.4
280390 ,97.3 ,95 ,16.5 ,79.7 ,83.3,-82.1 ,-12.0 ,38.5
