TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
378150 ,97.3 ,98 ,89.9 ,85.3 ,47.7,-100.6 ,-30.8 ,109.1
378270 ,96.4 ,98 ,91.7 ,87.6 ,47.7,-100.7 ,-30.9 ,109.3
378360 ,96.4 ,97 ,91.7 ,86.5 ,46.6,-100.7 ,-31.0 ,109.3
378450 ,96.4 ,97 ,91.7 ,87.6 ,47.7,-100.7 ,-31.0 ,109.3
378570 ,97.3 ,98 ,89.9 ,85.3 ,47.7,-100.8 ,-31.1 ,109.3
378660 ,97.3 ,98 ,90.8 ,85.3 ,47.7,-100.8 ,-31.1 ,109.3
378750 ,97.3 ,98 ,89.9 ,85.3 ,46.6,-100.9 ,-31.1 ,109.4
378870 ,95.5 ,97 ,90.8 ,86.5 ,47.7,-101.0 ,-31.1 ,109.4
378960 ,96.4 ,98 ,90.8 ,85.3 ,46.6,-101.0 ,-31.0 ,109.3
379050 ,95.5 ,97 ,90.8 ,86.5 ,47.7,-101.0 ,-30.9 ,109.3
379170 ,97.3 ,98 ,89.9 ,85.3 ,46.6,-101.1 ,-31.0 ,109.4
379260 ,97.3 ,98 ,91.7 ,86.5 ,46.6,-101.0 ,-31.0 ,109.4
379350 ,96.4 ,98 ,90.8 ,85.3 ,46.6,-101.1 ,-31.1 ,109.5
379470 ,96.4 ,97 ,91.7 ,86.5 ,48.8,-101.1 ,-31.1 ,109.6
379560 ,97.3 ,98 ,89.9 ,85.3 ,48.8,-101.1 ,-31.2 ,109.7
379650 ,97.3 ,98 ,90.8 ,86.5 ,46.6,-101.1 ,-31.2 ,109.7
379770 ,96.4 ,98 ,90.8 ,86.5 ,46.6,-101.0 ,-31.2 ,109.8
379860 ,96.4 ,97 ,91.7 ,87.6 ,48.8,-101.0 ,-31.2 ,109.9
379950 ,97.3 ,98 ,89.9 ,85.3 ,48.8,-101.1 ,-31.2 ,110.0
380070 ,97.3 ,98 ,90.8 ,85.3 ,46.6,-101.1 ,-31.2 ,110.1
380160 ,96.4 ,98 ,89.9 ,85.3 ,47.7,-101.0 ,-31.2 ,110.0
380250 ,97.3 ,98 ,89.9 ,85.3 ,46.6,-101.1 ,-31.3 ,110.1
380370 ,97.3 ,98 ,90.8 ,85.3 ,47.7,-101.1 ,-31.4 ,110.4
380460 ,97.3 ,98 ,89.9 ,85.3 ,46.6,-101.1 ,-31.5 ,110.4
380550 ,97.3 ,97 ,91.7 ,87.6 ,45.5,-101.1 ,-31.4 ,110.5
380670 ,97.3 ,98 ,90.8 ,85.3 ,46.6,-101.2 ,-31.5 ,110.6
380760 ,96.4 ,98 ,89.9 ,85.3 ,48.8,-101.1 ,-31.5 ,110.7
380850 ,96.4 ,98 ,89.9 ,86.5 ,48.8,-101.1 ,-31.6 ,110.7
380970 ,96.4 ,98 ,89.9 ,85.3 ,47.7,-101.0 ,-31.6 ,110.8
381060 ,95.5 ,98 ,91.7 ,86.5 ,47.7,-101.0 ,-31.6 ,110.8
381150 ,95.5 ,98 ,91.7 ,87.6 ,47.7,-100.9 ,-31.6 ,110.8
381270 ,96.4 ,98 ,89.9 ,84.2 ,46.6,-101.0 ,-31.7 ,111.0
381360 ,96.4 ,97 ,90.8 ,85.3 ,47.7,-101.0 ,-31.7 ,111.0
381450 ,95.5 ,97 ,90.8 ,85.3 ,48.8,-100.9 ,-31.8 ,111.1
381570 ,94.6 ,97 ,91.7 ,86.5 ,47.7,-100.8 ,-31.8 ,111.2
381660 ,95.5 ,97 ,90.8 ,86.5 ,47.7,-100.8 ,-31.8 ,111.2
381750 ,96.4 ,98 ,90.8 ,86.5 ,46.6,-100.8 ,-31.8 ,111.3
381870 ,96.4 ,97 ,91.7 ,86.5 ,46.6,-100.9 ,-31.8 ,111.4
381960 ,97.3 ,98 ,91.7 ,86.5 ,47.7,-100.9 ,-31.9 ,111.5
382050 ,97.3 ,98 ,89.9 ,84.2 ,46.6,-101.0 ,-31.9 ,111.7
382170 ,97.3 ,98 ,89.9 ,85.3 ,46.6,-101.1 ,-32.0 ,111.9
382260 ,96.4 ,98 ,91.7 ,87.6 ,46.6,-101.2 ,-32.1 ,112.0
382350 ,96.4 ,98 ,90.8 ,87.6 ,47.7,-101.3 ,-32.1 ,112.1
382470 ,96.4 ,97 ,91.7 ,86.5 ,45.5,-101.3 ,-32.2 ,112.2
382560 ,96.4 ,97 ,90.8 ,84.2 ,47.7,-101.3 ,-32.2 ,112.3
382650 ,96.4 ,97 ,91.7 ,86.5 ,46.6,-101.4 ,-32.2 ,112.5
382770 ,97.3 ,98 ,89.9 ,85.3 ,47.7,-101.5 ,-32.3 ,112.7
382860 ,96.4 ,98 ,89.9 ,85.3 ,48.8,-101.4 ,-32.3 ,112.7
382950 ,96.4 ,98 ,90.8 ,85.3 ,48.8,-101.4 ,-32.3 ,112.7
383020 ,96.4 ,98 ,91.7 ,86.5 ,46.6,-101.4 ,-32.2 ,112.7
383160 ,97.3 ,98 ,89.9 ,85.3 ,45.5,-101.4 ,-32.2 ,112.6
383250 ,97.3 ,98 ,89.9 ,85.3 ,47.7,-101.4 ,-32.2 ,112.6
383340 ,96.4 ,97 ,90.8 ,86.5 ,46.6,-101.4 ,-32.2 ,112.6
383460 ,95.5 ,96 ,90.8 ,86.5 ,48.8,-101.5 ,-32.2 ,112.7
383550 ,96.4 ,97 ,91.7 ,87.6 ,46.6,-101.5 ,-32.3 ,112.8
383640 ,96.4 ,97 ,90.8 ,84.2 ,47.7,-101.5 ,-32.4 ,112.9
383760 ,95.5 ,97 ,90.8 ,85.3 ,48.8,-101.6 ,-32.4 ,113.0
383850 ,97.3 ,98 ,89.9 ,85.3 ,47.7,-101.7 ,-32.4 ,113.0
383940 ,97.3 ,98 ,89.9 ,84.2 ,47.7,-101.8 ,-32.5 ,113.0
384060 ,95.5 ,96 ,90.8 ,86.5 ,50.0,-101.9 ,-32.5 ,113.1
384150 ,95.5 ,97 ,90.8 ,86.5 ,48.8,-101.9 ,-32.6 ,113.2
384240 ,97.3 ,98 ,90.8 ,86.5 ,45.5,-102.0 ,-32.5 ,113.3
384360 ,96.4 ,98 ,91.7 ,86.5 ,46.6,-102.0 ,-32.6 ,113.3
384450 ,96.4 ,98 ,89.9 ,84.2 ,47.7,-102.0 ,-32.6 ,113.4
384540 ,95.5 ,97 ,90.8 ,87.6 ,47.7,-102.1 ,-32.6 ,113.5
384660 ,96.4 ,98 ,91.7 ,86.5 ,46.6,-102.1 ,-32.7 ,113.5
384750 ,96.4 ,98 ,89.9 ,85.3 ,47.7,-102.2 ,-32.8 ,113.6
384840 ,97.3 ,98 ,91.7 ,85.3 ,46.6,-102.2 ,-32.8 ,113.6
384960 ,96.4 ,98 ,90.8 ,86.5 ,45.5,-102.4 ,-32.9 ,113.7
385050 ,97.3 ,98 ,89.9 ,85.3 ,47.7,-102.4 ,-32.9 ,113.7
385140 ,95.5 ,96 ,91.7 ,87.6 ,46.6,-102.5 ,-33.0 ,113.8
385260 ,95.5 ,98 ,91.7 ,86.5 ,46.6,-102.5 ,-33.0 ,113.8
385350 ,96.4 ,98 ,90.8 ,87.6 ,46.6,-102.5 ,-33.1 ,113.8
385440 ,95.5 ,97 ,90.8 ,86.5 ,47.7,-102.6 ,-33.2 ,113.9
385560 ,95.5 ,97 ,90.8 ,84.2 ,47.7,-102.6 ,-33.2 ,113.9
385650 ,95.5 ,98 ,89.9 ,85.3 ,48.8,-102.6 ,-33.3 ,113.9
385740 ,96.4 ,98 ,89.9 ,84.2 ,47.7,-102.6 ,-33.3 ,114.0
385860 ,96.4 ,98 ,90.8 ,86.5 ,45.5,-102.7 ,-33.4 ,114.0
385950 ,95.5 ,98 ,91.7 ,86.5 ,46.6,-102.7 ,-33.4 ,114.1
386040 ,94.6 ,97 ,89.9 ,86.5 ,47.7,-102.7 ,-33.4 ,114.1
386160 ,96.4 ,98 ,90.8 ,86.5 ,45.5,-102.7 ,-33.4 ,114.1
386250 ,97.3 ,98 ,89.9 ,85.3 ,47.7,-102.6 ,-33.5 ,114.0
386340 ,95.5 ,97 ,90.8 ,85.3 ,48.8,-102.6 ,-33.5 ,114.0
386460 ,97.3 ,98 ,89.9 ,85.3 ,45.5,-102.6 ,-33.5 ,114.0
386550 ,97.3 ,98 ,89.9 ,84.2 ,47.7,-102.6 ,-33.6 ,114.1
386640 ,96.4 ,98 ,90.8 ,86.5 ,46.6,-102.6 ,-33.7 ,114.1
386730 ,95.5 ,98 ,89.9 ,86.5 ,48.8,-102.7 ,-33.8 ,114.1
386850 ,95.5 ,97 ,91.7 ,86.5 ,46.6,-102.7 ,-33.8 ,114.2
386940 ,96.4 ,98 ,89.9 ,85.3 ,46.6,-102.7 ,-33.8 ,114.2
387030 ,96.4 ,98 ,89.9 ,86.5 ,46.6,-102.7 ,-33.8 ,114.3
387150 ,95.5 ,98 ,89.9 ,85.3 ,47.7,-102.8 ,-33.9 ,114.3
387240 ,96.4 ,98 ,90.8 ,85.3 ,47.7,-102.8 ,-33.9 ,114.3
387330 ,96.4 ,98 ,90.8 ,85.3 ,46.6,-102.8 ,-33.9 ,114.4
387450 ,96.4 ,97 ,90.8 ,86.5 ,46.6,-102.8 ,-33.9 ,114.3
387540 ,95.5 ,97 ,90.8 ,87.6 ,47.7,-102.8 ,-33.9 ,114.3
387630 ,96.4 ,97 ,91.7 ,86.5 ,46.6,-102.8 ,-33.9 ,114.2
387750 ,96.4 ,97 ,90.8 ,84.2 ,48.8,-102.9 ,-33.9 ,114.3
387840 ,95.5 ,98 ,91.7 ,86.5 ,46.6,-102.9 ,-33.8 ,114.3
387930 ,96.4 ,98 ,89.9 ,85.3 ,47.7,-103.0 ,-33.9 ,114.4
