TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
205990 ,93.6 ,94 ,92.5 ,85.8 ,88.4,-97.0 ,-33.2 ,77.9
206110 ,93.6 ,93 ,92.5 ,86.8 ,89.7,-97.3 ,-33.0 ,78.2
206200 ,92.7 ,94 ,92.5 ,86.8 ,89.7,-97.4 ,-33.0 ,78.2
206290 ,93.6 ,94 ,91.4 ,85.8 ,89.7,-97.5 ,-32.9 ,78.4
206410 ,94.5 ,94 ,91.4 ,85.8 ,89.7,-97.7 ,-32.9 ,78.7
206500 ,92.7 ,94 ,92.5 ,85.8 ,88.4,-97.7 ,-32.9 ,79.0
206590 ,94.5 ,94 ,91.4 ,86.8 ,88.4,-97.8 ,-33.0 ,79.0
206710 ,93.6 ,94 ,91.4 ,86.8 ,89.7,-97.8 ,-33.3 ,79.2
206800 ,93.6 ,94 ,92.5 ,85.8 ,88.4,-97.6 ,-33.2 ,79.1
206890 ,93.6 ,94 ,92.5 ,85.8 ,88.4,-97.5 ,-33.1 ,78.9
207010 ,93.6 ,94 ,92.5 ,86.8 ,89.7,-97.5 ,-33.1 ,79.0
207100 ,94.5 ,93 ,92.5 ,85.8 ,88.4,-97.5 ,-33.0 ,79.1
207190 ,93.6 ,94 ,92.5 ,86.8 ,89.7,-97.7 ,-32.8 ,79.3
207310 ,93.6 ,93 ,92.5 ,85.8 ,88.4,-97.8 ,-33.0 ,79.5
207400 ,93.6 ,94 ,92.5 ,86.8 ,88.4,-97.7 ,-33.1 ,79.3
207490 ,93.6 ,93 ,92.5 ,86.8 ,89.7,-97.5 ,-33.0 ,79.3
207610 ,93.6 ,94 ,92.5 ,85.8 ,88.4,-97.4 ,-33.0 ,79.4
207700 ,93.6 ,94 ,91.4 ,85.8 ,88.4,-97.4 ,-33.1 ,79.4
207790 ,92.7 ,94 ,92.5 ,85.8 ,89.7,-97.4 ,-33.0 ,79.5
207910 ,93.6 ,93 ,92.5 ,85.8 ,88.4,-97.3 ,-33.2 ,79.5
208000 ,93.6 ,93 ,91.4 ,85.8 ,88.4,-97.4 ,-33.1 ,79.6
208090 ,92.7 ,93 ,92.5 ,85.8 ,88.4,-97.4 ,-33.2 ,79.7
208210 ,93.6 ,93 ,91.4 ,85.8 ,89.7,-97.3 ,-33.2 ,79.7
208300 ,92.7 ,93 ,92.5 ,85.8 ,89.7,-97.2 ,-33.3 ,79.9
208390 ,93.6 ,94 ,91.4 ,85.8 ,88.4,-97.2 ,-33.3 ,80.0
208510 ,93.6 ,93 ,92.5 ,85.8 ,89.7,-97.1 ,-33.4 ,80.0
208600 ,93.6 ,93 ,92.5 ,86.8 ,89.7,-97.0 ,-33.3 ,79.9
208690 ,93.6 ,94 ,92.5 ,85.8 ,89.7,-97.0 ,-33.3 ,80.0
208810 ,92.7 ,94 ,92.5 ,85.8 ,89.7,-97.1 ,-33.4 ,79.9
208900 ,92.7 ,93 ,91.4 ,86.8 ,89.7,-97.0 ,-33.2 ,79.8
208990 ,94.5 ,93 ,91.4 ,85.8 ,88.4,-96.9 ,-33.2 ,79.8
209110 ,93.6 ,93 ,92.5 ,86.8 ,88.4,-96.9 ,-33.2 ,79.7
209200 ,92.7 ,93 ,92.5 ,85.8 ,88.4,-97.0 ,-33.1 ,79.8
209290 ,93.6 ,93 ,91.4 ,85.8 ,89.7,-97.2 ,-33.1 ,80.1
209410 ,93.6 ,93 ,91.4 ,86.8 ,88.4,-97.1 ,-33.0 ,80.0
209500 ,93.6 ,93 ,91.4 ,85.8 ,89.7,-97.1 ,-33.0 ,79.9
209590 ,93.6 ,93 ,91.4 ,86.8 ,89.7,-97.2 ,-33.1 ,80.0
209710 ,93.6 ,93 ,91.4 ,85.8 ,88.4,-97.1 ,-33.1 ,80.0
209800 ,93.6 ,93 ,92.5 ,85.8 ,88.4,-97.2 ,-33.2 ,80.2
209890 ,93.6 ,93 ,91.4 ,85.8 ,89.7,-97.4 ,-33.3 ,80.3
210010 ,93.6 ,93 ,92.5 ,85.8 ,88.4,-97.3 ,-33.2 ,80.3
210100 ,93.6 ,92 ,92.5 ,86.8 ,89.7,-97.2 ,-33.2 ,80.3
210190 ,93.6 ,93 ,90.4 ,85.8 ,89.7,-97.2 ,-33.3 ,80.3
210310 ,92.7 ,93 ,92.5 ,86.8 ,88.4,-97.3 ,-33.3 ,80.3
210400 ,93.6 ,93 ,91.4 ,85.8 ,89.7,-97.3 ,-33.3 ,80.5
210490 ,93.6 ,93 ,90.4 ,84.8 ,88.4,-97.2 ,-33.2 ,80.4
210610 ,92.7 ,94 ,92.5 ,85.8 ,88.4,-97.2 ,-33.2 ,80.4
210700 ,93.6 ,93 ,91.4 ,86.8 ,89.7,-97.1 ,-33.2 ,80.4
210790 ,92.7 ,93 ,91.4 ,85.8 ,88.4,-97.3 ,-33.3 ,80.5
210890 ,93.6 ,93 ,91.4 ,85.8 ,89.7,-97.3 ,-33.3 ,80.7
211000 ,92.7 ,93 ,91.4 ,86.8 ,88.4,-97.2 ,-33.1 ,80.6
211090 ,93.6 ,93 ,91.4 ,84.8 ,88.4,-97.4 ,-33.3 ,80.6
211210 ,93.6 ,93 ,91.4 ,85.8 ,88.4,-97.3 ,-33.2 ,80.5
211300 ,92.7 ,93 ,92.5 ,85.8 ,88.4,-97.2 ,-33.2 ,80.4
