TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
391040 ,88.5 ,98 ,88.2 ,80.8 ,41.0,-163.9 ,-17.5 ,142.7
391160 ,88.5 ,98 ,90.4 ,80.8 ,41.0,-163.9 ,-17.5 ,142.8
391250 ,87.7 ,98 ,89.3 ,79.7 ,41.0,-163.9 ,-17.5 ,142.7
391340 ,88.5 ,98 ,89.3 ,80.8 ,39.7,-164.0 ,-17.5 ,142.8
391460 ,87.7 ,98 ,89.3 ,80.8 ,38.4,-164.0 ,-17.5 ,142.9
391550 ,87.7 ,98 ,89.3 ,79.7 ,39.7,-164.0 ,-17.5 ,142.9
391640 ,87.7 ,98 ,89.3 ,80.8 ,41.0,-164.1 ,-17.6 ,142.9
391760 ,87.7 ,98 ,89.3 ,80.8 ,41.0,-164.1 ,-17.6 ,142.9
391850 ,87.7 ,98 ,89.3 ,80.8 ,41.0,-164.0 ,-17.5 ,142.9
391940 ,88.5 ,98 ,90.4 ,80.8 ,39.7,-163.9 ,-17.4 ,142.9
392060 ,87.7 ,98 ,90.4 ,80.8 ,39.7,-163.9 ,-17.5 ,142.9
392150 ,87.7 ,98 ,89.3 ,80.8 ,39.7,-164.0 ,-17.4 ,142.9
392240 ,88.5 ,98 ,88.2 ,80.8 ,41.0,-164.0 ,-17.4 ,143.0
392360 ,87.7 ,98 ,89.3 ,80.8 ,39.7,-163.9 ,-17.3 ,142.9
392450 ,88.5 ,98 ,89.3 ,80.8 ,41.0,-163.9 ,-17.3 ,142.9
392540 ,87.7 ,98 ,89.3 ,80.8 ,39.7,-163.8 ,-17.3 ,142.9
392630 ,87.7 ,98 ,89.3 ,80.8 ,41.0,-163.8 ,-17.3 ,142.9
392750 ,88.5 ,98 ,90.4 ,80.8 ,39.7,-163.8 ,-17.3 ,142.9
392840 ,87.7 ,98 ,89.3 ,80.8 ,41.0,-163.7 ,-17.3 ,143.0
392960 ,87.7 ,98 ,89.3 ,79.7 ,41.0,-163.7 ,-17.3 ,142.9
393050 ,87.7 ,98 ,88.2 ,80.8 ,41.0,-163.8 ,-17.3 ,142.9
393140 ,88.5 ,97 ,89.3 ,80.8 ,41.0,-163.8 ,-17.2 ,142.9
393260 ,88.5 ,98 ,89.3 ,79.7 ,41.0,-163.8 ,-17.2 ,142.8
393350 ,88.5 ,98 ,89.3 ,79.7 ,38.4,-163.8 ,-17.2 ,142.8
393440 ,87.7 ,98 ,89.3 ,80.8 ,41.0,-163.8 ,-17.2 ,142.8
393560 ,87.7 ,98 ,90.4 ,80.8 ,39.7,-163.8 ,-17.3 ,142.8
393650 ,87.7 ,98 ,89.3 ,80.8 ,39.7,-163.8 ,-17.2 ,142.8
393740 ,87.7 ,98 ,89.3 ,80.8 ,41.0,-163.8 ,-17.2 ,142.8
393860 ,88.5 ,98 ,89.3 ,80.8 ,39.7,-163.8 ,-17.2 ,142.8
393950 ,87.7 ,98 ,88.2 ,80.8 ,41.0,-163.8 ,-17.2 ,142.8
394040 ,88.5 ,98 ,89.3 ,80.8 ,41.0,-163.7 ,-17.1 ,142.8
394160 ,87.7 ,98 ,89.3 ,81.8 ,39.7,-163.7 ,-17.1 ,142.8
