TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
153880 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-40.1 ,18.5 ,33.5
154000 ,99.0 ,88 ,17.2 ,86.9 ,78.4,-39.9 ,18.8 ,33.4
154090 ,99.0 ,88 ,16.1 ,86.9 ,79.7,-39.6 ,18.9 ,33.4
154180 ,99.0 ,88 ,16.1 ,86.9 ,79.7,-39.6 ,18.6 ,33.4
154300 ,99.0 ,88 ,16.1 ,86.9 ,79.7,-39.7 ,18.5 ,33.3
154390 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-39.7 ,18.5 ,33.2
154480 ,99.0 ,88 ,17.2 ,86.9 ,78.4,-39.2 ,18.2 ,33.2
154600 ,99.0 ,89 ,17.2 ,85.7 ,79.7,-38.2 ,17.4 ,33.2
154690 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-37.5 ,17.1 ,33.2
154780 ,99.0 ,88 ,17.2 ,85.7 ,79.7,-37.1 ,17.2 ,32.9
154900 ,99.0 ,88 ,17.2 ,86.9 ,78.4,-37.1 ,16.8 ,32.9
154990 ,99.0 ,88 ,17.2 ,86.9 ,78.4,-37.3 ,16.6 ,33.1
155080 ,99.0 ,88 ,16.1 ,86.9 ,79.7,-37.7 ,16.3 ,33.3
155200 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-38.4 ,16.2 ,33.4
155290 ,99.0 ,88 ,18.2 ,86.9 ,78.4,-38.9 ,16.5 ,33.5
155380 ,99.0 ,88 ,16.1 ,86.9 ,79.7,-39.1 ,16.7 ,33.7
155500 ,100.0 ,88 ,17.2 ,86.9 ,79.7,-39.2 ,16.8 ,33.8
155590 ,99.0 ,88 ,16.1 ,86.9 ,79.7,-39.4 ,16.5 ,33.9
155680 ,99.0 ,88 ,16.1 ,86.9 ,79.7,-39.7 ,16.6 ,33.8
155800 ,98.0 ,88 ,17.2 ,86.9 ,79.7,-40.0 ,16.7 ,33.7
155890 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-40.2 ,16.9 ,33.5
155980 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-40.2 ,17.4 ,33.7
156100 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-40.5 ,17.9 ,34.2
156190 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-41.0 ,17.7 ,34.2
156280 ,99.0 ,88 ,17.2 ,85.7 ,79.7,-41.4 ,17.4 ,33.7
156400 ,99.0 ,88 ,17.2 ,85.7 ,79.7,-41.7 ,17.1 ,33.4
156490 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-41.8 ,17.0 ,33.4
156580 ,99.0 ,88 ,16.1 ,86.9 ,79.7,-42.3 ,17.0 ,33.5
156670 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-42.5 ,17.0 ,33.7
156790 ,99.0 ,88 ,16.1 ,86.9 ,79.7,-42.6 ,16.8 ,33.8
156880 ,99.0 ,88 ,16.1 ,86.9 ,79.7,-42.8 ,16.8 ,33.8
156970 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-42.4 ,16.9 ,33.9
157090 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-41.8 ,17.1 ,33.9
157180 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-41.4 ,16.8 ,33.9
157270 ,99.0 ,88 ,17.2 ,85.7 ,79.7,-41.1 ,16.4 ,33.6
157390 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-41.0 ,15.5 ,33.4
157480 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-40.9 ,15.6 ,33.6
157570 ,100.0 ,88 ,16.1 ,86.9 ,79.7,-41.3 ,15.4 ,33.6
157690 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-40.3 ,14.7 ,34.6
157780 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-40.5 ,14.6 ,34.6
157870 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-41.6 ,14.1 ,34.5
157990 ,99.0 ,88 ,16.1 ,86.9 ,78.4,-41.6 ,14.7 ,34.1
158080 ,98.0 ,88 ,16.1 ,86.9 ,79.7,-41.8 ,14.9 ,34.0
158170 ,99.0 ,88 ,16.1 ,86.9 ,79.7,-41.3 ,15.3 ,34.1
158290 ,99.0 ,88 ,16.1 ,86.9 ,79.7,-41.3 ,15.7 ,33.6
158380 ,99.0 ,88 ,16.1 ,85.7 ,79.7,-40.9 ,15.5 ,33.5
158470 ,99.0 ,88 ,16.1 ,86.9 ,79.7,-40.7 ,15.0 ,33.6
158590 ,99.0 ,88 ,16.1 ,86.9 ,79.7,-40.3 ,14.7 ,33.6
158680 ,99.0 ,88 ,17.2 ,86.9 ,79.7,-40.9 ,14.8 ,32.4
