TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
293430 ,95.1 ,87 ,94.6 ,82.3 ,32.9,-81.5 ,-52.0 ,120.7
293550 ,95.1 ,88 ,94.6 ,81.1 ,32.9,-81.5 ,-51.8 ,120.9
293640 ,95.1 ,87 ,93.5 ,82.3 ,32.9,-81.9 ,-52.0 ,121.4
293730 ,95.1 ,88 ,94.6 ,82.3 ,32.9,-82.5 ,-52.4 ,122.3
293850 ,96.1 ,88 ,93.5 ,82.3 ,31.6,-83.9 ,-53.0 ,123.8
293940 ,95.1 ,88 ,94.6 ,81.1 ,32.9,-84.7 ,-53.2 ,124.6
294030 ,95.1 ,88 ,93.5 ,81.1 ,32.9,-85.5 ,-53.5 ,125.2
294150 ,96.1 ,88 ,93.5 ,82.3 ,31.6,-86.1 ,-53.7 ,125.5
294240 ,95.1 ,87 ,93.5 ,82.3 ,31.6,-86.4 ,-53.9 ,125.7
294330 ,95.1 ,88 ,93.5 ,82.3 ,31.6,-86.7 ,-53.9 ,125.9
294450 ,95.1 ,88 ,94.6 ,82.3 ,31.6,-86.4 ,-53.8 ,125.9
294540 ,95.1 ,87 ,94.6 ,82.3 ,31.6,-86.3 ,-53.7 ,125.9
294630 ,95.1 ,88 ,94.6 ,82.3 ,31.6,-86.5 ,-53.7 ,126.2
294750 ,95.1 ,88 ,94.6 ,82.3 ,32.9,-86.9 ,-53.9 ,126.8
294840 ,95.1 ,88 ,93.5 ,82.3 ,31.6,-87.2 ,-54.0 ,127.2
294930 ,95.1 ,88 ,93.5 ,82.3 ,31.6,-87.7 ,-54.3 ,127.8
295050 ,95.1 ,88 ,94.6 ,82.3 ,32.9,-88.3 ,-54.5 ,128.5
295140 ,95.1 ,87 ,93.5 ,82.3 ,31.6,-88.7 ,-54.5 ,129.0
295230 ,96.1 ,88 ,93.5 ,82.3 ,31.6,-88.9 ,-54.5 ,129.3
295350 ,95.1 ,87 ,93.5 ,82.3 ,31.6,-89.0 ,-54.5 ,129.5
295440 ,95.1 ,87 ,93.5 ,82.3 ,31.6,-88.7 ,-54.4 ,129.3
295530 ,95.1 ,87 ,94.6 ,82.3 ,31.6,-88.4 ,-54.3 ,129.1
295650 ,95.1 ,87 ,94.6 ,82.3 ,31.6,-87.8 ,-54.3 ,128.6
