TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
376690 ,84.4 ,87 ,2.2 ,76.9 ,83.0,-78.2 ,-69.3 ,124.4
376810 ,86.2 ,86 ,2.2 ,76.9 ,83.0,-79.1 ,-69.2 ,125.2
376900 ,86.2 ,86 ,2.2 ,76.9 ,84.6,-79.3 ,-69.1 ,125.5
376990 ,84.4 ,87 ,2.2 ,75.8 ,83.0,-79.1 ,-69.2 ,125.0
377110 ,84.4 ,87 ,1.1 ,76.9 ,84.6,-79.0 ,-69.2 ,124.8
377200 ,85.3 ,86 ,2.2 ,76.9 ,84.6,-79.5 ,-69.2 ,125.2
377290 ,85.3 ,87 ,1.1 ,78.0 ,84.6,-79.7 ,-69.2 ,125.4
377410 ,85.3 ,86 ,2.2 ,76.9 ,83.0,-79.2 ,-68.9 ,125.2
377500 ,85.3 ,86 ,2.2 ,76.9 ,83.0,-79.4 ,-68.7 ,125.6
377590 ,85.3 ,87 ,2.2 ,78.0 ,83.0,-80.6 ,-68.7 ,127.0
377710 ,86.2 ,86 ,2.2 ,76.9 ,83.0,-81.4 ,-68.4 ,127.5
377800 ,84.4 ,86 ,2.2 ,76.9 ,83.0,-81.5 ,-68.0 ,127.2
377890 ,84.4 ,86 ,2.2 ,76.9 ,83.0,-81.6 ,-67.7 ,127.1
378010 ,84.4 ,86 ,1.1 ,76.9 ,84.6,-81.2 ,-67.3 ,126.8
378100 ,85.3 ,87 ,2.2 ,76.9 ,83.0,-80.6 ,-67.1 ,126.5
378190 ,85.3 ,86 ,1.1 ,76.9 ,84.6,-80.6 ,-67.0 ,127.0
378310 ,85.3 ,86 ,2.2 ,76.9 ,86.1,-81.4 ,-66.5 ,128.0
378400 ,85.3 ,86 ,2.2 ,76.9 ,84.6,-81.5 ,-66.1 ,128.2
378490 ,84.4 ,86 ,2.2 ,76.9 ,83.0,-81.6 ,-65.9 ,128.3
378610 ,85.3 ,86 ,2.2 ,76.9 ,84.6,-82.1 ,-65.8 ,128.9
378700 ,85.3 ,86 ,2.2 ,75.8 ,83.0,-82.5 ,-65.9 ,129.3
378790 ,85.3 ,86 ,2.2 ,76.9 ,83.0,-82.9 ,-66.2 ,129.9
378880 ,85.3 ,86 ,1.1 ,76.9 ,84.6,-82.7 ,-66.3 ,129.7
379000 ,85.3 ,86 ,2.2 ,75.8 ,83.0,-82.4 ,-66.2 ,129.3
379090 ,84.4 ,86 ,2.2 ,76.9 ,83.0,-82.1 ,-66.3 ,129.1
379180 ,84.4 ,86 ,1.1 ,76.9 ,83.0,-81.9 ,-66.3 ,129.0
379300 ,84.4 ,86 ,2.2 ,76.9 ,83.0,-82.5 ,-66.6 ,130.0
379390 ,84.4 ,86 ,2.2 ,76.9 ,83.0,-82.7 ,-66.7 ,130.4
379480 ,85.3 ,86 ,2.2 ,75.8 ,83.0,-82.4 ,-66.7 ,130.3
379600 ,84.4 ,85 ,2.2 ,76.9 ,83.0,-81.7 ,-66.7 ,129.7
379690 ,84.4 ,86 ,1.1 ,75.8 ,83.0,-81.5 ,-66.4 ,129.2
379780 ,84.4 ,85 ,2.2 ,75.8 ,83.0,-81.4 ,-65.8 ,128.7
379900 ,85.3 ,86 ,2.2 ,75.8 ,83.0,-82.1 ,-65.2 ,128.8
379990 ,85.3 ,85 ,2.2 ,76.9 ,83.0,-82.5 ,-65.0 ,129.1
380080 ,84.4 ,85 ,2.2 ,76.9 ,83.0,-83.1 ,-64.7 ,129.7
380200 ,85.3 ,86 ,1.1 ,75.8 ,83.0,-82.4 ,-64.6 ,129.3
380290 ,85.3 ,85 ,2.2 ,75.8 ,83.0,-82.0 ,-64.3 ,129.0
380380 ,84.4 ,85 ,2.2 ,76.9 ,83.0,-82.0 ,-64.2 ,129.4
380500 ,85.3 ,85 ,1.1 ,76.9 ,83.0,-81.3 ,-64.0 ,129.0
380590 ,85.3 ,86 ,2.2 ,75.8 ,81.5,-80.7 ,-63.6 ,127.8
380680 ,85.3 ,85 ,1.1 ,76.9 ,83.0,-80.5 ,-63.6 ,126.4
