TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
340920 ,88.9 ,89 ,78.6 ,18.6 ,80.0,176.5 ,-63.7 ,-127.6
341040 ,88.0 ,90 ,79.7 ,18.6 ,80.0,176.8 ,-64.2 ,-128.4
341130 ,86.2 ,90 ,79.7 ,18.6 ,78.4,176.8 ,-64.7 ,-129.0
341220 ,88.0 ,89 ,78.6 ,19.7 ,78.4,177.0 ,-65.2 ,-129.8
341340 ,86.2 ,90 ,79.7 ,18.6 ,78.4,177.5 ,-65.6 ,-130.9
341430 ,87.1 ,90 ,78.6 ,18.6 ,80.0,178.1 ,-65.8 ,-131.9
341520 ,88.0 ,90 ,79.7 ,18.6 ,78.4,178.6 ,-66.1 ,-132.5
341640 ,86.2 ,90 ,78.6 ,17.5 ,78.4,179.0 ,-66.5 ,-133.1
341730 ,87.1 ,89 ,79.7 ,18.6 ,80.0,179.1 ,-66.9 ,-133.3
341820 ,87.1 ,89 ,78.6 ,18.6 ,78.4,180.0 ,-67.3 ,-134.3
341940 ,87.1 ,89 ,78.6 ,17.5 ,78.4,-177.9 ,-67.7 ,-136.7
342030 ,86.2 ,89 ,78.6 ,17.5 ,80.0,-176.8 ,-68.0 ,-138.3
342120 ,86.2 ,89 ,79.7 ,18.6 ,78.4,-176.4 ,-68.2 ,-138.9
342240 ,87.1 ,89 ,79.7 ,17.5 ,80.0,-176.0 ,-68.7 ,-139.6
342330 ,88.0 ,89 ,79.7 ,17.5 ,80.0,-175.1 ,-68.9 ,-140.7
342420 ,86.2 ,90 ,78.6 ,17.5 ,78.4,-174.4 ,-69.3 ,-141.8
342540 ,88.0 ,89 ,79.7 ,18.6 ,78.4,-174.3 ,-69.7 ,-142.1
342630 ,88.0 ,89 ,79.7 ,17.5 ,80.0,-174.5 ,-69.7 ,-142.0
342720 ,86.2 ,89 ,79.7 ,17.5 ,78.4,-173.9 ,-70.0 ,-142.9
342840 ,87.1 ,89 ,77.5 ,16.4 ,78.4,-172.7 ,-70.1 ,-144.5
342930 ,88.0 ,89 ,79.7 ,17.5 ,80.0,-172.0 ,-70.6 ,-145.6
343020 ,87.1 ,89 ,79.7 ,17.5 ,78.4,-171.2 ,-71.4 ,-147.1
343140 ,87.1 ,89 ,79.7 ,17.5 ,78.4,-170.3 ,-72.1 ,-148.7
343230 ,87.1 ,89 ,78.6 ,17.5 ,78.4,-169.8 ,-72.5 ,-149.3
343320 ,88.0 ,89 ,77.5 ,17.5 ,80.0,-169.1 ,-72.7 ,-150.0
343440 ,88.0 ,89 ,78.6 ,18.6 ,80.0,-167.5 ,-73.2 ,-151.9
343530 ,88.0 ,89 ,79.7 ,18.6 ,80.0,-166.7 ,-73.6 ,-153.1
343620 ,86.2 ,89 ,79.7 ,17.5 ,80.0,-165.8 ,-74.0 ,-154.2
343740 ,88.0 ,89 ,79.7 ,17.5 ,78.4,-164.2 ,-74.3 ,-156.1
343830 ,86.2 ,89 ,79.7 ,17.5 ,78.4,-162.7 ,-74.5 ,-157.8
343920 ,85.3 ,89 ,79.7 ,17.5 ,78.4,-161.4 ,-75.0 ,-159.3
