TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
95200 ,94.2 ,94 ,1.9 ,95.1 ,66.2,-154.3 ,5.1 ,45.4
95320 ,94.2 ,93 ,2.8 ,95.1 ,66.2,-154.5 ,5.2 ,45.3
95410 ,92.8 ,93 ,2.8 ,95.1 ,66.2,-154.2 ,5.1 ,45.8
95500 ,92.8 ,93 ,1.9 ,95.1 ,67.4,-154.5 ,5.2 ,45.9
95620 ,94.2 ,94 ,2.8 ,94.2 ,66.2,-154.9 ,5.3 ,45.8
95710 ,92.8 ,93 ,2.8 ,95.1 ,66.2,-154.9 ,5.4 ,45.9
95800 ,94.2 ,94 ,1.9 ,94.2 ,66.2,-155.3 ,5.4 ,45.9
95920 ,92.8 ,94 ,1.9 ,94.2 ,66.2,-155.6 ,5.4 ,45.9
96010 ,92.8 ,93 ,1.9 ,94.2 ,66.2,-155.9 ,5.3 ,45.8
96100 ,94.2 ,94 ,2.8 ,95.1 ,66.2,-156.2 ,5.3 ,45.8
96220 ,92.8 ,93 ,2.8 ,94.2 ,66.2,-156.4 ,5.5 ,45.4
96310 ,94.2 ,93 ,2.8 ,95.1 ,66.2,-156.5 ,5.5 ,45.4
96400 ,94.2 ,93 ,1.9 ,94.2 ,67.4,-156.6 ,5.5 ,45.3
96520 ,94.2 ,93 ,0.9 ,95.1 ,66.2,-156.5 ,5.7 ,45.3
96610 ,94.2 ,94 ,2.8 ,95.1 ,65.0,-156.7 ,5.7 ,45.2
96700 ,92.8 ,93 ,1.9 ,95.1 ,66.2,-157.1 ,5.9 ,45.0
96820 ,94.2 ,94 ,2.8 ,94.2 ,65.0,-157.5 ,6.3 ,45.2
96910 ,94.2 ,95 ,1.9 ,94.2 ,65.0,-157.7 ,6.3 ,45.3
97000 ,94.2 ,94 ,1.9 ,94.2 ,66.2,-158.0 ,6.4 ,45.5
97120 ,94.2 ,93 ,1.9 ,96.1 ,66.2,-158.2 ,6.4 ,45.6
97210 ,94.2 ,94 ,1.9 ,95.1 ,65.0,-158.5 ,6.4 ,45.6
97330 ,92.8 ,94 ,1.9 ,94.2 ,66.2,-159.0 ,6.3 ,45.7
97420 ,94.2 ,93 ,2.8 ,94.2 ,66.2,-159.2 ,6.3 ,45.8
97510 ,94.2 ,94 ,0.9 ,94.2 ,66.2,-159.5 ,6.4 ,46.1
97630 ,94.2 ,93 ,1.9 ,95.1 ,65.0,-160.0 ,6.3 ,46.0
97720 ,94.2 ,93 ,1.9 ,95.1 ,66.2,-160.1 ,6.3 ,45.9
97810 ,91.4 ,93 ,2.8 ,94.2 ,65.0,-160.2 ,6.2 ,46.1
97930 ,92.8 ,94 ,1.9 ,95.1 ,66.2,-160.9 ,6.1 ,46.1
98020 ,94.2 ,93 ,1.9 ,94.2 ,66.2,-161.3 ,6.1 ,46.4
98110 ,92.8 ,93 ,1.9 ,94.2 ,65.0,-161.4 ,6.3 ,46.7
98230 ,92.8 ,94 ,1.9 ,95.1 ,65.0,-161.7 ,6.6 ,46.6
98320 ,94.2 ,93 ,1.9 ,94.2 ,66.2,-162.0 ,6.6 ,46.4
98410 ,94.2 ,93 ,2.8 ,94.2 ,65.0,-162.1 ,6.8 ,46.3
98530 ,94.2 ,94 ,1.9 ,94.2 ,65.0,-162.0 ,7.1 ,46.6
98620 ,94.2 ,94 ,1.9 ,93.2 ,65.0,-162.3 ,7.1 ,46.9
98710 ,94.2 ,94 ,1.9 ,94.2 ,65.0,-162.6 ,7.0 ,46.8
98830 ,94.2 ,93 ,2.8 ,95.1 ,66.2,-163.0 ,7.3 ,46.6
98920 ,94.2 ,93 ,0.9 ,95.1 ,66.2,-162.8 ,7.6 ,46.9
99010 ,94.2 ,94 ,1.9 ,95.1 ,65.0,-163.1 ,7.5 ,47.3
99130 ,92.8 ,93 ,2.8 ,94.2 ,66.2,-163.2 ,7.7 ,48.2
99220 ,94.2 ,94 ,1.9 ,94.2 ,66.2,-162.8 ,8.1 ,49.0
99310 ,94.2 ,94 ,1.9 ,95.1 ,66.2,-162.8 ,8.1 ,49.0
99430 ,92.8 ,94 ,1.9 ,95.1 ,66.2,-163.4 ,8.4 ,49.4
99520 ,92.8 ,94 ,1.9 ,95.1 ,66.2,-162.9 ,8.5 ,50.1
99610 ,94.2 ,94 ,1.9 ,95.1 ,65.0,-163.7 ,8.8 ,50.1
99730 ,94.2 ,94 ,1.9 ,95.1 ,65.0,-164.9 ,9.2 ,49.7
99820 ,92.8 ,94 ,1.9 ,94.2 ,66.2,-165.3 ,9.6 ,49.8
99910 ,92.8 ,94 ,1.9 ,93.2 ,65.0,-165.6 ,9.5 ,49.8
100030 ,94.2 ,93 ,1.9 ,94.2 ,65.0,-166.2 ,9.8 ,49.6
100100 ,94.2 ,94 ,1.9 ,94.2 ,65.0,-166.5 ,9.9 ,49.6
100240 ,92.8 ,94 ,1.9 ,94.2 ,65.0,-167.0 ,9.9 ,49.6
100330 ,94.2 ,93 ,1.9 ,95.1 ,65.0,-167.5 ,10.0 ,49.4
100420 ,95.7 ,94 ,1.9 ,95.1 ,65.0,-167.7 ,10.1 ,49.5
100540 ,94.2 ,94 ,2.8 ,94.2 ,65.0,-167.9 ,10.4 ,49.8
100630 ,94.2 ,94 ,1.9 ,95.1 ,66.2,-168.3 ,10.5 ,49.6
100720 ,92.8 ,94 ,2.8 ,94.2 ,63.8,-168.3 ,10.5 ,49.4
100840 ,94.2 ,93 ,1.9 ,94.2 ,66.2,-169.1 ,11.3 ,48.9
100930 ,94.2 ,94 ,1.9 ,94.2 ,65.0,-169.9 ,11.5 ,48.8
101020 ,92.8 ,93 ,2.8 ,95.1 ,65.0,-170.3 ,11.8 ,48.9
101140 ,94.2 ,93 ,1.9 ,94.2 ,67.4,-170.9 ,12.2 ,48.8
101230 ,92.8 ,94 ,1.9 ,94.2 ,66.2,-171.2 ,12.5 ,48.9
101320 ,94.2 ,93 ,1.9 ,95.1 ,66.2,-171.4 ,12.8 ,49.2
101440 ,92.8 ,94 ,2.8 ,94.2 ,66.2,-171.5 ,12.8 ,49.3
101530 ,92.8 ,94 ,1.9 ,94.2 ,66.2,-171.6 ,12.8 ,49.5
101620 ,94.2 ,94 ,1.9 ,95.1 ,66.2,-171.8 ,12.8 ,49.6
101740 ,92.8 ,94 ,1.9 ,95.1 ,66.2,-172.1 ,12.8 ,49.8
101830 ,94.2 ,94 ,1.9 ,94.2 ,65.0,-172.5 ,12.8 ,49.7
101920 ,94.2 ,93 ,1.9 ,95.1 ,66.2,-172.6 ,12.8 ,49.8
102040 ,94.2 ,94 ,1.9 ,95.1 ,66.2,-172.5 ,12.9 ,49.8
102130 ,94.2 ,93 ,1.9 ,95.1 ,65.0,-172.4 ,13.0 ,50.0
102220 ,94.2 ,94 ,1.9 ,95.1 ,66.2,-172.3 ,13.1 ,50.0
102340 ,94.2 ,94 ,1.9 ,95.1 ,66.2,-172.0 ,13.2 ,49.9
