TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
129070 ,2.5 ,96 ,96.1 ,94.2 ,71.0,-155.0 ,5.0 ,38.5
129190 ,2.5 ,96 ,96.1 ,96.1 ,73.4,-156.0 ,4.4 ,40.2
129280 ,3.7 ,96 ,96.1 ,95.1 ,72.2,-158.9 ,4.2 ,42.5
129370 ,5.0 ,95 ,96.1 ,96.1 ,73.4,-161.5 ,4.7 ,45.9
129490 ,3.7 ,96 ,96.1 ,95.1 ,72.2,-159.5 ,4.0 ,50.0
129580 ,5.0 ,96 ,97.1 ,95.1 ,72.2,-159.0 ,4.2 ,49.9
129670 ,5.0 ,96 ,96.1 ,95.1 ,72.2,-159.3 ,4.5 ,49.0
129790 ,3.7 ,95 ,96.1 ,96.1 ,72.2,-159.0 ,4.8 ,48.8
129880 ,5.0 ,95 ,96.1 ,95.1 ,72.2,-158.9 ,4.6 ,48.8
129970 ,5.0 ,96 ,96.1 ,95.1 ,72.2,-159.1 ,4.1 ,48.6
130090 ,6.3 ,96 ,96.1 ,95.1 ,72.2,-158.7 ,2.6 ,48.4
130180 ,6.3 ,95 ,96.1 ,95.1 ,72.2,-158.7 ,2.5 ,48.0
130270 ,2.5 ,96 ,95.2 ,95.1 ,71.0,-158.9 ,2.6 ,47.6
130390 ,2.5 ,96 ,96.1 ,96.1 ,71.0,-158.9 ,3.1 ,48.0
130480 ,7.5 ,96 ,96.1 ,95.1 ,72.2,-159.0 ,3.1 ,48.0
130570 ,5.0 ,96 ,95.2 ,96.1 ,71.0,-159.1 ,3.2 ,48.1
130690 ,5.0 ,95 ,96.1 ,95.1 ,71.0,-158.9 ,3.2 ,48.4
130780 ,3.7 ,96 ,96.1 ,95.1 ,71.0,-158.3 ,2.8 ,48.9
130870 ,2.5 ,95 ,96.1 ,96.1 ,72.2,-157.9 ,2.4 ,48.8
130990 ,5.0 ,96 ,96.1 ,95.1 ,72.2,-157.7 ,1.2 ,46.9
131080 ,6.3 ,96 ,96.1 ,95.1 ,73.4,-157.1 ,1.0 ,46.7
131200 ,3.7 ,95 ,96.1 ,95.1 ,74.6,-157.0 ,1.3 ,46.6
131290 ,6.3 ,96 ,95.2 ,96.1 ,73.4,-156.9 ,1.4 ,46.7
131380 ,6.3 ,96 ,96.1 ,94.2 ,73.4,-156.7 ,1.4 ,46.8
131500 ,2.5 ,96 ,96.1 ,96.1 ,73.4,-156.7 ,1.0 ,46.6
131590 ,1.2 ,96 ,96.1 ,94.2 ,73.4,-156.9 ,1.1 ,46.6
131680 ,1.2 ,95 ,96.1 ,95.1 ,73.4,-156.9 ,1.1 ,46.8
131800 ,3.7 ,96 ,96.1 ,95.1 ,73.4,-157.0 ,1.3 ,47.0
131890 ,2.5 ,96 ,95.2 ,95.1 ,73.4,-157.1 ,1.2 ,46.9
131980 ,5.0 ,96 ,95.2 ,95.1 ,72.2,-157.1 ,1.4 ,46.9
132100 ,2.5 ,97 ,96.1 ,95.1 ,72.2,-156.9 ,1.6 ,46.9
132190 ,1.2 ,96 ,95.2 ,94.2 ,72.2,-156.3 ,0.9 ,46.5
132280 ,5.0 ,96 ,95.2 ,95.1 ,72.2,-156.1 ,0.7 ,46.3
132400 ,6.3 ,96 ,96.1 ,95.1 ,72.2,-155.9 ,0.6 ,46.6
132490 ,6.3 ,95 ,96.1 ,95.1 ,72.2,-155.8 ,0.7 ,46.9
132580 ,7.5 ,95 ,96.1 ,96.1 ,73.4,-155.6 ,0.7 ,47.2
132700 ,7.5 ,95 ,95.2 ,96.1 ,71.0,-155.1 ,1.3 ,48.1
132790 ,3.7 ,96 ,95.2 ,95.1 ,72.2,-154.9 ,1.6 ,48.3
132880 ,6.3 ,96 ,96.1 ,95.1 ,72.2,-154.5 ,1.6 ,48.1
133000 ,3.7 ,95 ,96.1 ,95.1 ,71.0,-153.6 ,1.2 ,47.6
133090 ,5.0 ,95 ,96.1 ,95.1 ,73.4,-151.3 ,0.1 ,47.0
133180 ,3.7 ,95 ,95.2 ,95.1 ,71.0,-150.0 ,0.4 ,46.7
133300 ,6.3 ,95 ,96.1 ,94.2 ,72.2,-149.5 ,1.2 ,47.0
133390 ,3.7 ,96 ,96.1 ,95.1 ,72.2,-148.7 ,1.5 ,47.2
133480 ,3.7 ,95 ,96.1 ,95.1 ,71.0,-147.5 ,1.1 ,46.8
133600 ,6.3 ,95 ,95.2 ,95.1 ,71.0,-146.7 ,1.5 ,47.2
133690 ,3.7 ,95 ,95.2 ,96.1 ,71.0,-146.0 ,2.1 ,46.8
133780 ,3.7 ,95 ,95.2 ,96.1 ,71.0,-144.4 ,1.9 ,46.1
133900 ,3.7 ,95 ,95.2 ,95.1 ,71.0,-141.5 ,2.0 ,46.1
133970 ,7.5 ,95 ,96.1 ,96.1 ,71.0,-139.9 ,1.6 ,45.8
134080 ,5.0 ,95 ,95.2 ,95.1 ,71.0,-140.5 ,1.9 ,45.3
134200 ,3.7 ,96 ,96.1 ,96.1 ,71.0,-140.9 ,1.7 ,45.5
134290 ,2.5 ,96 ,95.2 ,95.1 ,69.8,-140.8 ,1.8 ,45.9
134380 ,5.0 ,95 ,94.2 ,95.1 ,69.8,-140.8 ,1.8 ,46.0
134500 ,3.7 ,95 ,96.1 ,95.1 ,69.8,-140.6 ,2.0 ,46.2
134590 ,3.7 ,95 ,95.2 ,95.1 ,69.8,-140.7 ,2.1 ,46.2
134680 ,5.0 ,96 ,95.2 ,95.1 ,71.0,-140.7 ,2.0 ,46.0
134800 ,5.0 ,95 ,96.1 ,95.1 ,69.8,-140.6 ,2.1 ,45.8
134890 ,2.5 ,96 ,95.2 ,95.1 ,69.8,-140.3 ,2.1 ,45.8
135010 ,3.7 ,95 ,95.2 ,96.1 ,68.6,-140.0 ,2.0 ,45.8
135100 ,2.5 ,95 ,95.2 ,95.1 ,69.8,-139.9 ,2.0 ,46.0
135190 ,3.7 ,95 ,95.2 ,96.1 ,69.8,-140.1 ,2.0 ,46.1
135310 ,5.0 ,95 ,95.2 ,95.1 ,69.8,-139.9 ,2.2 ,46.2
135400 ,6.3 ,95 ,95.2 ,95.1 ,69.8,-139.9 ,2.0 ,46.2
135490 ,6.3 ,96 ,95.2 ,96.1 ,69.8,-139.8 ,1.9 ,46.2
135610 ,3.7 ,95 ,95.2 ,95.1 ,71.0,-139.6 ,1.9 ,46.5
135700 ,5.0 ,95 ,95.2 ,95.1 ,69.8,-139.6 ,1.7 ,46.8
135790 ,6.3 ,96 ,95.2 ,96.1 ,71.0,-139.7 ,1.5 ,46.8
135910 ,3.7 ,95 ,95.2 ,95.1 ,69.8,-139.7 ,1.4 ,46.9
136000 ,1.2 ,95 ,96.1 ,95.1 ,71.0,-139.6 ,1.2 ,47.0
136090 ,3.7 ,95 ,95.2 ,95.1 ,69.8,-139.6 ,0.9 ,47.1
136210 ,7.5 ,96 ,95.2 ,95.1 ,69.8,-139.7 ,0.9 ,47.0
136300 ,8.8 ,96 ,96.1 ,95.1 ,69.8,-139.6 ,1.0 ,47.1
136390 ,6.3 ,95 ,95.2 ,95.1 ,69.8,-139.7 ,1.0 ,47.0
136510 ,7.5 ,95 ,96.1 ,95.1 ,68.6,-139.7 ,1.1 ,46.9
136600 ,7.5 ,95 ,96.1 ,96.1 ,69.8,-139.8 ,1.2 ,46.7
136690 ,7.5 ,95 ,96.1 ,95.1 ,69.8,-139.8 ,1.4 ,46.7
136810 ,11.3 ,95 ,95.2 ,95.1 ,69.8,-140.2 ,1.7 ,46.5
136900 ,7.5 ,96 ,94.2 ,95.1 ,69.8,-140.1 ,1.7 ,46.5
136990 ,7.5 ,96 ,95.2 ,95.1 ,68.6,-140.1 ,1.8 ,46.5
137110 ,6.3 ,95 ,96.1 ,95.1 ,71.0,-140.1 ,1.9 ,46.7
137200 ,5.0 ,95 ,95.2 ,95.1 ,69.8,-140.1 ,1.8 ,46.6
137290 ,7.5 ,95 ,96.1 ,95.1 ,69.8,-140.1 ,1.7 ,46.5
137410 ,6.3 ,95 ,95.2 ,95.1 ,69.8,-140.1 ,1.6 ,46.5
137500 ,3.7 ,95 ,96.1 ,95.1 ,69.8,-140.1 ,1.6 ,46.5
137590 ,6.3 ,95 ,95.2 ,95.1 ,69.8,-140.1 ,1.5 ,46.5
137710 ,8.8 ,95 ,96.1 ,95.1 ,71.0,-140.0 ,1.5 ,46.6
137800 ,10.1 ,95 ,95.2 ,95.1 ,68.6,-140.0 ,1.5 ,46.7
137890 ,8.8 ,96 ,95.2 ,95.1 ,69.8,-140.0 ,1.3 ,46.6
138010 ,6.3 ,95 ,95.2 ,94.2 ,69.8,-140.1 ,1.1 ,46.6
138100 ,5.0 ,95 ,95.2 ,95.1 ,69.8,-140.1 ,1.0 ,46.5
138190 ,6.3 ,95 ,95.2 ,95.1 ,69.8,-139.9 ,1.2 ,46.6
138310 ,15.1 ,95 ,94.2 ,95.1 ,69.8,-139.9 ,1.3 ,46.6
138400 ,6.3 ,95 ,95.2 ,95.1 ,71.0,-139.8 ,1.4 ,46.7
138520 ,8.8 ,95 ,95.2 ,95.1 ,69.8,-139.7 ,1.6 ,46.6
138610 ,10.1 ,95 ,95.2 ,95.1 ,69.8,-139.7 ,1.6 ,46.6
138700 ,8.8 ,96 ,94.2 ,95.1 ,69.8,-139.7 ,1.5 ,46.6
138820 ,7.5 ,95 ,94.2 ,96.1 ,69.8,-139.7 ,1.4 ,46.6
