TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
264800 ,97.0 ,98 ,97.9 ,90.6 ,94.4,136.4 ,-27.8 ,78.7
264920 ,97.0 ,98 ,98.9 ,90.6 ,93.3,136.4 ,-27.9 ,78.8
265010 ,97.0 ,98 ,97.9 ,90.6 ,93.3,136.3 ,-27.9 ,78.8
265100 ,96.0 ,98 ,98.9 ,90.6 ,93.3,136.2 ,-27.9 ,78.9
265220 ,97.0 ,98 ,97.9 ,91.6 ,94.4,136.2 ,-27.9 ,79.1
265310 ,97.0 ,98 ,97.9 ,90.6 ,93.3,136.1 ,-27.9 ,79.2
265400 ,97.0 ,97 ,98.9 ,91.6 ,94.4,136.1 ,-27.9 ,79.2
265520 ,97.0 ,98 ,97.9 ,91.6 ,94.4,136.0 ,-28.0 ,79.3
265610 ,96.0 ,98 ,97.9 ,91.6 ,93.3,136.0 ,-28.0 ,79.3
265730 ,96.0 ,98 ,98.9 ,90.6 ,93.3,136.0 ,-28.0 ,79.3
265820 ,97.0 ,98 ,96.9 ,90.6 ,93.3,136.0 ,-28.0 ,79.3
265940 ,96.0 ,98 ,97.9 ,90.6 ,93.3,136.1 ,-28.1 ,79.1
266030 ,97.0 ,98 ,98.9 ,90.6 ,93.3,136.1 ,-28.1 ,79.1
266150 ,96.0 ,99 ,97.9 ,90.6 ,93.3,136.0 ,-28.1 ,79.2
266240 ,96.0 ,98 ,97.9 ,90.6 ,93.3,136.0 ,-28.0 ,79.2
266360 ,96.0 ,98 ,98.9 ,90.6 ,94.4,136.1 ,-27.9 ,79.0
266450 ,96.0 ,98 ,98.9 ,90.6 ,93.3,136.0 ,-27.8 ,79.2
266540 ,96.0 ,98 ,97.9 ,90.6 ,93.3,136.0 ,-27.7 ,79.2
266660 ,97.0 ,97 ,98.9 ,90.6 ,93.3,136.0 ,-27.5 ,79.1
266750 ,97.0 ,99 ,98.9 ,90.6 ,92.2,136.0 ,-27.6 ,79.2
266840 ,97.0 ,98 ,97.9 ,90.6 ,94.4,136.0 ,-27.6 ,79.2
266960 ,97.0 ,98 ,96.9 ,90.6 ,93.3,136.1 ,-27.6 ,79.2
