TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
679540 ,97.0 ,97 ,93.8 ,86.5 ,40.0,79.8 ,-12.4 ,175.5
679660 ,98.0 ,97 ,92.7 ,87.6 ,40.0,79.8 ,-12.4 ,175.5
679750 ,97.0 ,97 ,92.7 ,87.6 ,38.8,79.9 ,-12.4 ,175.5
679840 ,98.0 ,97 ,93.8 ,87.6 ,40.0,79.9 ,-12.4 ,175.5
679960 ,96.0 ,96 ,93.8 ,86.5 ,40.0,79.9 ,-12.4 ,175.5
680050 ,97.0 ,97 ,93.8 ,86.5 ,38.8,79.9 ,-12.4 ,175.4
680140 ,98.0 ,97 ,93.8 ,86.5 ,40.0,79.9 ,-12.4 ,175.4
680260 ,96.0 ,97 ,93.8 ,86.5 ,37.7,79.9 ,-12.4 ,175.5
680350 ,96.0 ,97 ,93.8 ,85.5 ,40.0,79.8 ,-12.5 ,175.6
680440 ,97.0 ,97 ,92.7 ,86.5 ,40.0,79.8 ,-12.5 ,175.7
680560 ,96.0 ,97 ,93.8 ,86.5 ,38.8,79.7 ,-12.5 ,175.8
680650 ,97.0 ,97 ,93.8 ,86.5 ,40.0,79.7 ,-12.5 ,175.8
680740 ,97.0 ,97 ,93.8 ,87.6 ,38.8,79.7 ,-12.5 ,175.8
680860 ,99.0 ,97 ,94.8 ,87.6 ,37.7,79.7 ,-12.5 ,175.9
680950 ,99.0 ,97 ,93.8 ,87.6 ,40.0,79.7 ,-12.5 ,175.8
681040 ,99.0 ,97 ,94.8 ,87.6 ,38.8,79.7 ,-12.5 ,175.8
681160 ,99.0 ,97 ,93.8 ,86.5 ,37.7,79.7 ,-12.5 ,175.9
681250 ,99.0 ,97 ,93.8 ,86.5 ,38.8,79.7 ,-12.6 ,175.9
681340 ,99.0 ,96 ,93.8 ,87.6 ,41.1,79.6 ,-12.6 ,175.8
681460 ,99.0 ,97 ,94.8 ,87.6 ,40.0,79.6 ,-12.6 ,175.9
681550 ,99.0 ,96 ,93.8 ,87.6 ,38.8,79.6 ,-12.6 ,175.9
681640 ,98.0 ,97 ,93.8 ,87.6 ,40.0,79.6 ,-12.5 ,175.9
681760 ,98.0 ,97 ,93.8 ,87.6 ,38.8,79.6 ,-12.5 ,175.8
681850 ,99.0 ,97 ,93.8 ,86.5 ,38.8,79.6 ,-12.5 ,175.8
681940 ,99.0 ,96 ,94.8 ,87.6 ,40.0,79.6 ,-12.5 ,175.8
682060 ,99.0 ,96 ,93.8 ,87.6 ,38.8,79.6 ,-12.5 ,175.9
682150 ,99.0 ,97 ,93.8 ,87.6 ,40.0,79.5 ,-12.5 ,175.8
682240 ,98.0 ,97 ,93.8 ,87.6 ,40.0,79.5 ,-12.4 ,175.9
682360 ,96.0 ,96 ,94.8 ,86.5 ,40.0,79.5 ,-12.5 ,175.9
682450 ,96.0 ,96 ,94.8 ,87.6 ,38.8,79.5 ,-12.5 ,176.0
682540 ,96.0 ,96 ,93.8 ,87.6 ,40.0,79.5 ,-12.5 ,175.9
682660 ,97.0 ,97 ,93.8 ,87.6 ,38.8,79.5 ,-12.4 ,175.9
682750 ,97.0 ,96 ,94.8 ,86.5 ,38.8,79.5 ,-12.4 ,175.9
