TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
659380 ,94.3 ,95 ,97.9 ,81.6 ,88.0,-139.5 ,-19.4 ,-11.1
659500 ,95.3 ,95 ,96.8 ,81.6 ,88.0,-139.5 ,-19.4 ,-11.2
659590 ,95.3 ,95 ,96.8 ,80.6 ,86.6,-139.4 ,-19.4 ,-11.3
659680 ,95.3 ,95 ,97.9 ,80.6 ,88.0,-139.3 ,-19.5 ,-11.5
659800 ,96.2 ,95 ,96.8 ,81.6 ,88.0,-139.2 ,-19.5 ,-11.7
659890 ,94.3 ,95 ,97.9 ,80.6 ,86.6,-139.0 ,-19.6 ,-12.1
659980 ,95.3 ,95 ,97.9 ,80.6 ,86.6,-139.0 ,-19.7 ,-12.2
660070 ,95.3 ,95 ,97.9 ,80.6 ,86.6,-139.0 ,-19.7 ,-12.4
660190 ,94.3 ,95 ,97.9 ,80.6 ,88.0,-138.7 ,-19.8 ,-12.6
660280 ,95.3 ,95 ,96.8 ,81.6 ,88.0,-138.5 ,-19.8 ,-12.7
660370 ,96.2 ,95 ,96.8 ,80.6 ,86.6,-138.5 ,-19.8 ,-12.8
660490 ,96.2 ,95 ,96.8 ,81.6 ,86.6,-138.5 ,-19.8 ,-12.8
660580 ,96.2 ,95 ,96.8 ,80.6 ,86.6,-138.4 ,-19.9 ,-12.8
660670 ,96.2 ,95 ,96.8 ,80.6 ,86.6,-138.5 ,-19.9 ,-12.8
660790 ,95.3 ,95 ,97.9 ,80.6 ,88.0,-138.6 ,-20.0 ,-13.0
660880 ,96.2 ,95 ,95.8 ,80.6 ,86.6,-138.5 ,-20.0 ,-13.1
660970 ,95.3 ,95 ,97.9 ,80.6 ,88.0,-138.4 ,-20.1 ,-13.3
661090 ,95.3 ,95 ,97.9 ,81.6 ,86.6,-138.4 ,-20.1 ,-13.6
661180 ,96.2 ,95 ,96.8 ,79.5 ,85.3,-138.4 ,-20.1 ,-13.8
661270 ,96.2 ,95 ,96.8 ,80.6 ,86.6,-138.2 ,-20.1 ,-14.0
661390 ,96.2 ,94 ,97.9 ,81.6 ,86.6,-138.2 ,-20.1 ,-14.1
661480 ,96.2 ,95 ,96.8 ,80.6 ,86.6,-138.1 ,-20.1 ,-14.0
661570 ,96.2 ,95 ,96.8 ,81.6 ,86.6,-138.1 ,-20.1 ,-14.0
661660 ,96.2 ,95 ,97.9 ,80.6 ,85.3,-138.3 ,-20.2 ,-13.9
661780 ,95.3 ,95 ,97.9 ,80.6 ,86.6,-138.7 ,-20.1 ,-13.8
661870 ,95.3 ,95 ,97.9 ,81.6 ,86.6,-138.9 ,-20.2 ,-13.6
661960 ,96.2 ,95 ,96.8 ,80.6 ,86.6,-139.0 ,-20.2 ,-13.7
662080 ,96.2 ,95 ,96.8 ,80.6 ,85.3,-139.1 ,-20.2 ,-13.8
662170 ,96.2 ,95 ,96.8 ,80.6 ,86.6,-139.2 ,-20.1 ,-13.8
662260 ,95.3 ,95 ,97.9 ,80.6 ,85.3,-139.2 ,-20.1 ,-13.6
662380 ,95.3 ,95 ,97.9 ,81.6 ,86.6,-139.3 ,-20.2 ,-13.5
662470 ,95.3 ,95 ,97.9 ,80.6 ,85.3,-139.5 ,-20.2 ,-13.4
662560 ,96.2 ,95 ,95.8 ,80.6 ,86.6,-139.7 ,-20.2 ,-13.4
662680 ,95.3 ,95 ,96.8 ,81.6 ,86.6,-139.5 ,-20.2 ,-13.5
662770 ,95.3 ,95 ,96.8 ,80.6 ,85.3,-139.3 ,-20.2 ,-13.5
662860 ,96.2 ,95 ,96.8 ,80.6 ,86.6,-139.3 ,-20.3 ,-13.6
662980 ,95.3 ,94 ,97.9 ,80.6 ,85.3,-139.7 ,-20.5 ,-13.5
663070 ,96.2 ,95 ,96.8 ,80.6 ,86.6,-139.8 ,-20.5 ,-13.4
663160 ,95.3 ,95 ,97.9 ,80.6 ,85.3,-139.7 ,-20.5 ,-13.3
663280 ,95.3 ,94 ,96.8 ,80.6 ,86.6,-139.6 ,-20.5 ,-13.3
663370 ,95.3 ,95 ,96.8 ,80.6 ,85.3,-139.7 ,-20.5 ,-13.3
663460 ,95.3 ,95 ,96.8 ,80.6 ,85.3,-139.8 ,-20.5 ,-13.2
663550 ,96.2 ,95 ,96.8 ,80.6 ,86.6,-139.9 ,-20.5 ,-13.0
663670 ,96.2 ,95 ,96.8 ,80.6 ,85.3,-139.8 ,-20.5 ,-13.0
663760 ,95.3 ,95 ,97.9 ,80.6 ,85.3,-139.8 ,-20.5 ,-13.0
663850 ,96.2 ,95 ,96.8 ,80.6 ,86.6,-139.9 ,-20.6 ,-13.0
663970 ,95.3 ,95 ,96.8 ,80.6 ,86.6,-140.0 ,-20.8 ,-12.9
664060 ,96.2 ,95 ,96.8 ,80.6 ,85.3,-139.8 ,-20.8 ,-13.0
664150 ,96.2 ,95 ,96.8 ,81.6 ,85.3,-139.6 ,-20.9 ,-13.0
664250 ,95.3 ,95 ,96.8 ,80.6 ,86.6,-139.6 ,-21.0 ,-13.0
664360 ,95.3 ,95 ,96.8 ,81.6 ,86.6,-139.6 ,-21.2 ,-13.1
664450 ,96.2 ,95 ,96.8 ,80.6 ,86.6,-139.4 ,-21.4 ,-13.3
664570 ,95.3 ,95 ,96.8 ,79.5 ,85.3,-139.0 ,-21.5 ,-13.7
664660 ,94.3 ,95 ,96.8 ,80.6 ,86.6,-138.8 ,-21.6 ,-13.8
664750 ,94.3 ,94 ,96.8 ,80.6 ,85.3,-138.7 ,-21.7 ,-13.9
664870 ,95.3 ,94 ,96.8 ,80.6 ,85.3,-138.6 ,-21.7 ,-13.8
664960 ,95.3 ,95 ,96.8 ,80.6 ,86.6,-138.6 ,-21.7 ,-13.8
665050 ,95.3 ,95 ,97.9 ,80.6 ,85.3,-138.7 ,-21.7 ,-13.6
665170 ,95.3 ,95 ,96.8 ,80.6 ,86.6,-138.6 ,-21.8 ,-13.6
665260 ,95.3 ,95 ,96.8 ,80.6 ,86.6,-138.5 ,-21.8 ,-13.6
665350 ,95.3 ,94 ,96.8 ,80.6 ,85.3,-138.5 ,-21.8 ,-13.6
665470 ,95.3 ,95 ,96.8 ,80.6 ,85.3,-138.5 ,-21.8 ,-13.8
665560 ,95.3 ,95 ,96.8 ,79.5 ,85.3,-138.5 ,-21.8 ,-14.0
665650 ,95.3 ,95 ,97.9 ,81.6 ,85.3,-138.5 ,-21.9 ,-14.1
665770 ,95.3 ,95 ,96.8 ,80.6 ,86.6,-138.6 ,-21.9 ,-14.2
665860 ,95.3 ,95 ,96.8 ,81.6 ,85.3,-138.6 ,-21.9 ,-14.3
665950 ,96.2 ,95 ,96.8 ,81.6 ,86.6,-138.6 ,-21.8 ,-14.2
666070 ,96.2 ,95 ,96.8 ,81.6 ,85.3,-138.5 ,-21.9 ,-14.2
666160 ,95.3 ,95 ,96.8 ,80.6 ,85.3,-138.6 ,-22.1 ,-14.2
666250 ,95.3 ,95 ,96.8 ,81.6 ,86.6,-138.6 ,-22.2 ,-14.2
666370 ,95.3 ,95 ,96.8 ,80.6 ,85.3,-138.7 ,-22.2 ,-14.0
666460 ,95.3 ,95 ,97.9 ,81.6 ,85.3,-138.7 ,-22.1 ,-13.8
666550 ,95.3 ,95 ,97.9 ,81.6 ,85.3,-138.6 ,-22.1 ,-13.8
666670 ,95.3 ,94 ,96.8 ,81.6 ,85.3,-138.5 ,-22.2 ,-14.0
666760 ,95.3 ,95 ,96.8 ,79.5 ,85.3,-138.5 ,-22.1 ,-14.1
666850 ,96.2 ,95 ,96.8 ,80.6 ,85.3,-138.5 ,-22.1 ,-14.2
666970 ,96.2 ,95 ,96.8 ,80.6 ,84.0,-138.5 ,-22.0 ,-14.1
667060 ,96.2 ,95 ,96.8 ,80.6 ,86.6,-138.5 ,-22.0 ,-14.2
667150 ,96.2 ,95 ,96.8 ,80.6 ,84.0,-138.8 ,-22.0 ,-13.9
667270 ,96.2 ,95 ,96.8 ,80.6 ,85.3,-139.5 ,-21.8 ,-13.9
667360 ,95.3 ,95 ,96.8 ,81.6 ,85.3,-140.0 ,-21.3 ,-13.8
