TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
197090 ,97.7 ,97 ,92.6 ,0.8 ,64.4,-91.8 ,-15.0 ,-114.7
197210 ,97.7 ,97 ,92.6 ,0.8 ,64.4,-92.1 ,-14.9 ,-114.3
197300 ,97.7 ,97 ,92.6 ,0.8 ,65.7,-92.3 ,-15.0 ,-114.1
197390 ,97.7 ,97 ,92.6 ,1.7 ,63.1,-92.4 ,-15.4 ,-113.7
197510 ,97.7 ,96 ,93.5 ,1.7 ,64.4,-92.3 ,-16.0 ,-113.1
197600 ,97.7 ,96 ,91.7 ,0.8 ,63.1,-92.2 ,-16.0 ,-113.0
197690 ,97.7 ,97 ,92.6 ,0.8 ,64.4,-92.2 ,-15.8 ,-113.3
197810 ,97.7 ,96 ,93.5 ,1.7 ,65.7,-92.5 ,-15.6 ,-113.5
197900 ,97.7 ,96 ,92.6 ,0.8 ,63.1,-92.3 ,-15.9 ,-113.5
197990 ,97.7 ,97 ,92.6 ,0.8 ,64.4,-92.3 ,-16.0 ,-113.7
198110 ,97.7 ,97 ,92.6 ,0.8 ,64.4,-92.4 ,-15.8 ,-114.0
198200 ,97.7 ,97 ,92.6 ,0.8 ,64.4,-92.3 ,-16.0 ,-114.1
198290 ,97.7 ,96 ,92.6 ,0.8 ,64.4,-92.1 ,-16.0 ,-114.3
198410 ,97.7 ,96 ,92.6 ,0.8 ,64.4,-91.9 ,-15.8 ,-114.6
198500 ,97.7 ,96 ,92.6 ,0.8 ,64.4,-91.9 ,-15.5 ,-114.7
198590 ,98.4 ,96 ,92.6 ,0.8 ,64.4,-92.0 ,-15.3 ,-114.9
198710 ,97.7 ,96 ,91.7 ,0.8 ,65.7,-92.0 ,-15.5 ,-115.0
198800 ,97.7 ,97 ,92.6 ,0.8 ,64.4,-92.0 ,-15.6 ,-115.2
198890 ,97.7 ,96 ,92.6 ,0.8 ,64.4,-91.8 ,-15.8 ,-115.4
199010 ,97.7 ,96 ,92.6 ,0.8 ,64.4,-91.5 ,-15.3 ,-115.9
199100 ,97.7 ,97 ,92.6 ,1.7 ,63.1,-92.1 ,-15.1 ,-116.1
199190 ,97.7 ,97 ,92.6 ,1.7 ,63.1,-92.0 ,-15.1 ,-115.9
199310 ,97.7 ,97 ,92.6 ,0.8 ,63.1,-91.9 ,-14.9 ,-115.5
199400 ,97.7 ,97 ,92.6 ,1.7 ,64.4,-91.9 ,-14.9 ,-115.4
199490 ,97.7 ,97 ,92.6 ,1.7 ,63.1,-91.8 ,-15.1 ,-115.1
199610 ,98.4 ,96 ,91.7 ,1.7 ,63.1,-91.7 ,-15.2 ,-114.7
199700 ,97.7 ,97 ,92.6 ,1.7 ,64.4,-91.7 ,-15.1 ,-114.5
199790 ,97.7 ,96 ,92.6 ,1.7 ,63.1,-91.5 ,-15.3 ,-114.4
199910 ,97.7 ,96 ,92.6 ,1.7 ,64.4,-91.4 ,-15.6 ,-114.0
200000 ,96.9 ,96 ,91.7 ,0.8 ,63.1,-91.2 ,-15.8 ,-113.8
200090 ,98.4 ,96 ,92.6 ,1.7 ,63.1,-91.1 ,-16.0 ,-113.6
200210 ,97.7 ,97 ,92.6 ,1.7 ,64.4,-91.0 ,-16.3 ,-113.6
200300 ,98.4 ,96 ,92.6 ,1.7 ,63.1,-91.0 ,-16.5 ,-113.7
200390 ,98.4 ,96 ,91.7 ,1.7 ,64.4,-91.3 ,-16.5 ,-113.8
200480 ,97.7 ,96 ,92.6 ,1.7 ,63.1,-91.6 ,-16.3 ,-113.6
200600 ,98.4 ,96 ,91.7 ,0.8 ,63.1,-91.0 ,-16.3 ,-113.8
200690 ,97.7 ,97 ,92.6 ,1.7 ,63.1,-90.4 ,-17.2 ,-114.2
200780 ,97.7 ,96 ,92.6 ,1.7 ,64.4,-90.4 ,-17.3 ,-114.0
200900 ,97.7 ,97 ,91.7 ,1.7 ,64.4,-90.6 ,-16.9 ,-114.3
200990 ,97.7 ,97 ,92.6 ,0.8 ,63.1,-90.7 ,-16.8 ,-114.2
