TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
393760 ,39.2 ,94 ,88.5 ,80.2 ,95.0,-20.7 ,51.1 ,88.2
393880 ,38.4 ,94 ,88.5 ,80.2 ,95.0,-20.6 ,51.2 ,88.3
393970 ,40.0 ,94 ,87.5 ,80.2 ,95.0,-20.5 ,51.4 ,88.5
394060 ,38.4 ,94 ,88.5 ,80.2 ,95.0,-20.3 ,51.5 ,88.7
394180 ,38.4 ,94 ,88.5 ,80.2 ,95.0,-20.3 ,51.4 ,88.8
394270 ,39.2 ,94 ,88.5 ,81.2 ,95.0,-20.2 ,51.5 ,88.9
394360 ,38.4 ,94 ,88.5 ,81.2 ,95.0,-20.2 ,51.4 ,89.0
394480 ,38.4 ,94 ,88.5 ,80.2 ,95.0,-20.2 ,51.4 ,89.1
394570 ,39.2 ,94 ,88.5 ,80.2 ,95.0,-20.1 ,51.4 ,89.2
394660 ,39.2 ,94 ,87.5 ,81.2 ,95.0,-19.9 ,51.5 ,89.5
394780 ,39.2 ,94 ,88.5 ,81.2 ,95.0,-19.8 ,51.6 ,89.6
394870 ,39.2 ,94 ,88.5 ,81.2 ,95.0,-19.7 ,51.7 ,89.7
394960 ,39.2 ,94 ,88.5 ,80.2 ,95.0,-19.8 ,51.7 ,89.7
395080 ,39.2 ,94 ,88.5 ,81.2 ,95.0,-19.7 ,51.7 ,89.9
395170 ,39.2 ,94 ,88.5 ,80.2 ,95.0,-19.6 ,51.7 ,89.9
395260 ,39.2 ,94 ,88.5 ,81.2 ,95.0,-19.6 ,51.8 ,90.0
395380 ,39.2 ,94 ,88.5 ,81.2 ,95.0,-19.1 ,52.2 ,90.3
395470 ,39.2 ,94 ,88.5 ,80.2 ,95.0,-19.1 ,52.3 ,90.2
395560 ,38.4 ,94 ,88.5 ,80.2 ,95.0,-19.0 ,52.4 ,90.3
395680 ,38.4 ,94 ,87.5 ,80.2 ,95.0,-18.8 ,52.2 ,90.7
395770 ,38.4 ,94 ,88.5 ,80.2 ,93.8,-18.8 ,52.1 ,90.7
395890 ,38.4 ,94 ,88.5 ,80.2 ,95.0,-19.0 ,51.9 ,90.6
395980 ,38.4 ,94 ,88.5 ,80.2 ,95.0,-18.7 ,51.8 ,91.0
396070 ,38.4 ,94 ,88.5 ,80.2 ,95.0,-18.7 ,51.6 ,91.0
396190 ,38.4 ,94 ,88.5 ,80.2 ,93.8,-18.9 ,51.2 ,90.8
396280 ,37.6 ,94 ,88.5 ,81.2 ,95.0,-18.9 ,51.0 ,90.9
396370 ,37.6 ,94 ,88.5 ,80.2 ,95.0,-18.9 ,50.7 ,90.9
396490 ,38.4 ,94 ,87.5 ,81.2 ,95.0,-18.9 ,50.7 ,91.0
396580 ,37.6 ,94 ,87.5 ,81.2 ,95.0,-18.9 ,50.6 ,91.0
396670 ,38.4 ,94 ,87.5 ,80.2 ,95.0,-18.8 ,50.4 ,91.2
396790 ,38.4 ,94 ,88.5 ,81.2 ,93.8,-18.7 ,50.6 ,91.3
396880 ,38.4 ,94 ,88.5 ,81.2 ,95.0,-18.6 ,50.5 ,91.4
396970 ,38.4 ,94 ,88.5 ,81.2 ,95.0,-18.6 ,50.5 ,91.4
397090 ,38.4 ,94 ,88.5 ,80.2 ,95.0,-18.7 ,50.3 ,91.4
397180 ,38.4 ,94 ,88.5 ,80.2 ,93.8,-18.6 ,50.2 ,91.5
397270 ,38.4 ,94 ,87.5 ,81.2 ,95.0,-18.7 ,50.2 ,91.4
397390 ,38.4 ,94 ,88.5 ,80.2 ,95.0,-18.4 ,50.2 ,91.8
397480 ,38.4 ,94 ,88.5 ,81.2 ,95.0,-18.3 ,50.2 ,91.9
397570 ,38.4 ,94 ,88.5 ,81.2 ,95.0,-18.4 ,50.0 ,91.9
397690 ,38.4 ,94 ,88.5 ,81.2 ,93.8,-18.3 ,49.9 ,92.1
397780 ,38.4 ,94 ,87.5 ,80.2 ,95.0,-18.3 ,50.0 ,92.3
397870 ,38.4 ,94 ,88.5 ,81.2 ,95.0,-18.2 ,50.0 ,92.4
397990 ,38.4 ,94 ,88.5 ,81.2 ,95.0,-18.2 ,50.0 ,92.5
398080 ,40.0 ,94 ,87.5 ,80.2 ,93.8,-18.1 ,50.2 ,92.7
398170 ,38.4 ,94 ,87.5 ,80.2 ,95.0,-18.2 ,50.9 ,92.6
398290 ,37.6 ,94 ,88.5 ,80.2 ,95.0,-20.0 ,51.2 ,91.8
398380 ,37.6 ,94 ,88.5 ,81.2 ,95.0,-19.7 ,51.4 ,91.9
398470 ,38.4 ,94 ,87.5 ,81.2 ,95.0,-19.7 ,51.3 ,91.8
398590 ,38.4 ,94 ,87.5 ,81.2 ,95.0,-19.8 ,51.0 ,91.9
398660 ,37.6 ,94 ,87.5 ,80.2 ,95.0,-19.8 ,50.8 ,92.0
398770 ,38.4 ,94 ,88.5 ,80.2 ,93.8,-19.6 ,50.8 ,92.3
398890 ,37.6 ,94 ,88.5 ,81.2 ,95.0,-19.5 ,50.5 ,92.4
398980 ,37.6 ,94 ,88.5 ,80.2 ,95.0,-19.7 ,50.3 ,92.2
399070 ,37.6 ,94 ,88.5 ,80.2 ,95.0,-19.8 ,50.3 ,92.1
399190 ,37.6 ,94 ,88.5 ,80.2 ,95.0,-19.7 ,50.1 ,92.1
399280 ,38.4 ,94 ,87.5 ,80.2 ,93.8,-19.9 ,49.8 ,91.9
399370 ,37.6 ,94 ,88.5 ,80.2 ,95.0,-20.1 ,49.7 ,91.7
399490 ,36.8 ,94 ,88.5 ,81.2 ,95.0,-20.1 ,49.6 ,91.8
399580 ,37.6 ,94 ,87.5 ,80.2 ,95.0,-20.2 ,48.8 ,91.7
399670 ,36.8 ,94 ,88.5 ,80.2 ,95.0,-19.3 ,48.4 ,92.1
399790 ,37.6 ,94 ,87.5 ,80.2 ,95.0,-19.0 ,48.5 ,92.5
399880 ,37.6 ,94 ,87.5 ,80.2 ,93.8,-19.0 ,48.4 ,92.5
399970 ,37.6 ,94 ,88.5 ,80.2 ,95.0,-19.0 ,48.4 ,92.6
400090 ,36.8 ,94 ,88.5 ,80.2 ,95.0,-19.0 ,48.4 ,92.6
400180 ,37.6 ,94 ,87.5 ,80.2 ,95.0,-18.8 ,48.5 ,92.8
400300 ,37.6 ,94 ,87.5 ,80.2 ,95.0,-18.8 ,48.5 ,92.9
400390 ,37.6 ,94 ,87.5 ,80.2 ,93.8,-18.9 ,48.6 ,92.7
400480 ,37.6 ,94 ,87.5 ,80.2 ,93.8,-18.8 ,48.7 ,93.0
