TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
178040 ,97.4 ,97 ,95.8 ,97.8 ,97.0,-81.4 ,-53.7 ,-18.3
178160 ,97.4 ,97 ,95.8 ,97.8 ,97.0,-81.4 ,-53.6 ,-18.2
178250 ,97.4 ,98 ,94.7 ,96.7 ,97.0,-81.5 ,-53.7 ,-18.3
178340 ,98.2 ,97 ,95.8 ,96.7 ,97.0,-81.6 ,-53.7 ,-18.2
178460 ,97.4 ,98 ,95.8 ,96.7 ,97.0,-81.8 ,-53.9 ,-18.1
178550 ,98.2 ,97 ,95.8 ,96.7 ,97.0,-81.7 ,-53.8 ,-18.3
178640 ,98.2 ,98 ,95.8 ,97.8 ,97.0,-81.8 ,-53.9 ,-18.3
178760 ,97.4 ,97 ,94.7 ,97.8 ,97.0,-81.9 ,-53.9 ,-18.1
178850 ,97.4 ,97 ,94.7 ,97.8 ,97.0,-82.0 ,-53.9 ,-18.1
178940 ,97.4 ,98 ,95.8 ,97.8 ,95.5,-82.2 ,-53.9 ,-17.9
179060 ,98.2 ,97 ,93.7 ,96.7 ,97.0,-82.3 ,-53.8 ,-17.7
179150 ,97.4 ,97 ,94.7 ,96.7 ,97.0,-82.4 ,-53.7 ,-17.6
179240 ,97.4 ,97 ,95.8 ,97.8 ,97.0,-82.5 ,-53.7 ,-17.4
179360 ,98.2 ,97 ,94.7 ,96.7 ,97.0,-82.7 ,-53.6 ,-17.2
179450 ,98.2 ,98 ,94.7 ,96.7 ,97.0,-82.7 ,-53.7 ,-17.1
179540 ,98.2 ,98 ,94.7 ,97.8 ,95.5,-82.8 ,-53.6 ,-17.0
179660 ,97.4 ,97 ,94.7 ,96.7 ,95.5,-82.8 ,-53.7 ,-17.1
179750 ,98.2 ,98 ,95.8 ,95.6 ,95.5,-83.0 ,-53.7 ,-16.8
179840 ,97.4 ,97 ,94.7 ,96.7 ,97.0,-83.3 ,-53.8 ,-16.5
179960 ,97.4 ,97 ,95.8 ,97.8 ,97.0,-83.4 ,-53.7 ,-16.3
180050 ,97.4 ,97 ,94.7 ,97.8 ,97.0,-83.2 ,-53.7 ,-16.5
180140 ,98.2 ,97 ,94.7 ,96.7 ,95.5,-82.8 ,-53.6 ,-16.9
180260 ,97.4 ,97 ,94.7 ,96.7 ,95.5,-82.2 ,-53.5 ,-17.8
180350 ,98.2 ,97 ,94.7 ,97.8 ,95.5,-81.5 ,-53.4 ,-18.5
180440 ,98.2 ,97 ,94.7 ,96.7 ,97.0,-81.1 ,-53.3 ,-18.7
180560 ,98.2 ,97 ,94.7 ,96.7 ,97.0,-81.1 ,-53.2 ,-18.8
180650 ,97.4 ,97 ,94.7 ,96.7 ,95.5,-81.2 ,-53.1 ,-18.8
180740 ,97.4 ,98 ,94.7 ,96.7 ,97.0,-81.2 ,-53.2 ,-19.0
180860 ,98.2 ,97 ,94.7 ,97.8 ,95.5,-80.8 ,-53.0 ,-19.3
180950 ,97.4 ,98 ,94.7 ,96.7 ,95.5,-80.6 ,-52.8 ,-19.5
181040 ,97.4 ,97 ,94.7 ,96.7 ,97.0,-80.3 ,-52.8 ,-19.9
181160 ,98.2 ,97 ,94.7 ,97.8 ,97.0,-80.1 ,-53.2 ,-20.3
181250 ,97.4 ,98 ,95.8 ,97.8 ,95.5,-79.7 ,-53.2 ,-20.6
181340 ,98.2 ,97 ,95.8 ,96.7 ,97.0,-79.3 ,-53.1 ,-21.0
181460 ,98.2 ,97 ,94.7 ,97.8 ,95.5,-79.2 ,-53.2 ,-21.1
181550 ,97.4 ,97 ,94.7 ,97.8 ,97.0,-79.5 ,-53.3 ,-20.8
181640 ,98.2 ,97 ,94.7 ,96.7 ,97.0,-79.6 ,-53.2 ,-20.5
181760 ,98.2 ,97 ,94.7 ,96.7 ,95.5,-79.4 ,-53.2 ,-20.6
181850 ,98.2 ,97 ,94.7 ,96.7 ,97.0,-78.8 ,-53.0 ,-21.3
181940 ,97.4 ,97 ,94.7 ,96.7 ,97.0,-78.4 ,-52.9 ,-22.0
182060 ,97.4 ,97 ,94.7 ,96.7 ,97.0,-78.3 ,-53.1 ,-22.2
182150 ,97.4 ,97 ,94.7 ,97.8 ,97.0,-78.4 ,-53.0 ,-21.9
182240 ,97.4 ,97 ,93.7 ,96.7 ,95.5,-78.2 ,-53.0 ,-22.2
182360 ,97.4 ,97 ,95.8 ,96.7 ,95.5,-78.2 ,-53.1 ,-22.3
182450 ,98.2 ,98 ,94.7 ,97.8 ,95.5,-77.9 ,-53.0 ,-22.3
182540 ,97.4 ,97 ,95.8 ,96.7 ,97.0,-77.5 ,-52.8 ,-22.5
182660 ,97.4 ,97 ,94.7 ,96.7 ,97.0,-76.6 ,-52.6 ,-23.7
182750 ,97.4 ,97 ,94.7 ,96.7 ,97.0,-76.4 ,-52.4 ,-23.9
182840 ,97.4 ,97 ,94.7 ,96.7 ,95.5,-76.1 ,-52.3 ,-24.4
182940 ,98.2 ,97 ,94.7 ,96.7 ,95.5,-75.7 ,-52.1 ,-24.8
183050 ,97.4 ,97 ,93.7 ,95.6 ,97.0,-75.4 ,-51.9 ,-24.9
183140 ,97.4 ,97 ,94.7 ,97.8 ,95.5,-75.4 ,-51.9 ,-25.0
183260 ,97.4 ,97 ,95.8 ,96.7 ,97.0,-75.3 ,-51.9 ,-25.5
183350 ,98.2 ,96 ,94.7 ,96.7 ,95.5,-75.4 ,-52.0 ,-25.6
183440 ,97.4 ,97 ,94.7 ,97.8 ,97.0,-75.6 ,-51.8 ,-25.4
