TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
195820 ,98.2 ,94 ,93.9 ,38.0 ,84.6,-78.5 ,-41.1 ,23.8
195940 ,98.2 ,95 ,93.9 ,39.1 ,83.0,-78.7 ,-41.1 ,24.0
196030 ,98.2 ,95 ,93.9 ,38.0 ,80.0,-78.5 ,-41.0 ,23.9
196120 ,99.1 ,95 ,93.9 ,38.0 ,83.0,-78.4 ,-41.0 ,23.9
196240 ,99.1 ,95 ,93.9 ,36.9 ,83.0,-78.6 ,-41.0 ,24.0
196330 ,99.1 ,95 ,92.9 ,44.5 ,83.0,-78.6 ,-40.9 ,24.0
196420 ,98.2 ,95 ,93.9 ,40.2 ,83.0,-78.7 ,-40.8 ,23.9
196540 ,98.2 ,94 ,93.9 ,44.5 ,84.6,-78.7 ,-40.4 ,23.9
196630 ,98.2 ,95 ,93.9 ,38.0 ,83.0,-78.8 ,-40.3 ,23.9
196720 ,98.2 ,95 ,93.9 ,42.3 ,84.6,-79.0 ,-40.5 ,24.2
196840 ,97.4 ,95 ,94.9 ,43.4 ,83.0,-79.1 ,-40.2 ,24.3
196930 ,99.1 ,95 ,92.9 ,39.1 ,81.5,-79.3 ,-40.2 ,24.3
197020 ,99.1 ,95 ,92.9 ,41.3 ,81.5,-79.4 ,-40.4 ,24.5
197140 ,98.2 ,93 ,93.9 ,42.3 ,84.6,-79.3 ,-40.4 ,24.5
197230 ,98.2 ,94 ,93.9 ,41.3 ,83.0,-79.3 ,-40.4 ,24.4
197320 ,99.1 ,95 ,93.9 ,39.1 ,83.0,-79.2 ,-40.4 ,24.4
197440 ,98.2 ,95 ,94.9 ,43.4 ,83.0,-79.2 ,-40.4 ,24.4
197530 ,98.2 ,95 ,93.9 ,40.2 ,84.6,-79.2 ,-40.4 ,24.4
197620 ,99.1 ,95 ,93.9 ,41.3 ,83.0,-79.2 ,-40.5 ,24.4
197740 ,98.2 ,95 ,93.9 ,42.3 ,84.6,-79.2 ,-40.6 ,24.5
197830 ,98.2 ,94 ,93.9 ,43.4 ,84.6,-79.1 ,-40.5 ,24.3
197920 ,99.1 ,95 ,93.9 ,41.3 ,84.6,-79.0 ,-40.4 ,24.2
198040 ,98.2 ,95 ,92.9 ,44.5 ,83.0,-79.0 ,-40.4 ,24.3
198130 ,98.2 ,95 ,92.9 ,36.9 ,84.6,-79.0 ,-40.4 ,24.3
198220 ,98.2 ,95 ,93.9 ,36.9 ,81.5,-79.0 ,-40.4 ,24.3
198340 ,97.4 ,95 ,94.9 ,36.9 ,83.0,-78.9 ,-40.4 ,24.2
198430 ,99.1 ,95 ,93.9 ,35.8 ,83.0,-78.9 ,-40.3 ,24.2
198520 ,99.1 ,94 ,92.9 ,35.8 ,83.0,-78.9 ,-40.4 ,24.1
198640 ,99.1 ,95 ,91.9 ,35.8 ,83.0,-78.9 ,-40.5 ,24.2
198730 ,97.4 ,94 ,93.9 ,36.9 ,84.6,-78.9 ,-40.5 ,24.2
198820 ,98.2 ,94 ,93.9 ,38.0 ,83.0,-78.9 ,-40.4 ,24.1
198910 ,97.4 ,95 ,94.9 ,36.9 ,84.6,-78.9 ,-40.4 ,24.1
199030 ,97.4 ,94 ,92.9 ,36.9 ,84.6,-78.9 ,-40.4 ,24.1
199120 ,98.2 ,95 ,92.9 ,36.9 ,84.6,-79.0 ,-40.4 ,24.1
199240 ,100.0 ,95 ,92.9 ,35.8 ,83.0,-79.1 ,-40.3 ,24.1
199330 ,98.2 ,94 ,93.9 ,36.9 ,83.0,-79.1 ,-40.3 ,24.0
199420 ,98.2 ,94 ,93.9 ,36.9 ,83.0,-79.2 ,-40.3 ,24.0
199540 ,98.2 ,95 ,92.9 ,35.8 ,83.0,-79.2 ,-40.3 ,23.9
199630 ,98.2 ,95 ,92.9 ,35.8 ,84.6,-79.2 ,-40.2 ,23.9
199720 ,98.2 ,95 ,93.9 ,38.0 ,84.6,-79.2 ,-40.2 ,23.8
199840 ,98.2 ,95 ,92.9 ,35.8 ,83.0,-79.1 ,-40.1 ,23.7
199930 ,99.1 ,95 ,93.9 ,35.8 ,81.5,-79.2 ,-40.1 ,23.8
200020 ,98.2 ,95 ,94.9 ,36.9 ,83.0,-79.2 ,-40.2 ,23.7
200110 ,97.4 ,95 ,93.9 ,38.0 ,83.0,-79.4 ,-40.3 ,24.0
