TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
313970 ,97.3 ,97 ,90.8 ,29.2 ,88.8,-97.1 ,-25.0 ,72.8
314090 ,98.2 ,97 ,91.7 ,29.2 ,87.7,-97.1 ,-25.0 ,72.8
314180 ,97.3 ,97 ,90.8 ,28.0 ,88.8,-97.2 ,-25.1 ,72.8
314270 ,98.2 ,97 ,90.8 ,28.0 ,90.0,-97.1 ,-25.1 ,72.7
314390 ,98.2 ,98 ,89.9 ,28.0 ,87.7,-97.1 ,-25.1 ,72.8
314480 ,97.3 ,96 ,91.7 ,29.2 ,90.0,-97.0 ,-25.1 ,72.8
314570 ,96.4 ,97 ,89.9 ,29.2 ,91.1,-97.0 ,-25.1 ,72.8
314690 ,96.4 ,97 ,91.7 ,30.3 ,90.0,-97.2 ,-25.0 ,72.9
314780 ,96.4 ,96 ,90.8 ,29.2 ,90.0,-97.2 ,-25.0 ,72.9
314870 ,97.3 ,97 ,91.7 ,29.2 ,88.8,-97.1 ,-24.9 ,72.8
314990 ,97.3 ,97 ,89.9 ,28.0 ,90.0,-97.3 ,-24.9 ,72.9
315080 ,98.2 ,98 ,89.9 ,28.0 ,87.7,-97.3 ,-24.9 ,73.0
315170 ,98.2 ,98 ,90.8 ,26.9 ,88.8,-97.3 ,-24.8 ,72.9
315290 ,98.2 ,98 ,89.9 ,28.0 ,88.8,-97.4 ,-24.8 ,73.0
315380 ,98.2 ,97 ,90.8 ,28.0 ,91.1,-97.3 ,-24.8 ,73.1
315470 ,96.4 ,97 ,88.9 ,28.0 ,90.0,-97.3 ,-24.8 ,73.1
315590 ,98.2 ,98 ,89.9 ,29.2 ,87.7,-97.3 ,-24.8 ,73.2
315680 ,97.3 ,97 ,90.8 ,28.0 ,90.0,-97.3 ,-24.8 ,73.1
315770 ,96.4 ,96 ,89.9 ,30.3 ,90.0,-97.2 ,-24.8 ,73.1
315890 ,96.4 ,97 ,90.8 ,28.0 ,90.0,-97.3 ,-24.8 ,73.2
315980 ,99.1 ,98 ,89.9 ,28.0 ,90.0,-97.3 ,-24.9 ,73.2
316070 ,97.3 ,97 ,91.7 ,29.2 ,88.8,-97.3 ,-24.8 ,73.2
316190 ,96.4 ,97 ,90.8 ,30.3 ,90.0,-97.2 ,-24.8 ,73.3
316280 ,97.3 ,98 ,90.8 ,29.2 ,88.8,-97.2 ,-24.8 ,73.2
316370 ,98.2 ,98 ,90.8 ,28.0 ,87.7,-97.1 ,-24.8 ,73.1
316490 ,97.3 ,97 ,91.7 ,29.2 ,90.0,-97.1 ,-24.7 ,73.2
316580 ,96.4 ,96 ,91.7 ,29.2 ,88.8,-97.1 ,-24.7 ,73.2
316670 ,98.2 ,98 ,90.8 ,26.9 ,90.0,-97.1 ,-24.7 ,73.3
316790 ,97.3 ,96 ,90.8 ,29.2 ,90.0,-97.1 ,-24.7 ,73.2
316880 ,97.3 ,96 ,90.8 ,29.2 ,90.0,-97.1 ,-24.7 ,73.3
316970 ,97.3 ,96 ,91.7 ,29.2 ,90.0,-96.9 ,-24.7 ,73.1
317090 ,97.3 ,96 ,90.8 ,29.2 ,87.7,-96.9 ,-24.6 ,73.0
317180 ,97.3 ,98 ,90.8 ,29.2 ,88.8,-96.9 ,-24.6 ,73.0
317270 ,98.2 ,98 ,90.8 ,30.3 ,87.7,-96.8 ,-24.6 ,72.9
317360 ,96.4 ,97 ,90.8 ,29.2 ,90.0,-96.7 ,-24.6 ,72.9
317480 ,97.3 ,97 ,90.8 ,26.9 ,90.0,-96.8 ,-24.6 ,72.8
317570 ,96.4 ,96 ,90.8 ,28.0 ,90.0,-96.8 ,-24.7 ,72.9
317660 ,97.3 ,97 ,90.8 ,29.2 ,87.7,-96.8 ,-24.7 ,72.9
317780 ,97.3 ,96 ,91.7 ,29.2 ,88.8,-96.8 ,-24.6 ,72.9
317870 ,98.2 ,97 ,89.9 ,29.2 ,88.8,-96.7 ,-24.6 ,72.8
317960 ,98.2 ,98 ,89.9 ,28.0 ,90.0,-96.7 ,-24.6 ,72.7
318080 ,97.3 ,96 ,90.8 ,28.0 ,90.0,-96.7 ,-24.6 ,72.8
318170 ,97.3 ,96 ,91.7 ,29.2 ,88.8,-96.7 ,-24.6 ,72.9
318260 ,96.4 ,97 ,90.8 ,29.2 ,90.0,-96.7 ,-24.7 ,72.8
318380 ,98.2 ,97 ,90.8 ,26.9 ,88.8,-96.6 ,-24.7 ,72.8
318470 ,98.2 ,97 ,88.9 ,26.9 ,88.8,-96.6 ,-24.7 ,72.7
318560 ,96.4 ,97 ,91.7 ,29.2 ,88.8,-96.6 ,-24.7 ,72.8
318680 ,98.2 ,97 ,90.8 ,28.0 ,88.8,-96.6 ,-24.6 ,72.7
318770 ,98.2 ,98 ,89.9 ,28.0 ,88.8,-96.6 ,-24.6 ,72.8
318860 ,98.2 ,98 ,89.9 ,28.0 ,88.8,-96.7 ,-24.6 ,72.9
318980 ,96.4 ,96 ,90.8 ,28.0 ,88.8,-96.6 ,-24.6 ,72.8
319070 ,97.3 ,97 ,90.8 ,29.2 ,90.0,-96.6 ,-24.6 ,72.8
319160 ,96.4 ,96 ,89.9 ,29.2 ,88.8,-96.6 ,-24.5 ,72.7
319280 ,98.2 ,98 ,89.9 ,26.9 ,88.8,-96.6 ,-24.5 ,72.7
319370 ,97.3 ,97 ,89.9 ,28.0 ,90.0,-96.5 ,-24.5 ,72.7
319460 ,97.3 ,97 ,89.9 ,26.9 ,90.0,-96.4 ,-24.5 ,72.4
319580 ,98.2 ,98 ,89.9 ,26.9 ,88.8,-96.4 ,-24.4 ,72.5
319670 ,98.2 ,97 ,90.8 ,28.0 ,87.7,-96.4 ,-24.3 ,72.4
319760 ,98.2 ,97 ,89.9 ,26.9 ,88.8,-96.4 ,-24.2 ,72.4
319880 ,98.2 ,97 ,91.7 ,29.2 ,88.8,-96.4 ,-24.2 ,72.5
319970 ,96.4 ,96 ,91.7 ,28.0 ,88.8,-96.5 ,-24.2 ,72.6
320060 ,97.3 ,96 ,90.8 ,29.2 ,90.0,-96.4 ,-24.2 ,72.5
320180 ,97.3 ,96 ,91.7 ,29.2 ,87.7,-96.5 ,-24.2 ,72.5
320270 ,98.2 ,97 ,90.8 ,28.0 ,88.8,-96.5 ,-24.2 ,72.6
320360 ,97.3 ,98 ,90.8 ,28.0 ,88.8,-96.5 ,-24.2 ,72.5
320480 ,97.3 ,96 ,90.8 ,28.0 ,90.0,-96.5 ,-24.2 ,72.5
320570 ,97.3 ,96 ,90.8 ,29.2 ,88.8,-96.5 ,-24.2 ,72.5
320660 ,99.1 ,98 ,89.9 ,26.9 ,88.8,-96.5 ,-24.2 ,72.5
320780 ,97.3 ,96 ,89.9 ,28.0 ,91.1,-96.5 ,-24.2 ,72.6
320870 ,98.2 ,98 ,90.8 ,26.9 ,87.7,-96.6 ,-24.2 ,72.7
320960 ,97.3 ,98 ,89.9 ,25.8 ,90.0,-96.5 ,-24.1 ,72.6
321050 ,98.2 ,98 ,90.8 ,28.0 ,87.7,-96.5 ,-24.1 ,72.6
321170 ,97.3 ,97 ,90.8 ,26.9 ,90.0,-96.6 ,-24.0 ,72.6
321260 ,98.2 ,97 ,89.9 ,26.9 ,88.8,-96.6 ,-23.9 ,72.6
321350 ,97.3 ,97 ,90.8 ,29.2 ,90.0,-96.6 ,-23.9 ,72.6
321470 ,96.4 ,97 ,90.8 ,29.2 ,90.0,-96.5 ,-23.8 ,72.7
321560 ,97.3 ,97 ,90.8 ,26.9 ,90.0,-96.5 ,-23.7 ,72.7
321650 ,96.4 ,97 ,91.7 ,29.2 ,90.0,-96.5 ,-23.7 ,72.7
321770 ,98.2 ,97 ,91.7 ,29.2 ,87.7,-96.5 ,-23.7 ,72.7
321860 ,98.2 ,97 ,91.7 ,28.0 ,88.8,-96.5 ,-23.8 ,72.7
321950 ,96.4 ,96 ,90.8 ,29.2 ,91.1,-96.5 ,-23.7 ,72.7
322070 ,98.2 ,97 ,88.9 ,26.9 ,88.8,-96.5 ,-23.8 ,72.8
322160 ,98.2 ,98 ,89.9 ,26.9 ,88.8,-96.5 ,-23.8 ,72.8
322250 ,97.3 ,95 ,90.8 ,29.2 ,88.8,-96.5 ,-23.8 ,72.9
322370 ,96.4 ,96 ,91.7 ,28.0 ,88.8,-96.5 ,-23.8 ,72.9
322460 ,98.2 ,98 ,89.9 ,26.9 ,90.0,-96.5 ,-23.8 ,72.9
322550 ,97.3 ,96 ,90.8 ,29.2 ,87.7,-96.5 ,-23.8 ,72.9
322670 ,97.3 ,96 ,91.7 ,28.0 ,87.7,-96.5 ,-23.9 ,73.1
322760 ,97.3 ,96 ,90.8 ,26.9 ,90.0,-96.5 ,-23.9 ,73.1
322850 ,97.3 ,97 ,90.8 ,28.0 ,88.8,-96.5 ,-23.9 ,73.1
322970 ,96.4 ,96 ,89.9 ,28.0 ,90.0,-96.6 ,-23.9 ,73.2
323060 ,98.2 ,98 ,89.9 ,26.9 ,90.0,-96.6 ,-23.9 ,73.2
323150 ,96.4 ,97 ,91.7 ,28.0 ,88.8,-96.6 ,-23.9 ,73.2
323270 ,98.2 ,98 ,89.9 ,29.2 ,88.8,-96.6 ,-23.9 ,73.2
323360 ,96.4 ,97 ,90.8 ,28.0 ,88.8,-96.6 ,-24.0 ,73.2
323450 ,97.3 ,96 ,90.8 ,28.0 ,87.7,-96.6 ,-23.9 ,73.2
323570 ,97.3 ,97 ,90.8 ,29.2 ,88.8,-96.6 ,-24.0 ,73.3
323660 ,96.4 ,96 ,90.8 ,28.0 ,88.8,-96.6 ,-24.0 ,73.4
