TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
279840 ,22.0 ,91 ,77.5 ,67.7 ,83.0,-77.7 ,24.2 ,42.0
279960 ,22.0 ,92 ,78.6 ,66.6 ,81.5,-77.4 ,24.2 ,42.1
280050 ,22.0 ,92 ,77.5 ,67.7 ,81.5,-77.3 ,24.6 ,41.8
280140 ,21.1 ,92 ,78.6 ,67.7 ,83.0,-77.4 ,25.0 ,41.3
280260 ,22.0 ,92 ,77.5 ,67.7 ,83.0,-77.6 ,25.2 ,40.7
280350 ,21.1 ,91 ,78.6 ,67.7 ,83.0,-77.9 ,25.2 ,40.2
280440 ,21.1 ,91 ,78.6 ,66.6 ,83.0,-77.7 ,25.1 ,39.9
280560 ,22.0 ,91 ,78.6 ,67.7 ,83.0,-77.4 ,25.3 ,39.6
280650 ,21.1 ,90 ,78.6 ,67.7 ,83.0,-77.4 ,25.4 ,39.2
280740 ,21.1 ,91 ,78.6 ,66.6 ,81.5,-77.5 ,25.5 ,39.0
280860 ,21.1 ,91 ,79.7 ,66.6 ,83.0,-77.7 ,25.6 ,38.6
280950 ,21.1 ,91 ,79.7 ,67.7 ,83.0,-77.5 ,25.6 ,38.5
281040 ,21.1 ,91 ,79.7 ,66.6 ,81.5,-77.5 ,25.7 ,38.2
281160 ,21.1 ,90 ,79.7 ,66.6 ,83.0,-77.4 ,25.8 ,38.0
281250 ,20.1 ,91 ,79.7 ,67.7 ,83.0,-77.4 ,25.9 ,37.7
281340 ,20.1 ,91 ,78.6 ,66.6 ,83.0,-77.5 ,25.9 ,37.5
281460 ,21.1 ,91 ,78.6 ,66.6 ,83.0,-77.4 ,25.8 ,37.5
281550 ,21.1 ,91 ,78.6 ,66.6 ,83.0,-77.5 ,25.8 ,37.6
281640 ,21.1 ,91 ,79.7 ,66.6 ,81.5,-77.4 ,25.8 ,37.7
281760 ,20.1 ,90 ,78.6 ,66.6 ,83.0,-77.3 ,25.6 ,37.9
281850 ,20.1 ,91 ,78.6 ,66.6 ,83.0,-77.1 ,25.5 ,38.1
281940 ,20.1 ,91 ,78.6 ,66.6 ,83.0,-77.0 ,25.5 ,38.3
282060 ,21.1 ,91 ,78.6 ,66.6 ,83.0,-76.9 ,25.5 ,38.5
282150 ,21.1 ,91 ,78.6 ,65.5 ,83.0,-77.0 ,25.3 ,38.4
282240 ,20.1 ,91 ,78.6 ,67.7 ,83.0,-76.9 ,25.1 ,38.4
282360 ,21.1 ,91 ,79.7 ,66.6 ,83.0,-76.9 ,25.1 ,38.6
282450 ,21.1 ,90 ,78.6 ,66.6 ,84.6,-76.7 ,25.1 ,38.8
282540 ,20.1 ,91 ,78.6 ,66.6 ,83.0,-76.6 ,25.1 ,38.9
282660 ,21.1 ,91 ,79.7 ,66.6 ,83.0,-76.4 ,24.9 ,39.0
282750 ,19.2 ,90 ,79.7 ,66.6 ,83.0,-76.3 ,24.8 ,39.0
282840 ,21.1 ,90 ,78.6 ,66.6 ,83.0,-76.2 ,24.8 ,38.9
282960 ,21.1 ,90 ,78.6 ,66.6 ,81.5,-76.1 ,24.7 ,38.9
283050 ,20.1 ,90 ,78.6 ,66.6 ,83.0,-76.0 ,24.5 ,38.9
283140 ,20.1 ,90 ,78.6 ,66.6 ,84.6,-75.9 ,24.1 ,38.9
283260 ,20.1 ,90 ,78.6 ,66.6 ,83.0,-75.5 ,23.3 ,39.3
283350 ,20.1 ,90 ,78.6 ,66.6 ,83.0,-75.0 ,22.7 ,39.8
283440 ,20.1 ,91 ,78.6 ,67.7 ,83.0,-74.8 ,22.0 ,40.5
283560 ,20.1 ,90 ,79.7 ,66.6 ,81.5,-75.3 ,21.5 ,41.3
283650 ,20.1 ,90 ,78.6 ,66.6 ,83.0,-75.7 ,21.3 ,41.3
283740 ,20.1 ,91 ,78.6 ,65.5 ,83.0,-76.3 ,21.4 ,41.0
283840 ,20.1 ,91 ,78.6 ,65.5 ,83.0,-77.0 ,21.6 ,40.4
283950 ,20.1 ,90 ,78.6 ,66.6 ,83.0,-77.6 ,21.7 ,39.4
284040 ,21.1 ,90 ,78.6 ,66.6 ,83.0,-78.0 ,21.7 ,38.7
284130 ,20.1 ,90 ,78.6 ,66.6 ,83.0,-78.2 ,21.8 ,38.3
284250 ,21.1 ,90 ,78.6 ,66.6 ,83.0,-78.2 ,22.0 ,38.6
284340 ,21.1 ,90 ,79.7 ,66.6 ,81.5,-78.3 ,22.3 ,38.8
284430 ,21.1 ,91 ,78.6 ,66.6 ,81.5,-78.5 ,22.4 ,38.5
284550 ,20.1 ,91 ,78.6 ,65.5 ,81.5,-79.0 ,22.6 ,37.8
