TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
444550 ,86.3 ,83 ,81.9 ,78.0 ,52.3,41.6 ,1.2 ,-132.5
444670 ,87.2 ,84 ,81.9 ,79.1 ,52.3,41.7 ,1.2 ,-132.6
444760 ,86.3 ,83 ,81.9 ,78.0 ,53.8,41.7 ,1.3 ,-132.7
444850 ,87.2 ,84 ,81.9 ,78.0 ,52.3,41.6 ,1.2 ,-132.8
444970 ,87.2 ,84 ,80.8 ,79.1 ,53.8,41.3 ,1.2 ,-132.8
445060 ,86.3 ,84 ,80.8 ,78.0 ,52.3,41.0 ,1.3 ,-132.9
445150 ,87.2 ,83 ,80.8 ,78.0 ,52.3,40.9 ,1.5 ,-133.1
445270 ,87.2 ,84 ,80.8 ,78.0 ,52.3,40.6 ,1.6 ,-133.3
445360 ,86.3 ,83 ,81.9 ,79.1 ,53.8,40.1 ,1.8 ,-133.2
445450 ,87.2 ,84 ,80.8 ,78.0 ,50.7,39.8 ,1.9 ,-133.2
445570 ,87.2 ,84 ,80.8 ,78.0 ,52.3,39.8 ,1.9 ,-133.1
445660 ,87.2 ,84 ,80.8 ,78.0 ,52.3,39.8 ,1.9 ,-133.1
445750 ,87.2 ,84 ,80.8 ,76.9 ,52.3,39.7 ,2.0 ,-133.0
445870 ,86.3 ,83 ,80.8 ,78.0 ,53.8,39.7 ,2.2 ,-133.0
445960 ,86.3 ,84 ,80.8 ,78.0 ,52.3,39.7 ,2.3 ,-133.0
446050 ,86.3 ,83 ,80.8 ,78.0 ,52.3,39.6 ,2.3 ,-132.9
446170 ,86.3 ,84 ,80.8 ,78.0 ,52.3,39.7 ,2.3 ,-132.8
446260 ,86.3 ,84 ,80.8 ,78.0 ,52.3,39.5 ,2.3 ,-132.8
446350 ,87.2 ,83 ,80.8 ,78.0 ,53.8,39.6 ,2.2 ,-132.9
446470 ,85.4 ,83 ,80.8 ,78.0 ,52.3,39.6 ,2.2 ,-132.9
446560 ,86.3 ,84 ,80.8 ,78.0 ,52.3,39.5 ,2.2 ,-132.9
446650 ,87.2 ,83 ,80.8 ,78.0 ,53.8,39.6 ,2.2 ,-133.0
446770 ,87.2 ,83 ,80.8 ,78.0 ,50.7,39.6 ,2.1 ,-133.1
446860 ,87.2 ,83 ,81.9 ,78.0 ,50.7,39.7 ,2.1 ,-133.2
446950 ,86.3 ,83 ,80.8 ,78.0 ,52.3,39.7 ,2.0 ,-133.5
447070 ,87.2 ,83 ,80.8 ,78.0 ,50.7,39.8 ,2.0 ,-133.7
447160 ,85.4 ,83 ,80.8 ,78.0 ,52.3,39.8 ,1.9 ,-133.8
447250 ,86.3 ,84 ,80.8 ,78.0 ,50.7,39.9 ,2.0 ,-133.9
447370 ,87.2 ,83 ,80.8 ,78.0 ,52.3,40.1 ,2.1 ,-134.3
447460 ,87.2 ,83 ,79.7 ,78.0 ,52.3,40.2 ,2.0 ,-134.5
447550 ,87.2 ,83 ,79.7 ,78.0 ,52.3,40.3 ,2.0 ,-134.7
447670 ,87.2 ,83 ,80.8 ,78.0 ,52.3,40.3 ,2.0 ,-134.9
447760 ,86.3 ,83 ,80.8 ,78.0 ,52.3,40.2 ,2.1 ,-134.8
447850 ,85.4 ,83 ,80.8 ,78.0 ,50.7,40.0 ,2.1 ,-134.8
447950 ,87.2 ,83 ,80.8 ,76.9 ,50.7,40.0 ,2.2 ,-134.8
448060 ,87.2 ,83 ,80.8 ,78.0 ,52.3,40.0 ,2.2 ,-134.9
448150 ,87.2 ,83 ,81.9 ,78.0 ,50.7,39.9 ,2.3 ,-134.8
448270 ,88.1 ,83 ,80.8 ,78.0 ,52.3,39.5 ,2.3 ,-135.0
448360 ,87.2 ,83 ,80.8 ,78.0 ,50.7,39.6 ,2.2 ,-135.1
448450 ,87.2 ,83 ,80.8 ,78.0 ,50.7,39.6 ,2.1 ,-135.1
448570 ,86.3 ,83 ,80.8 ,78.0 ,50.7,39.7 ,1.9 ,-135.1
448660 ,87.2 ,83 ,80.8 ,78.0 ,50.7,39.9 ,1.7 ,-134.8
448750 ,86.3 ,83 ,80.8 ,78.0 ,52.3,39.7 ,1.4 ,-134.2
448840 ,86.3 ,83 ,80.8 ,78.0 ,50.7,39.7 ,1.3 ,-133.8
448960 ,87.2 ,83 ,80.8 ,78.0 ,50.7,39.8 ,1.5 ,-133.9
449050 ,87.2 ,83 ,79.7 ,78.0 ,52.3,40.0 ,1.4 ,-133.9
449140 ,87.2 ,83 ,80.8 ,78.0 ,50.7,40.2 ,1.2 ,-133.7
449260 ,86.3 ,83 ,79.7 ,78.0 ,52.3,40.3 ,1.2 ,-133.4
449350 ,87.2 ,83 ,80.8 ,76.9 ,50.7,40.5 ,1.2 ,-133.2
449440 ,86.3 ,83 ,80.8 ,78.0 ,50.7,40.8 ,1.3 ,-133.1
449560 ,86.3 ,83 ,80.8 ,78.0 ,50.7,41.2 ,1.1 ,-133.1
449650 ,86.3 ,83 ,80.8 ,76.9 ,50.7,41.5 ,1.0 ,-133.2
449740 ,87.2 ,83 ,80.8 ,78.0 ,52.3,41.6 ,0.8 ,-133.3
449860 ,87.2 ,83 ,80.8 ,76.9 ,49.2,41.9 ,0.2 ,-133.6
449950 ,86.3 ,83 ,79.7 ,78.0 ,50.7,42.0 ,-0.1 ,-133.9
450040 ,86.3 ,83 ,80.8 ,76.9 ,50.7,41.9 ,-0.3 ,-134.0
450160 ,87.2 ,83 ,79.7 ,78.0 ,50.7,41.8 ,-0.4 ,-134.2
450250 ,87.2 ,83 ,80.8 ,78.0 ,50.7,42.0 ,-0.5 ,-134.4
450340 ,87.2 ,83 ,79.7 ,78.0 ,50.7,42.0 ,-0.7 ,-134.2
450460 ,86.3 ,83 ,80.8 ,78.0 ,49.2,42.1 ,-1.4 ,-133.8
450550 ,85.4 ,83 ,79.7 ,76.9 ,50.7,42.3 ,-1.8 ,-134.1
450640 ,85.4 ,83 ,80.8 ,76.9 ,50.7,42.6 ,-1.9 ,-134.3
450760 ,87.2 ,83 ,79.7 ,76.9 ,50.7,42.8 ,-2.1 ,-134.0
