TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
51870 ,97.1 ,97 ,95.2 ,97.1 ,81.9,-62.8 ,-6.3 ,23.6
51990 ,95.7 ,97 ,96.1 ,96.1 ,81.9,-63.1 ,-6.2 ,23.6
52080 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-63.3 ,-5.9 ,23.4
52170 ,95.7 ,97 ,95.2 ,97.1 ,81.9,-63.5 ,-5.8 ,23.4
52290 ,95.7 ,96 ,95.2 ,97.1 ,81.9,-63.5 ,-5.8 ,23.8
52380 ,95.7 ,97 ,95.2 ,97.1 ,80.7,-63.8 ,-5.4 ,23.8
52470 ,97.1 ,97 ,95.2 ,96.1 ,80.7,-64.1 ,-4.9 ,24.0
52590 ,95.7 ,97 ,95.2 ,97.1 ,79.5,-63.8 ,-5.1 ,24.3
52680 ,95.7 ,96 ,96.1 ,96.1 ,80.7,-63.9 ,-5.0 ,24.5
52770 ,95.7 ,97 ,95.2 ,97.1 ,80.7,-63.9 ,-4.9 ,24.5
52890 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-65.2 ,-4.4 ,24.1
52980 ,95.7 ,97 ,95.2 ,97.1 ,80.7,-66.0 ,-3.2 ,23.0
53070 ,94.2 ,97 ,96.1 ,97.1 ,80.7,-66.4 ,-2.5 ,21.5
53190 ,97.1 ,97 ,95.2 ,97.1 ,80.7,-64.3 ,-4.5 ,20.9
53280 ,97.1 ,97 ,95.2 ,97.1 ,80.7,-62.9 ,-4.8 ,20.7
53370 ,94.2 ,97 ,95.2 ,96.1 ,80.7,-64.1 ,-3.2 ,20.7
53490 ,95.7 ,97 ,95.2 ,96.1 ,81.9,-64.4 ,-1.2 ,20.3
53580 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-64.4 ,-1.1 ,20.0
53670 ,97.1 ,97 ,94.2 ,97.1 ,80.7,-64.7 ,-0.6 ,19.6
53790 ,95.7 ,96 ,95.2 ,96.1 ,81.9,-64.5 ,-0.1 ,19.7
53880 ,95.7 ,96 ,95.2 ,97.1 ,81.9,-64.4 ,0.5 ,20.0
54000 ,95.7 ,96 ,95.2 ,97.1 ,80.7,-64.1 ,1.7 ,19.5
54090 ,97.1 ,97 ,95.2 ,97.1 ,80.7,-63.8 ,2.2 ,18.9
54180 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-64.1 ,2.9 ,17.9
54300 ,95.7 ,96 ,96.1 ,97.1 ,80.7,-64.3 ,3.2 ,16.8
54390 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-64.4 ,3.6 ,16.0
54480 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-64.8 ,3.7 ,15.6
54600 ,95.7 ,96 ,96.1 ,97.1 ,81.9,-65.6 ,3.1 ,16.1
54690 ,95.7 ,97 ,95.2 ,97.1 ,80.7,-64.9 ,3.4 ,16.4
54780 ,94.2 ,97 ,95.2 ,96.1 ,80.7,-64.7 ,4.8 ,16.7
54900 ,95.7 ,97 ,95.2 ,97.1 ,80.7,-64.8 ,5.0 ,16.6
54990 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-65.3 ,4.8 ,17.2
55080 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-65.4 ,4.5 ,18.4
55200 ,95.7 ,97 ,94.2 ,96.1 ,81.9,-65.3 ,3.7 ,19.9
55290 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-65.0 ,2.2 ,20.8
55380 ,95.7 ,97 ,95.2 ,97.1 ,80.7,-65.5 ,0.9 ,22.5
55500 ,94.2 ,96 ,95.2 ,97.1 ,80.7,-66.8 ,-0.5 ,24.8
55590 ,97.1 ,97 ,95.2 ,96.1 ,80.7,-67.6 ,-0.8 ,24.9
55680 ,95.7 ,96 ,95.2 ,97.1 ,80.7,-67.4 ,-0.4 ,24.9
55800 ,95.7 ,97 ,94.2 ,96.1 ,80.7,-66.0 ,0.4 ,23.8
55890 ,95.7 ,97 ,95.2 ,97.1 ,80.7,-63.4 ,-0.3 ,21.6
55980 ,94.2 ,97 ,95.2 ,96.1 ,80.7,-62.5 ,-0.2 ,21.0
56100 ,95.7 ,97 ,96.1 ,96.1 ,80.7,-63.2 ,1.0 ,19.8
56190 ,95.7 ,96 ,95.2 ,97.1 ,81.9,-66.5 ,0.9 ,20.4
56280 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-66.7 ,0.7 ,20.6
56400 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-66.1 ,0.4 ,20.8
56490 ,95.7 ,97 ,94.2 ,96.1 ,80.7,-66.5 ,0.7 ,20.6
56580 ,94.2 ,97 ,95.2 ,96.1 ,80.7,-66.1 ,0.3 ,21.3
56700 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-65.8 ,0.5 ,21.5
56770 ,95.7 ,97 ,95.2 ,97.1 ,80.7,-65.8 ,0.5 ,21.3
56880 ,97.1 ,97 ,95.2 ,96.1 ,81.9,-66.0 ,0.8 ,21.0
57000 ,95.7 ,96 ,95.2 ,96.1 ,80.7,-66.5 ,1.7 ,21.2
57090 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-66.3 ,1.9 ,21.4
57180 ,97.1 ,97 ,95.2 ,97.1 ,80.7,-66.0 ,2.0 ,21.6
57300 ,95.7 ,97 ,94.2 ,96.1 ,80.7,-64.4 ,1.3 ,21.9
57390 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-63.5 ,0.6 ,22.2
57480 ,95.7 ,96 ,95.2 ,96.1 ,80.7,-61.6 ,0.3 ,22.2
57600 ,95.7 ,96 ,95.2 ,96.1 ,80.7,-61.4 ,-1.2 ,22.8
57690 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-62.5 ,-1.6 ,23.1
57780 ,95.7 ,96 ,95.2 ,96.1 ,80.7,-63.3 ,-1.6 ,23.3
57900 ,95.7 ,96 ,95.2 ,96.1 ,79.5,-63.7 ,-1.6 ,23.8
57990 ,97.1 ,96 ,95.2 ,97.1 ,79.5,-63.6 ,-1.8 ,24.3
58080 ,95.7 ,97 ,94.2 ,96.1 ,80.7,-64.0 ,-2.0 ,24.7
58200 ,95.7 ,96 ,95.2 ,96.1 ,80.7,-66.2 ,-1.6 ,25.4
58290 ,95.7 ,97 ,94.2 ,96.1 ,80.7,-66.4 ,-1.5 ,25.2
58380 ,95.7 ,96 ,95.2 ,96.1 ,80.7,-66.5 ,-1.6 ,25.2
58500 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-67.3 ,-1.3 ,25.3
58590 ,95.7 ,96 ,95.2 ,96.1 ,79.5,-66.8 ,-1.4 ,25.6
58710 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-65.8 ,-1.6 ,25.7
58800 ,95.7 ,96 ,95.2 ,96.1 ,80.7,-65.7 ,-1.3 ,25.7
58890 ,94.2 ,96 ,95.2 ,96.1 ,80.7,-65.6 ,-0.9 ,25.5
59010 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-65.5 ,-0.7 ,25.4
59100 ,95.7 ,96 ,95.2 ,97.1 ,81.9,-65.3 ,-0.6 ,25.4
59190 ,94.2 ,97 ,95.2 ,97.1 ,79.5,-65.2 ,-0.6 ,25.4
59310 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-64.9 ,-0.4 ,25.4
59400 ,95.7 ,96 ,95.2 ,95.1 ,79.5,-64.9 ,-0.3 ,25.2
59490 ,95.7 ,97 ,95.2 ,96.1 ,80.7,-64.7 ,-0.5 ,25.2
59610 ,95.7 ,96 ,95.2 ,96.1 ,80.7,-64.6 ,-0.7 ,25.1
59700 ,95.7 ,96 ,95.2 ,96.1 ,80.7,-64.6 ,-0.8 ,25.2
59790 ,97.1 ,96 ,95.2 ,96.1 ,80.7,-64.5 ,-1.0 ,25.2
59910 ,95.7 ,96 ,95.2 ,96.1 ,80.7,-64.2 ,-1.4 ,25.5
60000 ,95.7 ,96 ,95.2 ,96.1 ,79.5,-63.5 ,-1.9 ,25.8
60090 ,95.7 ,97 ,94.2 ,96.1 ,79.5,-63.6 ,-1.8 ,25.9
60210 ,94.2 ,96 ,95.2 ,96.1 ,78.3,-63.9 ,-1.7 ,25.9
60300 ,95.7 ,96 ,95.2 ,96.1 ,80.7,-64.1 ,-1.6 ,25.9
60390 ,95.7 ,97 ,95.2 ,96.1 ,79.5,-64.2 ,-1.7 ,25.8
60510 ,95.7 ,96 ,95.2 ,96.1 ,78.3,-64.6 ,-1.6 ,25.4
60600 ,95.7 ,96 ,95.2 ,96.1 ,79.5,-64.7 ,-1.2 ,25.0
60690 ,95.7 ,96 ,95.2 ,95.1 ,78.3,-64.9 ,-1.1 ,24.9
60810 ,95.7 ,97 ,95.2 ,95.1 ,79.5,-65.1 ,-1.1 ,25.0
60900 ,95.7 ,96 ,95.2 ,96.1 ,78.3,-65.2 ,-1.0 ,25.0
60990 ,94.2 ,97 ,95.2 ,96.1 ,79.5,-65.4 ,-1.0 ,24.9
61110 ,95.7 ,97 ,94.2 ,96.1 ,79.5,-65.7 ,-1.0 ,24.7
61200 ,94.2 ,96 ,95.2 ,96.1 ,78.3,-65.9 ,-0.9 ,24.5
61290 ,94.2 ,96 ,95.2 ,95.1 ,79.5,-65.9 ,-0.6 ,24.7
61410 ,95.7 ,97 ,95.2 ,96.1 ,79.5,-65.7 ,-0.4 ,24.9
61500 ,95.7 ,96 ,95.2 ,96.1 ,78.3,-65.8 ,-0.2 ,24.9
61590 ,95.7 ,97 ,95.2 ,95.1 ,79.5,-65.8 ,-0.2 ,24.8
