TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
611420 ,95.2 ,94 ,85.5 ,77.8 ,42.1,-178.1 ,18.4 ,35.6
611540 ,95.2 ,94 ,85.5 ,77.8 ,43.7,-178.4 ,18.2 ,35.8
611630 ,95.2 ,94 ,85.5 ,77.8 ,43.7,-178.6 ,18.1 ,35.8
611720 ,94.2 ,94 ,86.5 ,77.8 ,43.7,-178.7 ,18.0 ,35.8
611840 ,94.2 ,94 ,85.5 ,77.8 ,43.7,-178.9 ,18.0 ,36.0
611930 ,94.2 ,94 ,85.5 ,76.9 ,43.7,-179.2 ,18.0 ,36.0
612020 ,94.2 ,95 ,85.5 ,77.8 ,43.7,-179.5 ,17.9 ,36.1
612140 ,94.2 ,94 ,85.5 ,76.9 ,43.7,-179.7 ,17.8 ,36.2
612230 ,94.2 ,94 ,85.5 ,77.8 ,42.1,-179.6 ,17.9 ,36.3
612320 ,94.2 ,95 ,86.5 ,77.8 ,43.7,-179.6 ,18.0 ,36.2
612440 ,95.2 ,94 ,85.5 ,77.8 ,43.7,-179.5 ,18.0 ,36.3
612530 ,95.2 ,94 ,85.5 ,77.8 ,43.7,-179.5 ,18.1 ,36.4
612620 ,95.2 ,95 ,86.5 ,77.8 ,42.1,-179.5 ,18.1 ,36.4
612740 ,94.2 ,94 ,85.5 ,76.9 ,42.1,-179.5 ,18.1 ,36.3
612830 ,94.2 ,94 ,85.5 ,77.8 ,42.1,-179.4 ,18.1 ,36.2
612920 ,95.2 ,94 ,85.5 ,77.8 ,42.1,-179.4 ,18.1 ,36.2
613040 ,95.2 ,94 ,85.5 ,76.9 ,42.1,-179.4 ,18.2 ,36.2
613130 ,94.2 ,94 ,86.5 ,77.8 ,42.1,-179.4 ,18.1 ,36.2
613220 ,95.2 ,94 ,85.5 ,77.8 ,42.1,-179.3 ,18.2 ,36.2
613340 ,93.3 ,94 ,85.5 ,77.8 ,42.1,-179.4 ,18.4 ,36.1
613430 ,95.2 ,95 ,85.5 ,77.8 ,42.1,-179.5 ,18.5 ,36.2
613520 ,94.2 ,94 ,85.5 ,77.8 ,43.7,-179.5 ,18.5 ,36.2
613640 ,95.2 ,94 ,85.5 ,77.8 ,43.7,-179.3 ,18.5 ,36.1
613730 ,95.2 ,94 ,85.5 ,77.8 ,43.7,-179.6 ,18.6 ,35.8
613820 ,94.2 ,94 ,85.5 ,77.8 ,42.1,-179.6 ,18.4 ,35.5
613940 ,94.2 ,95 ,85.5 ,77.8 ,42.1,-179.5 ,17.8 ,35.1
614030 ,94.2 ,94 ,85.5 ,76.9 ,42.1,-179.3 ,17.6 ,35.6
614120 ,94.2 ,94 ,85.5 ,76.9 ,42.1,-178.8 ,17.6 ,35.7
614240 ,95.2 ,95 ,85.5 ,77.8 ,42.1,-178.8 ,17.6 ,35.4
614330 ,94.2 ,94 ,85.5 ,76.9 ,42.1,-179.0 ,17.9 ,35.5
614420 ,94.2 ,94 ,85.5 ,77.8 ,42.1,-179.5 ,18.2 ,35.2
614540 ,94.2 ,94 ,85.5 ,77.8 ,43.7,-179.2 ,19.0 ,35.3
614630 ,94.2 ,94 ,85.5 ,77.8 ,42.1,-178.9 ,19.3 ,35.7
614720 ,94.2 ,94 ,85.5 ,77.8 ,43.7,-178.7 ,19.4 ,36.0
614840 ,94.2 ,94 ,85.5 ,77.8 ,42.1,-178.6 ,19.5 ,36.4
614930 ,94.2 ,94 ,85.5 ,77.8 ,42.1,-178.6 ,19.3 ,36.3
615020 ,94.2 ,94 ,85.5 ,76.9 ,43.7,-178.5 ,19.1 ,36.2
615140 ,95.2 ,94 ,85.5 ,76.9 ,42.1,-178.2 ,19.3 ,36.2
615230 ,94.2 ,94 ,85.5 ,77.8 ,42.1,-178.1 ,19.3 ,35.8
615320 ,94.2 ,94 ,85.5 ,77.8 ,42.1,-178.3 ,19.0 ,35.4
615440 ,94.2 ,94 ,85.5 ,77.8 ,40.6,-178.2 ,18.6 ,35.4
615530 ,94.2 ,94 ,85.5 ,77.8 ,42.1,-177.9 ,18.3 ,35.4
615620 ,94.2 ,94 ,85.5 ,76.9 ,40.6,-177.3 ,17.8 ,35.2
615740 ,95.2 ,94 ,85.5 ,77.8 ,42.1,-176.7 ,17.2 ,35.3
615830 ,94.2 ,94 ,85.5 ,77.8 ,42.1,-176.6 ,16.8 ,35.1
615920 ,95.2 ,94 ,85.5 ,77.8 ,40.6,-176.7 ,16.6 ,35.1
616040 ,94.2 ,94 ,85.5 ,77.8 ,43.7,-176.7 ,16.6 ,34.9
616130 ,94.2 ,94 ,85.5 ,77.8 ,42.1,-176.6 ,16.5 ,34.8
616220 ,95.2 ,95 ,85.5 ,77.8 ,40.6,-176.5 ,16.5 ,34.7
616320 ,94.2 ,95 ,85.5 ,77.8 ,42.1,-176.2 ,16.5 ,34.8
616430 ,93.3 ,94 ,85.5 ,77.8 ,42.1,-175.9 ,16.4 ,34.7
616520 ,94.2 ,94 ,85.5 ,77.8 ,43.7,-175.6 ,16.3 ,34.8
616640 ,94.2 ,94 ,86.5 ,78.7 ,45.3,-175.6 ,16.2 ,34.4
616730 ,94.2 ,94 ,85.5 ,77.8 ,45.3,-175.7 ,16.1 ,34.2
616820 ,94.2 ,94 ,85.5 ,77.8 ,45.3,-175.5 ,16.0 ,34.2
616940 ,94.2 ,94 ,85.5 ,77.8 ,45.3,-175.2 ,16.0 ,34.4
617030 ,94.2 ,94 ,85.5 ,77.8 ,45.3,-175.1 ,16.0 ,34.3
617120 ,94.2 ,94 ,86.5 ,77.8 ,45.3,-175.2 ,16.1 ,34.3
617240 ,94.2 ,94 ,85.5 ,76.9 ,43.7,-175.1 ,15.9 ,34.2
617330 ,94.2 ,94 ,85.5 ,77.8 ,43.7,-175.0 ,15.7 ,34.2
617420 ,95.2 ,95 ,85.5 ,77.8 ,43.7,-174.9 ,15.6 ,34.3
617510 ,94.2 ,94 ,84.6 ,77.8 ,43.7,-174.8 ,15.5 ,34.3
617630 ,94.2 ,94 ,86.5 ,77.8 ,43.7,-174.7 ,15.3 ,34.2
