TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
125320 ,94.8 ,93 ,18.1 ,83.6 ,90.7,-58.4 ,-12.4 ,4.7
125440 ,94.8 ,92 ,18.1 ,85.8 ,92.3,-58.7 ,-12.5 ,4.7
125530 ,94.8 ,92 ,20.2 ,85.8 ,90.7,-58.9 ,-12.5 ,4.7
125620 ,94.8 ,93 ,18.1 ,83.6 ,90.7,-58.9 ,-12.7 ,4.7
125740 ,95.7 ,94 ,18.1 ,85.8 ,87.6,-59.1 ,-12.8 ,4.7
125830 ,94.8 ,92 ,19.1 ,85.8 ,90.7,-59.1 ,-12.9 ,4.7
125920 ,95.7 ,92 ,19.1 ,85.8 ,89.2,-59.1 ,-12.9 ,4.6
126040 ,95.7 ,93 ,18.1 ,83.6 ,90.7,-59.2 ,-13.0 ,4.7
126130 ,96.5 ,93 ,18.1 ,83.6 ,89.2,-59.3 ,-13.2 ,4.8
126220 ,95.7 ,93 ,19.1 ,83.6 ,89.2,-59.3 ,-13.2 ,4.9
126340 ,95.7 ,93 ,18.1 ,84.7 ,90.7,-59.4 ,-13.3 ,4.9
126430 ,95.7 ,94 ,18.1 ,84.7 ,89.2,-59.2 ,-13.3 ,4.9
126520 ,95.7 ,92 ,19.1 ,85.8 ,92.3,-59.2 ,-12.9 ,4.8
126640 ,95.7 ,93 ,19.1 ,84.7 ,87.6,-59.4 ,-12.9 ,4.6
126730 ,94.0 ,92 ,18.1 ,85.8 ,90.7,-59.4 ,-13.0 ,4.8
126820 ,95.7 ,92 ,19.1 ,85.8 ,89.2,-59.5 ,-13.0 ,4.8
126940 ,95.7 ,93 ,18.1 ,84.7 ,89.2,-59.5 ,-13.0 ,4.9
127030 ,95.7 ,93 ,18.1 ,84.7 ,90.7,-59.8 ,-13.4 ,5.0
127120 ,94.8 ,92 ,19.1 ,85.8 ,89.2,-59.8 ,-13.5 ,5.2
127240 ,95.7 ,93 ,18.1 ,84.7 ,90.7,-59.9 ,-13.5 ,5.1
127330 ,94.8 ,93 ,20.2 ,85.8 ,89.2,-59.9 ,-13.4 ,5.1
127420 ,95.7 ,93 ,18.1 ,83.6 ,90.7,-60.0 ,-13.5 ,5.2
127540 ,94.8 ,92 ,18.1 ,85.8 ,90.7,-60.1 ,-13.5 ,5.2
127630 ,94.8 ,92 ,18.1 ,85.8 ,90.7,-60.3 ,-13.7 ,5.2
127720 ,94.8 ,93 ,18.1 ,85.8 ,89.2,-60.4 ,-13.7 ,5.3
127840 ,95.7 ,92 ,19.1 ,85.8 ,89.2,-60.5 ,-13.7 ,5.3
127930 ,95.7 ,93 ,17.1 ,84.7 ,90.7,-60.6 ,-13.7 ,5.4
128020 ,94.0 ,93 ,18.1 ,84.7 ,90.7,-60.6 ,-13.6 ,5.6
128140 ,95.7 ,94 ,18.1 ,84.7 ,90.7,-60.9 ,-13.9 ,5.6
128230 ,94.8 ,92 ,19.1 ,84.7 ,89.2,-61.0 ,-13.9 ,5.6
128320 ,95.7 ,93 ,18.1 ,84.7 ,89.2,-61.2 ,-13.8 ,5.6
128440 ,95.7 ,93 ,18.1 ,84.7 ,90.7,-61.6 ,-14.0 ,5.5
128530 ,94.0 ,92 ,19.1 ,85.8 ,89.2,-61.6 ,-13.9 ,5.5
128620 ,94.8 ,92 ,18.1 ,84.7 ,90.7,-61.7 ,-14.0 ,5.5
128740 ,95.7 ,93 ,17.1 ,84.7 ,89.2,-61.8 ,-14.1 ,5.6
128830 ,95.7 ,92 ,18.1 ,84.7 ,89.2,-61.8 ,-14.2 ,5.6
128920 ,95.7 ,92 ,18.1 ,85.8 ,89.2,-61.8 ,-14.2 ,5.8
129040 ,94.8 ,93 ,17.1 ,83.6 ,89.2,-61.9 ,-14.3 ,5.8
129130 ,95.7 ,92 ,18.1 ,84.7 ,89.2,-61.9 ,-14.3 ,5.7
129220 ,94.8 ,92 ,19.1 ,84.7 ,90.7,-61.8 ,-14.2 ,5.7
129340 ,94.8 ,92 ,19.1 ,85.8 ,89.2,-61.9 ,-14.3 ,5.7
129430 ,95.7 ,92 ,17.1 ,85.8 ,89.2,-61.9 ,-14.3 ,5.7
129520 ,94.8 ,92 ,18.1 ,84.7 ,90.7,-62.1 ,-14.4 ,5.7
129640 ,94.0 ,92 ,18.1 ,85.8 ,90.7,-62.2 ,-14.3 ,5.8
129730 ,94.8 ,92 ,18.1 ,83.6 ,90.7,-62.3 ,-14.4 ,5.8
129820 ,94.8 ,92 ,19.1 ,84.7 ,90.7,-62.2 ,-14.3 ,5.8
129940 ,94.8 ,92 ,19.1 ,85.8 ,90.7,-62.3 ,-14.4 ,5.9
130030 ,94.8 ,92 ,19.1 ,84.7 ,90.7,-62.2 ,-14.3 ,5.9
130120 ,94.8 ,92 ,17.1 ,84.7 ,92.3,-62.3 ,-14.3 ,5.8
130220 ,95.7 ,93 ,18.1 ,84.7 ,87.6,-62.3 ,-14.4 ,5.8
130330 ,94.8 ,93 ,18.1 ,84.7 ,90.7,-62.5 ,-14.3 ,5.7
130420 ,94.8 ,92 ,20.2 ,85.8 ,87.6,-62.7 ,-14.1 ,5.7
130540 ,94.8 ,92 ,19.1 ,85.8 ,90.7,-62.9 ,-14.1 ,5.6
130630 ,95.7 ,92 ,18.1 ,84.7 ,89.2,-63.0 ,-14.0 ,5.4
130720 ,94.8 ,92 ,18.1 ,84.7 ,92.3,-63.1 ,-13.9 ,5.6
130840 ,94.8 ,92 ,16.1 ,84.7 ,90.7,-63.2 ,-14.0 ,5.9
130930 ,94.8 ,93 ,17.1 ,84.7 ,90.7,-63.2 ,-13.9 ,5.9
131020 ,94.8 ,92 ,17.1 ,84.7 ,92.3,-63.2 ,-13.8 ,5.8
131140 ,94.0 ,92 ,18.1 ,84.7 ,92.3,-63.3 ,-13.6 ,6.0
131230 ,94.8 ,92 ,18.1 ,83.6 ,90.7,-63.4 ,-13.6 ,6.1
131320 ,95.7 ,92 ,17.1 ,84.7 ,87.6,-63.4 ,-13.5 ,6.1
131440 ,94.0 ,92 ,18.1 ,84.7 ,90.7,-63.4 ,-13.5 ,6.0
131530 ,94.8 ,93 ,17.1 ,85.8 ,90.7,-63.3 ,-13.6 ,6.0
131620 ,94.8 ,92 ,19.1 ,85.8 ,89.2,-63.3 ,-13.7 ,6.1
131740 ,94.8 ,92 ,18.1 ,84.7 ,89.2,-63.4 ,-13.7 ,6.0
131830 ,95.7 ,93 ,18.1 ,85.8 ,89.2,-63.4 ,-13.8 ,6.1
131920 ,95.7 ,92 ,18.1 ,83.6 ,89.2,-63.5 ,-13.9 ,6.1
132040 ,94.8 ,93 ,19.1 ,85.8 ,89.2,-63.9 ,-14.2 ,6.0
132130 ,94.8 ,93 ,18.1 ,85.8 ,89.2,-63.9 ,-14.2 ,6.1
132220 ,95.7 ,94 ,18.1 ,84.7 ,90.7,-64.1 ,-14.1 ,6.2
132310 ,95.7 ,93 ,20.2 ,85.8 ,89.2,-64.6 ,-13.7 ,6.5
132430 ,95.7 ,95 ,19.1 ,83.6 ,89.2,-65.2 ,-13.0 ,6.8
132520 ,94.8 ,94 ,19.1 ,84.7 ,89.2,-65.3 ,-13.0 ,6.9
132610 ,95.7 ,93 ,19.1 ,84.7 ,90.7,-65.5 ,-12.9 ,7.1
132730 ,95.7 ,94 ,18.1 ,84.7 ,89.2,-65.6 ,-12.9 ,7.1
132820 ,94.8 ,94 ,20.2 ,86.9 ,90.7,-65.6 ,-13.0 ,7.2
132910 ,95.7 ,94 ,18.1 ,84.7 ,87.6,-65.5 ,-13.0 ,7.1
133030 ,95.7 ,93 ,19.1 ,84.7 ,89.2,-65.5 ,-13.1 ,7.2
133120 ,95.7 ,93 ,18.1 ,85.8 ,89.2,-65.5 ,-13.2 ,7.3
133210 ,95.7 ,93 ,19.1 ,85.8 ,89.2,-65.4 ,-13.5 ,7.3
133330 ,95.7 ,94 ,17.1 ,84.7 ,89.2,-65.2 ,-13.5 ,7.3
133420 ,95.7 ,93 ,18.1 ,84.7 ,89.2,-65.2 ,-13.3 ,7.1
133510 ,95.7 ,93 ,19.1 ,85.8 ,89.2,-65.2 ,-13.3 ,7.1
133630 ,95.7 ,93 ,18.1 ,85.8 ,89.2,-65.1 ,-13.4 ,7.2
133720 ,94.8 ,93 ,18.1 ,84.7 ,90.7,-65.0 ,-13.5 ,7.2
133810 ,94.8 ,93 ,19.1 ,84.7 ,90.7,-65.0 ,-13.7 ,7.4
133930 ,95.7 ,94 ,18.1 ,84.7 ,87.6,-64.9 ,-13.7 ,7.3
134020 ,94.8 ,93 ,18.1 ,85.8 ,90.7,-64.8 ,-13.7 ,7.3
134110 ,94.8 ,94 ,18.1 ,83.6 ,89.2,-64.8 ,-13.7 ,7.3
134230 ,94.8 ,92 ,18.1 ,84.7 ,89.2,-64.8 ,-13.8 ,7.4
134320 ,94.8 ,94 ,18.1 ,83.6 ,89.2,-64.8 ,-13.8 ,7.5
134410 ,94.8 ,94 ,17.1 ,84.7 ,89.2,-64.8 ,-13.8 ,7.6
134530 ,94.8 ,92 ,18.1 ,85.8 ,87.6,-64.9 ,-13.9 ,7.8
134620 ,94.8 ,94 ,18.1 ,83.6 ,90.7,-64.9 ,-14.0 ,7.9
134710 ,94.0 ,94 ,19.1 ,84.7 ,87.6,-64.8 ,-14.0 ,8.1
134830 ,94.8 ,93 ,17.1 ,84.7 ,90.7,-64.8 ,-14.0 ,8.0
134920 ,95.7 ,92 ,19.1 ,85.8 ,87.6,-64.8 ,-14.1 ,8.1
135010 ,95.7 ,94 ,17.1 ,84.7 ,87.6,-64.7 ,-14.1 ,8.2
