TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
162990 ,12.8 ,96 ,90.9 ,86.9 ,83.0,-78.2 ,-26.5 ,30.8
163110 ,11.1 ,96 ,90.9 ,86.9 ,86.1,-78.4 ,-26.5 ,30.9
163200 ,11.9 ,97 ,90.9 ,85.8 ,83.0,-78.4 ,-26.6 ,31.0
163290 ,12.8 ,97 ,90.9 ,85.8 ,84.6,-78.5 ,-26.6 ,31.1
163410 ,12.8 ,97 ,88.8 ,86.9 ,83.0,-78.5 ,-26.5 ,30.9
163500 ,11.9 ,96 ,89.8 ,85.8 ,83.0,-78.4 ,-26.5 ,30.9
163590 ,11.1 ,96 ,90.9 ,86.9 ,84.6,-78.5 ,-26.5 ,31.0
163710 ,11.9 ,95 ,90.9 ,86.9 ,84.6,-78.5 ,-26.7 ,31.0
163800 ,12.8 ,97 ,89.8 ,86.9 ,81.5,-78.7 ,-26.8 ,31.2
163890 ,11.9 ,97 ,91.9 ,86.9 ,81.5,-78.6 ,-26.8 ,31.1
164010 ,11.9 ,96 ,90.9 ,86.9 ,83.0,-78.6 ,-26.7 ,31.0
164100 ,11.1 ,97 ,91.9 ,86.9 ,83.0,-78.6 ,-26.7 ,31.1
164220 ,11.9 ,97 ,91.9 ,88.0 ,83.0,-78.6 ,-26.8 ,31.1
164310 ,12.8 ,97 ,89.8 ,85.8 ,81.5,-78.6 ,-26.8 ,31.1
164400 ,12.8 ,96 ,90.9 ,86.9 ,83.0,-78.7 ,-26.9 ,31.2
164520 ,11.9 ,95 ,90.9 ,86.9 ,84.6,-78.6 ,-26.9 ,31.0
164610 ,11.1 ,96 ,90.9 ,85.8 ,83.0,-78.5 ,-26.9 ,30.8
164700 ,11.1 ,96 ,90.9 ,86.9 ,84.6,-78.8 ,-26.9 ,31.0
164820 ,11.9 ,96 ,90.9 ,86.9 ,81.5,-78.8 ,-27.0 ,31.0
164910 ,11.9 ,96 ,89.8 ,86.9 ,84.6,-78.9 ,-27.0 ,31.0
165000 ,11.9 ,97 ,90.9 ,85.8 ,81.5,-78.9 ,-27.0 ,31.1
165120 ,12.8 ,97 ,88.8 ,85.8 ,83.0,-79.0 ,-26.9 ,31.1
165210 ,11.1 ,96 ,91.9 ,88.0 ,83.0,-78.9 ,-26.9 ,31.0
165300 ,11.1 ,96 ,89.8 ,85.8 ,84.6,-79.0 ,-27.0 ,31.1
165420 ,11.9 ,95 ,90.9 ,84.7 ,83.0,-79.2 ,-27.1 ,31.0
165510 ,11.9 ,97 ,90.9 ,88.0 ,84.6,-79.0 ,-27.1 ,30.9
165600 ,11.9 ,96 ,90.9 ,86.9 ,83.0,-79.2 ,-27.1 ,31.0
165720 ,12.8 ,96 ,89.8 ,88.0 ,84.6,-79.5 ,-27.1 ,31.2
165810 ,13.6 ,97 ,88.8 ,85.8 ,83.0,-80.2 ,-27.4 ,31.7
165900 ,12.8 ,96 ,90.9 ,86.9 ,83.0,-78.9 ,-27.2 ,30.6
165990 ,12.8 ,96 ,90.9 ,88.0 ,83.0,-79.6 ,-27.2 ,31.0
166110 ,12.8 ,97 ,90.9 ,86.9 ,83.0,-79.7 ,-27.3 ,31.1
166200 ,11.9 ,95 ,89.8 ,86.9 ,84.6,-79.8 ,-27.2 ,31.0
166290 ,12.8 ,97 ,90.9 ,85.8 ,81.5,-79.9 ,-27.3 ,31.1
166410 ,12.8 ,96 ,90.9 ,86.9 ,83.0,-79.9 ,-27.4 ,31.1
166500 ,11.9 ,95 ,90.9 ,86.9 ,84.6,-80.0 ,-27.4 ,31.1
