TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
42050 ,97.9 ,98 ,98.0 ,89.0 ,96.7,-86.7 ,18.6 ,-10.0
42170 ,97.9 ,98 ,98.0 ,89.0 ,96.7,-86.8 ,18.8 ,-10.0
42260 ,97.9 ,98 ,97.0 ,89.0 ,96.7,-86.8 ,18.9 ,-9.9
42350 ,97.9 ,98 ,97.0 ,89.0 ,96.7,-86.8 ,18.8 ,-9.9
42470 ,97.9 ,98 ,98.0 ,87.9 ,95.0,-87.0 ,18.6 ,-10.0
42560 ,97.9 ,98 ,98.0 ,89.0 ,96.7,-87.1 ,18.5 ,-10.0
42650 ,97.9 ,98 ,98.0 ,89.0 ,96.7,-87.0 ,18.4 ,-9.9
42770 ,97.9 ,98 ,98.0 ,89.0 ,95.0,-86.7 ,18.1 ,-9.5
42860 ,97.9 ,97 ,98.0 ,89.0 ,95.0,-86.7 ,17.9 ,-9.5
42950 ,97.9 ,98 ,97.0 ,87.9 ,96.7,-86.7 ,17.6 ,-9.5
43070 ,97.9 ,98 ,97.0 ,89.0 ,95.0,-87.1 ,17.0 ,-9.3
43160 ,100.0 ,97 ,98.0 ,89.0 ,95.0,-86.9 ,17.0 ,-9.1
43250 ,98.9 ,98 ,97.0 ,87.9 ,95.0,-86.9 ,17.0 ,-9.2
43370 ,97.9 ,98 ,97.0 ,87.9 ,96.7,-86.8 ,16.9 ,-9.3
43460 ,98.9 ,98 ,97.0 ,89.0 ,96.7,-87.0 ,16.9 ,-9.5
43550 ,98.9 ,98 ,97.0 ,89.0 ,95.0,-87.5 ,16.8 ,-9.9
43670 ,98.9 ,98 ,98.0 ,87.9 ,95.0,-87.9 ,16.5 ,-9.8
43760 ,98.9 ,97 ,97.0 ,89.0 ,96.7,-88.2 ,16.2 ,-9.8
43850 ,98.9 ,98 ,98.0 ,87.9 ,95.0,-88.2 ,16.0 ,-9.8
43970 ,98.9 ,98 ,97.0 ,89.0 ,96.7,-88.2 ,15.7 ,-9.4
44060 ,98.9 ,98 ,97.0 ,87.9 ,95.0,-88.2 ,15.3 ,-9.2
44150 ,98.9 ,98 ,97.0 ,89.0 ,95.0,-88.2 ,14.7 ,-9.0
44270 ,100.0 ,98 ,97.0 ,87.9 ,96.7,-88.1 ,14.7 ,-8.8
44360 ,98.9 ,98 ,97.0 ,89.0 ,95.0,-88.2 ,14.8 ,-8.4
44450 ,97.9 ,98 ,98.0 ,89.0 ,96.7,-88.0 ,14.8 ,-8.1
44570 ,98.9 ,98 ,98.0 ,89.0 ,95.0,-87.3 ,14.6 ,-7.8
44660 ,98.9 ,98 ,97.0 ,87.9 ,95.0,-87.1 ,14.6 ,-7.8
44750 ,98.9 ,98 ,98.0 ,89.0 ,95.0,-86.6 ,14.5 ,-7.4
44870 ,98.9 ,98 ,97.0 ,87.9 ,95.0,-85.6 ,14.8 ,-6.4
44960 ,98.9 ,98 ,97.0 ,89.0 ,95.0,-85.5 ,15.0 ,-6.4
45050 ,98.9 ,98 ,98.0 ,89.0 ,95.0,-86.0 ,13.9 ,-6.2
45170 ,98.9 ,97 ,97.0 ,89.0 ,95.0,-86.1 ,14.3 ,-5.4
45260 ,98.9 ,98 ,97.0 ,89.0 ,95.0,-86.2 ,14.5 ,-5.7
45350 ,97.9 ,98 ,97.0 ,87.9 ,95.0,-86.6 ,13.8 ,-6.1
45470 ,98.9 ,98 ,97.0 ,87.9 ,95.0,-87.4 ,12.8 ,-5.7
45560 ,98.9 ,98 ,97.0 ,87.9 ,95.0,-87.5 ,12.5 ,-5.5
45650 ,98.9 ,97 ,97.0 ,87.9 ,95.0,-87.5 ,12.2 ,-5.4
45770 ,98.9 ,98 ,97.0 ,87.9 ,95.0,-87.3 ,11.6 ,-5.2
45860 ,98.9 ,98 ,97.0 ,87.9 ,95.0,-87.4 ,11.1 ,-5.2
45950 ,98.9 ,98 ,97.0 ,89.0 ,93.4,-87.8 ,10.5 ,-5.3
46070 ,100.0 ,97 ,97.0 ,87.9 ,96.7,-88.4 ,9.9 ,-5.4
46160 ,98.9 ,97 ,97.0 ,87.9 ,95.0,-88.5 ,10.0 ,-5.5
46250 ,98.9 ,97 ,97.0 ,89.0 ,95.0,-88.6 ,10.1 ,-5.7
46370 ,98.9 ,98 ,97.0 ,89.0 ,95.0,-88.7 ,9.9 ,-5.8
