TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
178600 ,95.2 ,97 ,97.1 ,3.7 ,61.4,-126.9 ,45.4 ,43.0
178720 ,95.2 ,97 ,96.1 ,2.7 ,61.4,-125.8 ,45.5 ,44.1
178810 ,96.4 ,98 ,96.1 ,3.7 ,61.4,-125.2 ,44.7 ,44.5
178900 ,95.2 ,97 ,96.1 ,2.7 ,61.4,-124.7 ,44.5 ,44.8
179020 ,95.2 ,97 ,96.1 ,2.7 ,61.4,-125.1 ,44.1 ,45.1
179110 ,95.2 ,97 ,97.1 ,2.7 ,61.4,-124.6 ,43.1 ,45.9
179200 ,95.2 ,97 ,96.1 ,2.7 ,61.4,-124.8 ,42.8 ,45.9
179320 ,95.2 ,98 ,96.1 ,2.7 ,60.2,-125.7 ,42.9 ,45.9
179410 ,95.2 ,97 ,96.1 ,2.7 ,60.2,-125.2 ,42.6 ,46.6
179500 ,95.2 ,97 ,96.1 ,3.7 ,60.2,-124.4 ,42.4 ,47.3
179620 ,95.2 ,97 ,97.1 ,3.7 ,60.2,-124.8 ,42.5 ,47.1
179710 ,95.2 ,98 ,96.1 ,2.7 ,60.2,-124.7 ,42.3 ,47.3
179800 ,94.0 ,97 ,96.1 ,2.7 ,60.2,-124.5 ,41.9 ,47.4
179920 ,95.2 ,97 ,96.1 ,2.7 ,60.2,-124.3 ,41.5 ,47.6
180010 ,95.2 ,97 ,96.1 ,2.7 ,60.2,-124.3 ,41.6 ,47.7
180100 ,95.2 ,98 ,97.1 ,2.7 ,60.2,-124.6 ,42.0 ,47.6
180220 ,95.2 ,97 ,96.1 ,2.7 ,60.2,-124.0 ,42.3 ,48.6
180310 ,94.0 ,98 ,97.1 ,3.7 ,59.0,-124.1 ,42.6 ,48.5
180430 ,96.4 ,97 ,96.1 ,2.7 ,60.2,-125.4 ,42.9 ,47.4
180520 ,95.2 ,97 ,96.1 ,2.7 ,59.0,-126.1 ,43.3 ,46.9
180610 ,95.2 ,98 ,96.1 ,2.7 ,59.0,-126.4 ,43.5 ,46.6
180730 ,95.2 ,97 ,97.1 ,2.7 ,60.2,-127.1 ,44.0 ,45.9
180820 ,95.2 ,97 ,96.1 ,2.7 ,60.2,-127.4 ,44.2 ,45.5
180910 ,95.2 ,98 ,96.1 ,1.8 ,59.0,-127.5 ,44.3 ,45.5
181030 ,96.4 ,98 ,96.1 ,1.8 ,59.0,-127.5 ,44.5 ,45.7
181120 ,95.2 ,97 ,96.1 ,1.8 ,59.0,-127.4 ,44.6 ,45.9
181210 ,95.2 ,97 ,96.1 ,1.8 ,60.2,-127.5 ,44.7 ,46.1
181330 ,95.2 ,97 ,96.1 ,1.8 ,59.0,-127.6 ,44.9 ,46.1
181420 ,95.2 ,97 ,96.1 ,1.8 ,60.2,-127.8 ,45.1 ,46.1
181510 ,95.2 ,97 ,97.1 ,1.8 ,60.2,-128.2 ,45.4 ,46.0
