TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
226680 ,96.4 ,95 ,95.2 ,97.2 ,1.1,-116.0 ,66.7 ,9.9
226800 ,96.4 ,96 ,95.2 ,96.2 ,1.1,-118.2 ,67.3 ,8.7
226890 ,97.6 ,95 ,95.2 ,97.2 ,1.1,-118.4 ,67.9 ,9.0
226980 ,97.6 ,95 ,95.2 ,97.2 ,1.1,-117.4 ,68.4 ,10.1
227100 ,97.6 ,95 ,95.2 ,97.2 ,1.1,-116.0 ,69.0 ,11.5
227190 ,96.4 ,95 ,95.2 ,97.2 ,2.2,-115.5 ,69.6 ,12.2
227280 ,97.6 ,95 ,94.2 ,97.2 ,1.1,-114.6 ,70.2 ,13.0
227400 ,97.6 ,95 ,96.1 ,97.2 ,1.1,-112.1 ,70.5 ,15.3
227490 ,96.4 ,95 ,96.1 ,96.2 ,1.1,-110.7 ,70.6 ,16.6
227580 ,96.4 ,95 ,95.2 ,97.2 ,2.2,-109.9 ,70.4 ,17.6
227700 ,97.6 ,96 ,95.2 ,96.2 ,1.1,-109.3 ,70.8 ,20.1
227790 ,97.6 ,95 ,95.2 ,97.2 ,1.1,-109.0 ,70.3 ,20.5
227880 ,97.6 ,95 ,95.2 ,96.2 ,2.2,-109.1 ,69.8 ,20.5
228000 ,97.6 ,95 ,95.2 ,96.2 ,1.1,-108.7 ,70.0 ,20.4
228090 ,96.4 ,96 ,95.2 ,96.2 ,2.2,-107.8 ,70.0 ,21.1
228180 ,96.4 ,96 ,95.2 ,97.2 ,2.2,-107.8 ,69.8 ,21.0
228300 ,97.6 ,95 ,95.2 ,96.2 ,1.1,-108.3 ,69.6 ,20.5
228390 ,97.6 ,95 ,94.2 ,97.2 ,1.1,-108.7 ,69.6 ,20.3
228510 ,97.6 ,95 ,95.2 ,97.2 ,2.2,-109.1 ,69.8 ,19.8
228600 ,96.4 ,95 ,95.2 ,96.2 ,1.1,-112.1 ,69.7 ,16.6
228690 ,96.4 ,95 ,95.2 ,98.1 ,1.1,-114.5 ,69.6 ,14.4
228810 ,97.6 ,95 ,95.2 ,96.2 ,1.1,-113.5 ,69.5 ,14.8
228900 ,96.4 ,95 ,95.2 ,97.2 ,1.1,-112.4 ,70.1 ,16.2
228990 ,96.4 ,95 ,95.2 ,97.2 ,1.1,-110.2 ,70.2 ,18.4
229110 ,96.4 ,95 ,95.2 ,96.2 ,1.1,-114.1 ,72.5 ,15.0
229200 ,96.4 ,95 ,94.2 ,96.2 ,1.1,-114.0 ,72.5 ,15.1
229290 ,96.4 ,95 ,94.2 ,96.2 ,2.2,-111.2 ,71.4 ,16.8
229410 ,97.6 ,95 ,95.2 ,96.2 ,1.1,-114.1 ,70.9 ,13.2
229500 ,96.4 ,95 ,96.1 ,97.2 ,1.1,-117.3 ,70.2 ,9.8
229590 ,96.4 ,95 ,95.2 ,95.3 ,1.1,-116.9 ,69.1 ,10.7
229710 ,97.6 ,95 ,95.2 ,97.2 ,2.2,-118.3 ,69.3 ,9.8
229800 ,97.6 ,95 ,94.2 ,97.2 ,2.2,-117.1 ,69.9 ,10.9
229890 ,96.4 ,95 ,95.2 ,96.2 ,2.2,-116.9 ,70.3 ,10.4
230010 ,97.6 ,95 ,95.2 ,96.2 ,2.2,-119.5 ,70.5 ,6.9
230100 ,96.4 ,95 ,95.2 ,96.2 ,1.1,-120.8 ,70.4 ,4.2
230190 ,96.4 ,95 ,95.2 ,96.2 ,1.1,-124.2 ,70.8 ,-1.3
230310 ,96.4 ,95 ,94.2 ,97.2 ,2.2,-125.9 ,70.4 ,-4.4
230400 ,96.4 ,95 ,94.2 ,96.2 ,2.2,-126.1 ,70.1 ,-4.9
230490 ,96.4 ,95 ,95.2 ,96.2 ,2.2,-126.4 ,70.1 ,-5.1
230610 ,96.4 ,95 ,95.2 ,96.2 ,2.2,-133.9 ,70.8 ,-11.0
230700 ,96.4 ,95 ,95.2 ,96.2 ,1.1,-131.6 ,69.6 ,-9.0
230790 ,96.4 ,95 ,95.2 ,97.2 ,2.2,-127.5 ,69.0 ,-6.0
230910 ,97.6 ,95 ,94.2 ,97.2 ,1.1,-127.2 ,69.6 ,-6.0
231000 ,97.6 ,95 ,94.2 ,97.2 ,2.2,-125.9 ,70.0 ,-3.9
231090 ,97.6 ,95 ,95.2 ,96.2 ,3.4,-126.2 ,69.6 ,-4.6
231210 ,96.4 ,95 ,95.2 ,96.2 ,1.1,-128.9 ,68.8 ,-8.7
231300 ,96.4 ,95 ,95.2 ,96.2 ,2.2,-130.4 ,68.5 ,-11.5
231390 ,96.4 ,95 ,95.2 ,96.2 ,1.1,-133.3 ,68.6 ,-15.4
231510 ,95.2 ,95 ,95.2 ,96.2 ,1.1,-136.5 ,69.4 ,-18.2
231580 ,96.4 ,95 ,94.2 ,95.3 ,3.4,-136.4 ,68.8 ,-18.1
231690 ,96.4 ,95 ,94.2 ,96.2 ,2.2,-134.4 ,68.0 ,-16.3
231810 ,96.4 ,95 ,94.2 ,96.2 ,2.2,-132.6 ,67.8 ,-14.2
231900 ,96.4 ,95 ,95.2 ,96.2 ,2.2,-130.5 ,67.8 ,-12.0
232020 ,96.4 ,95 ,95.2 ,96.2 ,1.1,-128.5 ,67.8 ,-10.0
232110 ,96.4 ,95 ,95.2 ,96.2 ,1.1,-126.8 ,67.8 ,-8.3
232200 ,97.6 ,95 ,94.2 ,96.2 ,2.2,-125.7 ,68.8 ,-6.4
232320 ,96.4 ,95 ,94.2 ,96.2 ,1.1,-124.5 ,68.8 ,-3.8
232410 ,96.4 ,95 ,95.2 ,96.2 ,2.2,-125.3 ,68.9 ,-4.1
232500 ,96.4 ,95 ,94.2 ,96.2 ,1.1,-126.6 ,68.7 ,-5.7
232620 ,96.4 ,95 ,94.2 ,96.2 ,1.1,-125.7 ,69.0 ,-5.6
232710 ,96.4 ,95 ,95.2 ,96.2 ,2.2,-125.0 ,69.5 ,-5.6
232800 ,96.4 ,95 ,94.2 ,96.2 ,1.1,-123.2 ,69.9 ,-3.9
232920 ,96.4 ,95 ,94.2 ,96.2 ,1.1,-121.5 ,70.5 ,-1.8
233010 ,96.4 ,95 ,94.2 ,96.2 ,1.1,-122.2 ,71.4 ,-1.6
233100 ,96.4 ,95 ,94.2 ,96.2 ,1.1,-121.3 ,71.8 ,-0.4
233220 ,96.4 ,95 ,94.2 ,97.2 ,1.1,-119.0 ,71.9 ,2.2
233310 ,95.2 ,95 ,95.2 ,96.2 ,0.0,-119.2 ,72.6 ,2.0
233400 ,96.4 ,95 ,94.2 ,96.2 ,0.0,-117.4 ,72.8 ,3.6
233520 ,97.6 ,95 ,94.2 ,96.2 ,0.0,-114.6 ,72.7 ,6.2
233610 ,96.4 ,95 ,94.2 ,96.2 ,0.0,-114.1 ,72.4 ,6.8
