TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
313340 ,90.1 ,90 ,23.7 ,89.5 ,85.5,118.4 ,-22.6 ,104.6
313460 ,91.1 ,90 ,23.7 ,88.5 ,85.5,118.4 ,-22.9 ,104.7
313550 ,91.1 ,90 ,23.7 ,88.5 ,84.4,118.4 ,-23.0 ,104.7
313640 ,91.1 ,89 ,23.7 ,88.5 ,86.6,118.3 ,-22.8 ,104.8
313760 ,91.1 ,90 ,24.7 ,88.5 ,85.5,118.3 ,-22.7 ,104.7
313850 ,91.1 ,90 ,23.7 ,88.5 ,85.5,118.2 ,-22.8 ,104.9
313940 ,91.1 ,90 ,24.7 ,88.5 ,85.5,118.2 ,-22.8 ,104.9
314060 ,91.1 ,90 ,23.7 ,86.4 ,84.4,118.1 ,-22.8 ,105.0
314150 ,91.1 ,90 ,23.7 ,88.5 ,85.5,118.1 ,-22.8 ,105.1
314240 ,91.1 ,90 ,23.7 ,88.5 ,85.5,118.1 ,-22.9 ,105.1
314360 ,90.1 ,90 ,24.7 ,88.5 ,84.4,118.1 ,-23.0 ,105.2
314450 ,91.1 ,90 ,24.7 ,88.5 ,85.5,118.0 ,-23.0 ,105.2
314570 ,91.1 ,90 ,22.6 ,88.5 ,85.5,118.0 ,-23.1 ,105.3
314660 ,91.1 ,90 ,23.7 ,87.5 ,85.5,117.9 ,-23.1 ,105.5
314750 ,91.1 ,90 ,23.7 ,88.5 ,85.5,117.9 ,-23.1 ,105.5
314870 ,91.1 ,90 ,23.7 ,88.5 ,85.5,117.9 ,-23.3 ,105.5
314960 ,91.1 ,90 ,23.7 ,88.5 ,84.4,117.8 ,-23.4 ,105.6
315050 ,91.1 ,90 ,24.7 ,88.5 ,85.5,117.8 ,-23.4 ,105.6
315170 ,90.1 ,90 ,23.7 ,88.5 ,85.5,117.7 ,-23.4 ,105.6
315260 ,91.1 ,90 ,23.7 ,88.5 ,85.5,117.6 ,-23.4 ,105.7
315350 ,91.1 ,90 ,23.7 ,88.5 ,85.5,117.6 ,-23.4 ,105.7
315470 ,91.1 ,90 ,23.7 ,88.5 ,85.5,117.5 ,-23.5 ,105.8
315560 ,92.1 ,90 ,22.6 ,88.5 ,85.5,117.4 ,-23.5 ,105.8
315680 ,90.1 ,89 ,24.7 ,88.5 ,85.5,117.4 ,-23.5 ,105.9
315770 ,90.1 ,90 ,23.7 ,87.5 ,85.5,117.3 ,-23.5 ,106.0
315860 ,90.1 ,90 ,23.7 ,88.5 ,84.4,117.3 ,-23.5 ,106.1
315980 ,91.1 ,90 ,23.7 ,88.5 ,83.3,117.0 ,-23.5 ,106.2
316070 ,90.1 ,90 ,24.7 ,87.5 ,85.5,117.0 ,-23.6 ,106.3
316190 ,91.1 ,90 ,24.7 ,88.5 ,85.5,117.0 ,-23.5 ,106.3
316280 ,91.1 ,90 ,23.7 ,87.5 ,84.4,116.9 ,-23.5 ,106.4
316370 ,92.1 ,90 ,23.7 ,88.5 ,84.4,116.8 ,-23.6 ,106.5
316490 ,90.1 ,90 ,23.7 ,87.5 ,84.4,116.7 ,-23.7 ,106.7
316580 ,91.1 ,90 ,23.7 ,87.5 ,84.4,116.5 ,-23.9 ,106.9
316670 ,91.1 ,90 ,22.6 ,88.5 ,85.5,116.5 ,-23.9 ,106.9
316790 ,91.1 ,90 ,23.7 ,88.5 ,84.4,116.5 ,-23.8 ,106.8
316880 ,91.1 ,90 ,23.7 ,87.5 ,85.5,116.5 ,-23.9 ,106.9
316970 ,91.1 ,89 ,23.7 ,88.5 ,85.5,116.5 ,-23.9 ,106.9
317090 ,89.2 ,89 ,23.7 ,87.5 ,84.4,116.5 ,-23.8 ,106.9
317180 ,91.1 ,90 ,23.7 ,88.5 ,85.5,116.5 ,-23.8 ,107.0
317270 ,90.1 ,90 ,23.7 ,88.5 ,85.5,116.4 ,-23.8 ,107.0
317390 ,91.1 ,90 ,23.7 ,88.5 ,84.4,116.4 ,-23.9 ,107.0
317480 ,92.1 ,90 ,23.7 ,88.5 ,84.4,116.4 ,-24.0 ,107.1
317570 ,91.1 ,90 ,23.7 ,88.5 ,85.5,116.3 ,-24.0 ,107.2
317690 ,92.1 ,90 ,23.7 ,87.5 ,85.5,116.2 ,-24.1 ,107.3
317780 ,90.1 ,90 ,23.7 ,87.5 ,85.5,116.2 ,-24.1 ,107.3
317870 ,91.1 ,90 ,23.7 ,87.5 ,85.5,116.2 ,-24.1 ,107.4
317990 ,91.1 ,90 ,24.7 ,88.5 ,84.4,116.1 ,-24.2 ,107.5
318080 ,91.1 ,89 ,23.7 ,88.5 ,85.5,116.0 ,-24.2 ,107.6
318170 ,92.1 ,90 ,23.7 ,87.5 ,85.5,116.2 ,-24.1 ,107.5
318290 ,91.1 ,90 ,23.7 ,88.5 ,84.4,116.0 ,-24.3 ,107.7
318380 ,90.1 ,90 ,23.7 ,88.5 ,85.5,116.0 ,-24.4 ,107.8
318470 ,91.1 ,90 ,23.7 ,88.5 ,84.4,115.9 ,-24.4 ,107.9
318590 ,90.1 ,90 ,23.7 ,88.5 ,84.4,115.9 ,-24.4 ,107.9
318680 ,91.1 ,90 ,23.7 ,88.5 ,84.4,115.9 ,-24.4 ,107.9
318770 ,91.1 ,90 ,24.7 ,87.5 ,85.5,115.8 ,-24.5 ,108.0
318860 ,90.1 ,90 ,23.7 ,88.5 ,84.4,115.8 ,-24.4 ,108.1
318980 ,92.1 ,90 ,23.7 ,88.5 ,85.5,115.8 ,-24.5 ,108.1
319070 ,91.1 ,90 ,23.7 ,88.5 ,84.4,115.7 ,-24.5 ,108.2
319160 ,91.1 ,90 ,23.7 ,88.5 ,85.5,115.7 ,-24.5 ,108.3
319280 ,91.1 ,90 ,23.7 ,88.5 ,84.4,115.6 ,-24.6 ,108.4
319370 ,90.1 ,90 ,23.7 ,88.5 ,84.4,115.6 ,-24.6 ,108.4
319460 ,90.1 ,90 ,23.7 ,87.5 ,85.5,115.6 ,-24.6 ,108.4
319580 ,91.1 ,90 ,23.7 ,87.5 ,85.5,115.3 ,-24.7 ,108.8
319670 ,91.1 ,90 ,23.7 ,88.5 ,83.3,115.2 ,-24.6 ,108.8
319760 ,91.1 ,90 ,23.7 ,88.5 ,84.4,115.2 ,-24.6 ,108.8
319880 ,90.1 ,90 ,24.7 ,88.5 ,84.4,115.2 ,-24.7 ,108.8
319970 ,91.1 ,90 ,23.7 ,87.5 ,84.4,115.1 ,-24.6 ,109.0
320060 ,91.1 ,90 ,22.6 ,88.5 ,84.4,115.0 ,-24.6 ,109.0
320180 ,90.1 ,90 ,23.7 ,89.5 ,84.4,115.0 ,-24.6 ,109.1
320270 ,91.1 ,90 ,23.7 ,87.5 ,84.4,114.9 ,-24.8 ,109.2
320360 ,90.1 ,90 ,23.7 ,88.5 ,84.4,114.8 ,-24.9 ,109.3
320480 ,91.1 ,90 ,22.6 ,88.5 ,84.4,114.9 ,-24.7 ,109.2
320570 ,90.1 ,90 ,23.7 ,88.5 ,85.5,114.9 ,-24.6 ,109.2
320660 ,90.1 ,90 ,24.7 ,88.5 ,84.4,114.9 ,-24.6 ,109.3
320780 ,90.1 ,90 ,23.7 ,88.5 ,84.4,115.0 ,-24.5 ,109.3
320870 ,90.1 ,90 ,23.7 ,88.5 ,85.5,114.9 ,-24.5 ,109.3
320960 ,91.1 ,90 ,23.7 ,87.5 ,84.4,115.0 ,-24.4 ,109.4
321080 ,91.1 ,90 ,23.7 ,88.5 ,84.4,114.9 ,-24.5 ,109.4
321170 ,91.1 ,90 ,24.7 ,88.5 ,84.4,114.9 ,-24.5 ,109.4
321260 ,90.1 ,90 ,23.7 ,88.5 ,84.4,114.9 ,-24.2 ,109.5
