TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
265230 ,96.7 ,98 ,96.1 ,87.8 ,79.0,0.8 ,43.6 ,-159.1
265350 ,97.5 ,99 ,95.2 ,89.0 ,79.0,0.8 ,43.8 ,-159.1
265440 ,96.7 ,98 ,96.1 ,87.8 ,80.6,0.7 ,43.8 ,-159.1
265530 ,95.9 ,98 ,97.1 ,87.8 ,80.6,0.7 ,43.8 ,-159.0
265650 ,96.7 ,98 ,96.1 ,87.8 ,80.6,0.7 ,43.9 ,-159.0
265740 ,96.7 ,98 ,96.1 ,87.8 ,82.2,0.7 ,43.8 ,-159.0
265830 ,96.7 ,99 ,95.2 ,87.8 ,80.6,0.9 ,43.7 ,-159.0
265950 ,95.9 ,98 ,96.1 ,90.2 ,82.2,1.0 ,43.7 ,-159.0
266040 ,95.9 ,98 ,96.1 ,87.8 ,80.6,1.1 ,43.7 ,-159.0
266130 ,96.7 ,98 ,96.1 ,87.8 ,80.6,1.2 ,43.6 ,-159.0
266250 ,96.7 ,98 ,96.1 ,87.8 ,80.6,1.3 ,43.6 ,-158.9
266340 ,96.7 ,98 ,96.1 ,89.0 ,80.6,1.3 ,43.6 ,-158.8
266430 ,95.9 ,98 ,97.1 ,89.0 ,80.6,1.2 ,43.6 ,-158.9
266550 ,96.7 ,98 ,96.1 ,89.0 ,79.0,1.2 ,43.5 ,-159.0
266640 ,96.7 ,99 ,96.1 ,89.0 ,79.0,1.3 ,43.5 ,-159.0
266730 ,96.7 ,98 ,96.1 ,86.5 ,80.6,1.3 ,43.5 ,-158.9
266850 ,97.5 ,99 ,95.2 ,87.8 ,79.0,1.2 ,43.5 ,-158.9
266940 ,97.5 ,98 ,96.1 ,87.8 ,80.6,1.2 ,43.4 ,-158.9
267030 ,95.9 ,98 ,96.1 ,87.8 ,80.6,1.3 ,43.4 ,-158.9
267150 ,96.7 ,99 ,96.1 ,87.8 ,80.6,1.3 ,43.5 ,-158.8
267240 ,95.9 ,98 ,96.1 ,89.0 ,82.2,1.1 ,43.6 ,-159.0
267330 ,95.9 ,98 ,96.1 ,89.0 ,80.6,1.1 ,43.7 ,-158.9
267450 ,96.7 ,98 ,96.1 ,87.8 ,80.6,1.0 ,43.9 ,-158.9
267540 ,95.9 ,98 ,97.1 ,89.0 ,80.6,0.9 ,44.0 ,-158.9
267630 ,96.7 ,98 ,96.1 ,87.8 ,79.0,0.7 ,44.1 ,-158.9
267750 ,96.7 ,98 ,96.1 ,89.0 ,80.6,0.7 ,44.1 ,-158.9
267840 ,95.9 ,98 ,95.2 ,87.8 ,82.2,0.9 ,44.0 ,-158.9
267930 ,95.9 ,98 ,96.1 ,87.8 ,79.0,0.8 ,44.0 ,-158.9
268050 ,96.7 ,98 ,97.1 ,90.2 ,79.0,0.8 ,44.1 ,-159.0
268140 ,95.1 ,98 ,96.1 ,89.0 ,80.6,0.8 ,44.2 ,-158.9
268230 ,96.7 ,99 ,96.1 ,86.5 ,80.6,0.6 ,44.1 ,-159.1
268350 ,96.7 ,98 ,96.1 ,87.8 ,80.6,0.7 ,43.9 ,-159.1
268440 ,96.7 ,98 ,96.1 ,89.0 ,79.0,0.7 ,43.9 ,-159.1
268530 ,95.9 ,98 ,96.1 ,87.8 ,80.6,0.6 ,43.9 ,-159.2
268650 ,95.9 ,98 ,95.2 ,89.0 ,80.6,0.8 ,43.9 ,-159.0
268740 ,96.7 ,98 ,96.1 ,87.8 ,80.6,0.9 ,43.8 ,-159.0
268830 ,96.7 ,98 ,96.1 ,89.0 ,79.0,0.7 ,43.8 ,-159.1
268950 ,96.7 ,98 ,96.1 ,89.0 ,79.0,0.6 ,43.7 ,-159.2
269040 ,95.9 ,98 ,97.1 ,89.0 ,80.6,0.8 ,43.7 ,-159.1
269130 ,95.9 ,98 ,96.1 ,89.0 ,79.0,0.9 ,43.7 ,-159.0
269250 ,96.7 ,98 ,96.1 ,87.8 ,80.6,1.0 ,43.6 ,-158.8
269340 ,96.7 ,98 ,96.1 ,90.2 ,80.6,1.1 ,43.6 ,-158.8
269430 ,96.7 ,98 ,97.1 ,87.8 ,77.4,1.0 ,43.7 ,-158.7
269520 ,96.7 ,99 ,96.1 ,87.8 ,80.6,1.1 ,43.7 ,-158.6
269640 ,96.7 ,98 ,95.2 ,87.8 ,79.0,1.0 ,43.8 ,-158.5
269730 ,97.5 ,99 ,96.1 ,87.8 ,79.0,1.1 ,44.0 ,-158.3
269820 ,96.7 ,98 ,96.1 ,89.0 ,79.0,1.2 ,44.1 ,-158.2
269940 ,96.7 ,98 ,96.1 ,89.0 ,79.0,1.1 ,44.1 ,-158.1
270030 ,96.7 ,98 ,96.1 ,89.0 ,79.0,1.1 ,44.1 ,-158.2
270120 ,95.9 ,98 ,96.1 ,89.0 ,80.6,1.0 ,44.1 ,-158.2
270240 ,96.7 ,98 ,96.1 ,86.5 ,79.0,1.1 ,44.1 ,-158.0
270330 ,96.7 ,98 ,97.1 ,89.0 ,79.0,1.0 ,43.9 ,-158.1
270420 ,97.5 ,98 ,96.1 ,87.8 ,79.0,1.1 ,43.7 ,-158.1
270540 ,96.7 ,99 ,96.1 ,86.5 ,79.0,1.2 ,43.8 ,-158.0
270630 ,96.7 ,97 ,97.1 ,87.8 ,80.6,1.1 ,44.0 ,-157.9
270720 ,96.7 ,98 ,96.1 ,89.0 ,79.0,1.2 ,44.2 ,-157.8
270840 ,96.7 ,98 ,97.1 ,87.8 ,77.4,1.3 ,44.2 ,-157.8
270930 ,95.1 ,98 ,96.1 ,87.8 ,80.6,1.5 ,44.4 ,-157.9
271020 ,96.7 ,98 ,96.1 ,89.0 ,79.0,1.7 ,44.4 ,-157.8
271140 ,96.7 ,98 ,96.1 ,90.2 ,79.0,1.9 ,44.1 ,-157.8
271230 ,96.7 ,98 ,95.2 ,87.8 ,79.0,1.8 ,44.1 ,-157.9
271320 ,96.7 ,98 ,96.1 ,89.0 ,79.0,1.8 ,44.2 ,-157.9
271440 ,96.7 ,98 ,96.1 ,89.0 ,80.6,1.9 ,44.2 ,-157.8
271530 ,96.7 ,98 ,95.2 ,89.0 ,79.0,2.0 ,44.2 ,-157.7
271620 ,95.9 ,98 ,97.1 ,87.8 ,80.6,2.0 ,44.2 ,-157.8
271710 ,95.9 ,98 ,95.2 ,87.8 ,80.6,1.9 ,44.2 ,-157.9
271830 ,95.9 ,98 ,95.2 ,89.0 ,80.6,1.9 ,44.0 ,-157.9
271920 ,96.7 ,97 ,96.1 ,89.0 ,79.0,1.9 ,43.9 ,-157.8
272010 ,97.5 ,98 ,95.2 ,86.5 ,80.6,1.9 ,43.8 ,-157.9
272130 ,97.5 ,99 ,95.2 ,87.8 ,77.4,1.8 ,43.8 ,-157.8
272220 ,95.9 ,98 ,95.2 ,86.5 ,80.6,1.9 ,43.9 ,-157.8
272310 ,96.7 ,98 ,97.1 ,89.0 ,77.4,1.8 ,44.1 ,-157.8
272430 ,95.1 ,98 ,95.2 ,89.0 ,80.6,1.8 ,44.1 ,-157.8
272520 ,97.5 ,98 ,95.2 ,86.5 ,79.0,1.7 ,44.0 ,-157.9
272610 ,95.9 ,98 ,97.1 ,89.0 ,79.0,1.7 ,44.0 ,-158.0
272730 ,95.9 ,98 ,95.2 ,87.8 ,80.6,1.9 ,43.8 ,-157.9
272820 ,95.9 ,98 ,96.1 ,87.8 ,79.0,1.8 ,43.7 ,-157.9
272910 ,96.7 ,99 ,96.1 ,87.8 ,77.4,1.8 ,43.7 ,-158.0
273030 ,97.5 ,98 ,95.2 ,89.0 ,79.0,1.9 ,43.7 ,-157.9
273120 ,95.9 ,98 ,95.2 ,89.0 ,80.6,2.0 ,43.6 ,-157.8
273210 ,95.9 ,98 ,96.1 ,87.8 ,80.6,2.0 ,43.5 ,-157.9
273330 ,95.9 ,98 ,96.1 ,87.8 ,77.4,2.2 ,43.6 ,-157.8
273420 ,97.5 ,98 ,96.1 ,89.0 ,79.0,2.3 ,43.5 ,-157.7
273510 ,96.7 ,98 ,95.2 ,87.8 ,80.6,2.3 ,43.5 ,-157.7
273630 ,96.7 ,98 ,96.1 ,89.0 ,80.6,2.3 ,43.6 ,-157.7
273720 ,95.9 ,98 ,96.1 ,89.0 ,82.2,2.4 ,43.7 ,-157.5
273810 ,96.7 ,98 ,96.1 ,89.0 ,79.0,2.5 ,43.6 ,-157.5
273930 ,96.7 ,98 ,95.2 ,89.0 ,80.6,2.6 ,43.7 ,-157.5
274020 ,97.5 ,98 ,96.1 ,89.0 ,77.4,2.7 ,43.7 ,-157.3
274110 ,97.5 ,98 ,95.2 ,89.0 ,79.0,2.9 ,43.8 ,-157.2
274230 ,97.5 ,98 ,96.1 ,87.8 ,79.0,2.9 ,43.9 ,-157.2
274320 ,95.9 ,98 ,96.1 ,89.0 ,79.0,2.9 ,43.9 ,-157.1
274410 ,96.7 ,98 ,96.1 ,87.8 ,80.6,2.8 ,43.8 ,-157.3
274530 ,95.9 ,98 ,96.1 ,89.0 ,80.6,2.8 ,43.7 ,-157.3
274620 ,96.7 ,98 ,96.1 ,86.5 ,80.6,2.9 ,43.7 ,-157.2
274710 ,95.9 ,99 ,95.2 ,87.8 ,80.6,3.0 ,43.8 ,-157.2
274800 ,95.9 ,98 ,95.2 ,87.8 ,79.0,3.0 ,43.8 ,-157.2
274920 ,95.9 ,98 ,97.1 ,89.0 ,80.6,3.1 ,43.8 ,-157.1
