TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
760860 ,19.6 ,91 ,90.8 ,81.6 ,94.7,-123.6 ,-16.6 ,5.2
760980 ,15.8 ,91 ,90.8 ,81.6 ,94.7,-123.7 ,-16.7 ,5.3
761070 ,14.9 ,90 ,91.8 ,81.6 ,96.0,-123.8 ,-16.6 ,5.5
761160 ,18.6 ,91 ,91.8 ,81.6 ,96.0,-124.0 ,-16.7 ,5.5
761280 ,17.7 ,91 ,91.8 ,81.6 ,94.7,-124.1 ,-16.9 ,5.5
761370 ,17.7 ,91 ,90.8 ,81.6 ,96.0,-124.2 ,-16.9 ,5.6
761460 ,17.7 ,90 ,91.8 ,81.6 ,96.0,-124.3 ,-16.9 ,5.7
761550 ,18.6 ,91 ,91.8 ,82.6 ,96.0,-124.4 ,-16.9 ,5.9
761670 ,17.7 ,90 ,91.8 ,81.6 ,96.0,-124.6 ,-17.1 ,5.9
761760 ,17.7 ,91 ,90.8 ,81.6 ,94.7,-124.8 ,-17.1 ,6.1
761850 ,16.8 ,90 ,91.8 ,81.6 ,97.3,-124.8 ,-17.2 ,6.2
761970 ,17.7 ,90 ,90.8 ,80.6 ,96.0,-125.0 ,-17.4 ,6.3
762060 ,16.8 ,90 ,91.8 ,81.6 ,96.0,-125.2 ,-17.4 ,6.4
762150 ,16.8 ,91 ,91.8 ,80.6 ,94.7,-125.1 ,-17.3 ,6.3
762270 ,18.6 ,90 ,91.8 ,81.6 ,96.0,-125.2 ,-17.2 ,6.2
762360 ,17.7 ,91 ,92.8 ,81.6 ,94.7,-125.4 ,-17.3 ,6.2
762450 ,17.7 ,90 ,90.8 ,80.6 ,96.0,-125.4 ,-17.4 ,6.3
762570 ,17.7 ,90 ,90.8 ,81.6 ,96.0,-125.3 ,-17.3 ,6.3
762660 ,16.8 ,90 ,91.8 ,81.6 ,96.0,-125.2 ,-17.3 ,6.3
762750 ,17.7 ,91 ,91.8 ,80.6 ,94.7,-125.2 ,-17.2 ,6.4
762870 ,17.7 ,90 ,91.8 ,81.6 ,96.0,-125.5 ,-17.3 ,6.4
762960 ,17.7 ,90 ,90.8 ,80.6 ,96.0,-125.6 ,-17.3 ,6.5
763050 ,17.7 ,90 ,90.8 ,81.6 ,96.0,-125.5 ,-17.1 ,6.5
763170 ,16.8 ,91 ,91.8 ,81.6 ,96.0,-125.2 ,-17.0 ,6.3
763260 ,17.7 ,90 ,91.8 ,81.6 ,94.7,-125.2 ,-17.1 ,6.1
763350 ,17.7 ,91 ,91.8 ,81.6 ,94.7,-125.1 ,-17.2 ,5.8
763470 ,15.8 ,91 ,91.8 ,81.6 ,97.3,-124.8 ,-17.2 ,5.7
763560 ,16.8 ,91 ,91.8 ,81.6 ,93.4,-124.7 ,-17.2 ,5.7
763650 ,19.6 ,90 ,90.8 ,81.6 ,96.0,-124.6 ,-17.2 ,5.7
763740 ,18.6 ,90 ,91.8 ,80.6 ,96.0,-124.6 ,-17.2 ,5.7
763860 ,18.6 ,90 ,91.8 ,81.6 ,94.7,-124.4 ,-17.1 ,5.7
763950 ,17.7 ,90 ,90.8 ,81.6 ,96.0,-124.3 ,-17.0 ,5.7
764040 ,18.6 ,90 ,90.8 ,81.6 ,96.0,-124.4 ,-16.9 ,5.9
764160 ,20.5 ,91 ,91.8 ,82.6 ,94.7,-124.1 ,-16.9 ,5.5
764250 ,17.7 ,91 ,91.8 ,80.6 ,94.7,-123.8 ,-16.9 ,5.4
