TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
239550 ,97.7 ,97 ,97.2 ,87.8 ,2.5,-74.7 ,-34.0 ,-116.7
239670 ,97.7 ,97 ,96.3 ,87.8 ,0.0,-75.1 ,-33.9 ,-116.3
239760 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-75.2 ,-34.2 ,-116.1
239850 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-75.0 ,-34.6 ,-116.2
239970 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.6 ,-34.8 ,-116.8
240060 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.4 ,-34.6 ,-116.9
240150 ,97.7 ,97 ,95.4 ,87.8 ,2.5,-74.4 ,-34.3 ,-116.9
240270 ,97.7 ,97 ,96.3 ,87.8 ,2.5,-74.7 ,-34.7 ,-117.1
240360 ,97.7 ,97 ,96.3 ,87.8 ,2.5,-74.8 ,-34.9 ,-116.9
240450 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.6 ,-35.2 ,-116.8
240570 ,96.9 ,97 ,96.3 ,87.8 ,1.2,-74.5 ,-35.5 ,-116.8
240660 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.7 ,-35.8 ,-116.7
240750 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.6 ,-35.8 ,-116.3
240870 ,97.7 ,97 ,96.3 ,87.8 ,2.5,-74.5 ,-35.7 ,-116.2
240960 ,97.7 ,97 ,96.3 ,86.9 ,1.2,-74.4 ,-36.0 ,-116.4
241050 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.1 ,-36.1 ,-116.3
241140 ,98.4 ,97 ,96.3 ,87.8 ,1.2,-74.1 ,-36.1 ,-116.2
241260 ,97.7 ,97 ,96.3 ,87.8 ,2.5,-74.2 ,-36.4 ,-116.2
241350 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.2 ,-36.4 ,-116.1
241440 ,97.7 ,97 ,96.3 ,88.6 ,1.2,-74.2 ,-36.5 ,-116.2
241560 ,97.7 ,97 ,96.3 ,87.8 ,2.5,-74.3 ,-36.7 ,-116.2
241650 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.2 ,-36.8 ,-116.2
241740 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.3 ,-37.0 ,-116.2
241860 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.4 ,-37.1 ,-116.1
241950 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.4 ,-37.3 ,-116.2
242040 ,97.7 ,97 ,96.3 ,86.9 ,1.2,-74.4 ,-37.3 ,-116.2
242160 ,97.7 ,97 ,96.3 ,88.6 ,2.5,-74.3 ,-37.4 ,-116.2
242250 ,97.7 ,97 ,96.3 ,87.8 ,2.5,-74.2 ,-37.6 ,-116.2
242340 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.3 ,-37.7 ,-116.3
242460 ,97.7 ,97 ,95.4 ,88.6 ,2.5,-74.3 ,-37.9 ,-116.3
242550 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.2 ,-38.1 ,-116.3
242640 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.2 ,-38.3 ,-116.1
242760 ,97.7 ,97 ,96.3 ,87.8 ,2.5,-74.4 ,-38.3 ,-115.7
242850 ,96.9 ,97 ,96.3 ,87.8 ,2.5,-74.4 ,-38.4 ,-115.6
242940 ,97.7 ,97 ,95.4 ,87.8 ,2.5,-74.4 ,-38.4 ,-115.3
243060 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.5 ,-38.9 ,-115.3
243150 ,97.7 ,97 ,96.3 ,87.8 ,2.5,-74.7 ,-38.5 ,-114.9
243240 ,97.7 ,97 ,97.2 ,87.8 ,2.5,-74.8 ,-38.3 ,-114.7
243360 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.8 ,-39.0 ,-115.1
243450 ,97.7 ,97 ,95.4 ,87.8 ,1.2,-74.7 ,-38.9 ,-115.0
243540 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.6 ,-38.8 ,-114.9
243660 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.7 ,-39.1 ,-115.3
243750 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-75.0 ,-39.0 ,-114.8
243840 ,97.7 ,97 ,95.4 ,87.8 ,1.2,-75.1 ,-39.1 ,-114.8
243960 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.9 ,-39.3 ,-114.7
244050 ,97.7 ,97 ,96.3 ,87.8 ,2.5,-75.1 ,-39.5 ,-114.4
244140 ,97.7 ,97 ,96.3 ,86.9 ,1.2,-75.3 ,-39.5 ,-114.0
244260 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-75.3 ,-39.7 ,-114.0
244350 ,97.7 ,97 ,96.3 ,87.8 ,2.5,-75.1 ,-40.0 ,-114.2
244440 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-75.2 ,-40.1 ,-114.2
244560 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-75.3 ,-40.1 ,-114.2
244650 ,97.7 ,97 ,95.4 ,87.8 ,1.2,-75.1 ,-40.2 ,-114.5
244740 ,97.7 ,97 ,96.3 ,86.9 ,1.2,-74.8 ,-40.3 ,-114.7
244860 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.6 ,-40.4 ,-115.1
244950 ,96.9 ,97 ,96.3 ,86.9 ,1.2,-74.5 ,-40.6 ,-115.1
245040 ,96.9 ,97 ,96.3 ,87.8 ,1.2,-74.4 ,-40.7 ,-115.1
245160 ,97.7 ,97 ,96.3 ,87.8 ,2.5,-74.5 ,-40.8 ,-114.7
245250 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.6 ,-40.9 ,-114.5
245340 ,97.7 ,97 ,96.3 ,88.6 ,2.5,-74.5 ,-41.0 ,-114.4
245460 ,96.9 ,97 ,95.4 ,86.9 ,1.2,-74.3 ,-41.1 ,-114.4
245550 ,98.4 ,97 ,96.3 ,87.8 ,1.2,-74.3 ,-41.2 ,-114.4
245640 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.3 ,-41.3 ,-114.4
245760 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.1 ,-41.6 ,-114.6
245850 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.1 ,-41.6 ,-114.8
245940 ,97.7 ,97 ,95.4 ,87.8 ,2.5,-74.2 ,-41.6 ,-114.9
246040 ,96.9 ,97 ,96.3 ,87.8 ,1.2,-74.2 ,-41.7 ,-114.9
246150 ,97.7 ,97 ,95.4 ,88.6 ,2.5,-74.3 ,-42.0 ,-114.9
246240 ,97.7 ,97 ,95.4 ,86.9 ,1.2,-74.3 ,-42.1 ,-115.0
246330 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.3 ,-42.2 ,-115.1
246450 ,97.7 ,97 ,96.3 ,87.8 ,2.5,-74.3 ,-42.3 ,-115.1
246540 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.4 ,-42.6 ,-115.0
246630 ,98.4 ,97 ,96.3 ,88.6 ,1.2,-74.4 ,-42.8 ,-114.8
246750 ,97.7 ,97 ,95.4 ,87.8 ,2.5,-74.7 ,-43.1 ,-114.5
246840 ,97.7 ,97 ,96.3 ,87.8 ,2.5,-74.7 ,-43.3 ,-114.2
246930 ,97.7 ,97 ,96.3 ,87.8 ,3.8,-74.8 ,-43.3 ,-114.1
247050 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.8 ,-43.3 ,-113.9
247140 ,98.4 ,97 ,95.4 ,87.8 ,1.2,-74.7 ,-43.3 ,-114.0
247230 ,97.7 ,97 ,96.3 ,87.8 ,2.5,-74.7 ,-43.4 ,-114.1
247350 ,97.7 ,97 ,95.4 ,87.8 ,1.2,-74.6 ,-43.6 ,-114.3
247440 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.5 ,-43.9 ,-114.3
247530 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.4 ,-44.1 ,-114.5
247650 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.4 ,-44.4 ,-114.4
247740 ,98.4 ,97 ,95.4 ,87.8 ,1.2,-74.5 ,-44.4 ,-114.4
247830 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.6 ,-44.4 ,-114.4
247950 ,96.9 ,97 ,96.3 ,87.8 ,1.2,-74.5 ,-44.4 ,-114.5
248040 ,97.7 ,97 ,96.3 ,87.8 ,1.2,-74.5 ,-44.4 ,-114.6
248130 ,97.7 ,97 ,96.3 ,86.9 ,1.2,-74.3 ,-44.4 ,-114.6
248250 ,97.7 ,97 ,95.4 ,87.8 ,1.2,-74.5 ,-44.5 ,-114.6
248340 ,97.7 ,97 ,96.3 ,86.9 ,1.2,-74.2 ,-44.6 ,-114.8
248430 ,97.7 ,97 ,96.3 ,87.8 ,2.5,-74.0 ,-44.7 ,-114.8
248550 ,98.4 ,97 ,96.3 ,87.8 ,1.2,-74.2 ,-44.9 ,-114.9
248640 ,97.7 ,97 ,95.4 ,87.8 ,1.2,-74.2 ,-45.2 ,-114.9
248730 ,98.4 ,97 ,96.3 ,87.8 ,1.2,-74.2 ,-45.3 ,-114.8
