TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
207000 ,95.9 ,94 ,28.3 ,91.3 ,90.4,-99.5 ,-1.5 ,15.1
207120 ,95.1 ,94 ,29.2 ,90.3 ,91.4,-99.4 ,-1.5 ,15.2
207210 ,95.9 ,94 ,28.3 ,90.3 ,90.4,-99.4 ,-1.5 ,15.1
207300 ,95.9 ,94 ,28.3 ,91.3 ,90.4,-99.3 ,-1.4 ,15.1
207420 ,95.9 ,94 ,28.3 ,90.3 ,91.4,-99.3 ,-1.7 ,15.5
207510 ,95.9 ,94 ,28.3 ,90.3 ,90.4,-99.2 ,-1.5 ,15.9
207600 ,95.1 ,95 ,28.3 ,90.3 ,91.4,-99.2 ,-1.6 ,16.1
207720 ,95.9 ,94 ,28.3 ,90.3 ,90.4,-99.2 ,-2.0 ,16.3
207810 ,95.9 ,94 ,28.3 ,90.3 ,90.4,-99.0 ,-1.7 ,16.2
207900 ,95.9 ,94 ,28.3 ,90.3 ,90.4,-98.9 ,-1.9 ,16.2
208020 ,95.9 ,94 ,27.3 ,91.3 ,90.4,-98.8 ,-1.7 ,16.6
208110 ,96.7 ,94 ,27.3 ,91.3 ,90.4,-98.7 ,-1.9 ,16.5
208200 ,95.9 ,95 ,28.3 ,89.4 ,89.3,-98.6 ,-2.1 ,16.7
208320 ,95.1 ,94 ,28.3 ,90.3 ,90.4,-98.3 ,-1.7 ,16.7
208410 ,95.9 ,94 ,28.3 ,90.3 ,90.4,-98.3 ,-1.9 ,16.7
208500 ,95.9 ,94 ,27.3 ,89.4 ,90.4,-98.2 ,-1.8 ,16.7
208620 ,95.9 ,94 ,28.3 ,90.3 ,90.4,-98.2 ,-2.1 ,16.6
208710 ,95.1 ,94 ,28.3 ,90.3 ,90.4,-98.2 ,-2.1 ,16.6
208800 ,95.9 ,94 ,28.3 ,90.3 ,90.4,-98.2 ,-2.1 ,16.6
208920 ,96.7 ,94 ,28.3 ,91.3 ,91.4,-98.1 ,-2.0 ,16.9
209010 ,95.9 ,94 ,27.3 ,90.3 ,90.4,-98.1 ,-2.0 ,17.1
