TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
337270 ,97.5 ,97 ,96.2 ,89.4 ,32.9,-44.4 ,19.5 ,136.4
337390 ,97.5 ,98 ,96.2 ,89.4 ,32.9,-44.5 ,19.3 ,136.3
337480 ,97.5 ,98 ,97.1 ,90.3 ,32.9,-44.3 ,19.2 ,136.4
337570 ,96.7 ,98 ,97.1 ,89.4 ,32.9,-44.4 ,19.4 ,136.4
337690 ,96.7 ,98 ,97.1 ,89.4 ,32.9,-44.3 ,19.4 ,136.4
337780 ,97.5 ,98 ,97.1 ,90.3 ,31.9,-44.2 ,19.6 ,136.2
337870 ,97.5 ,98 ,96.2 ,90.3 ,32.9,-44.1 ,19.7 ,136.0
337990 ,97.5 ,98 ,97.1 ,90.3 ,32.9,-44.4 ,19.9 ,135.9
338080 ,97.5 ,98 ,96.2 ,89.4 ,32.9,-44.4 ,20.0 ,135.7
338170 ,96.7 ,98 ,97.1 ,90.3 ,31.9,-44.3 ,20.1 ,135.7
338290 ,96.7 ,98 ,97.1 ,90.3 ,32.9,-43.5 ,20.3 ,135.8
338380 ,97.5 ,97 ,97.1 ,90.3 ,32.9,-43.2 ,20.2 ,135.9
338470 ,97.5 ,98 ,97.1 ,90.3 ,31.9,-42.9 ,19.9 ,136.2
338590 ,97.5 ,98 ,97.1 ,89.4 ,32.9,-43.2 ,20.3 ,135.6
338680 ,96.7 ,98 ,97.1 ,90.3 ,31.9,-43.4 ,19.8 ,134.9
338770 ,96.7 ,98 ,97.1 ,90.3 ,32.9,-42.7 ,19.5 ,135.0
338890 ,97.5 ,98 ,96.2 ,89.4 ,31.9,-42.5 ,20.1 ,134.5
338980 ,96.7 ,98 ,97.1 ,90.3 ,32.9,-41.9 ,19.4 ,134.5
339070 ,97.5 ,99 ,96.2 ,89.4 ,32.9,-40.8 ,18.9 ,134.6
339190 ,97.5 ,98 ,96.2 ,90.3 ,31.9,-40.0 ,20.2 ,135.9
339280 ,97.5 ,98 ,97.1 ,90.3 ,32.9,-43.6 ,22.7 ,135.6
339370 ,96.7 ,98 ,96.2 ,90.3 ,32.9,-43.7 ,20.7 ,134.5
339490 ,96.7 ,98 ,97.1 ,90.3 ,32.9,-42.9 ,17.6 ,134.7
339580 ,97.5 ,98 ,97.1 ,90.3 ,32.9,-41.2 ,14.0 ,135.8
339670 ,97.5 ,98 ,97.1 ,90.3 ,31.9,-40.2 ,12.1 ,136.8
339790 ,97.5 ,99 ,97.1 ,89.4 ,31.9,-39.0 ,12.9 ,137.5
339880 ,97.5 ,98 ,96.2 ,90.3 ,32.9,-39.4 ,16.0 ,137.7
339970 ,97.5 ,98 ,97.1 ,89.4 ,31.9,-39.4 ,16.8 ,138.0
340090 ,97.5 ,98 ,97.1 ,89.4 ,31.9,-39.0 ,16.1 ,137.9
340180 ,97.5 ,98 ,96.2 ,90.3 ,31.9,-38.9 ,15.6 ,137.7
340270 ,97.5 ,97 ,96.2 ,90.3 ,32.9,-39.2 ,15.6 ,137.3
340390 ,97.5 ,99 ,96.2 ,90.3 ,31.9,-38.6 ,14.6 ,138.1
340480 ,96.7 ,98 ,96.2 ,90.3 ,31.9,-38.6 ,14.9 ,138.2
340570 ,97.5 ,98 ,97.1 ,90.3 ,31.9,-38.4 ,15.3 ,138.2
340690 ,97.5 ,98 ,97.1 ,90.3 ,32.9,-38.9 ,16.8 ,138.0
340780 ,97.5 ,98 ,96.2 ,90.3 ,31.9,-39.8 ,17.8 ,137.6
340870 ,97.5 ,99 ,97.1 ,89.4 ,31.9,-40.0 ,18.6 ,136.7
340990 ,96.7 ,98 ,97.1 ,90.3 ,30.8,-40.6 ,21.7 ,134.8
341080 ,97.5 ,98 ,96.2 ,90.3 ,31.9,-41.5 ,23.6 ,133.4
341170 ,97.5 ,98 ,97.1 ,90.3 ,31.9,-42.8 ,26.1 ,132.0
341290 ,96.7 ,98 ,96.2 ,89.4 ,31.9,-41.0 ,23.7 ,131.2
341380 ,96.7 ,98 ,97.1 ,90.3 ,31.9,-38.7 ,22.9 ,132.9
341470 ,97.5 ,98 ,97.1 ,89.4 ,31.9,-39.6 ,23.3 ,133.7
341560 ,97.5 ,98 ,97.1 ,90.3 ,31.9,-39.0 ,22.7 ,133.9
341680 ,97.5 ,98 ,97.1 ,90.3 ,30.8,-39.4 ,22.9 ,133.3
341770 ,97.5 ,97 ,97.1 ,90.3 ,31.9,-40.2 ,23.1 ,133.0
341860 ,97.5 ,98 ,96.2 ,90.3 ,31.9,-40.7 ,23.4 ,133.0
341980 ,97.5 ,98 ,96.2 ,90.3 ,31.9,-40.7 ,23.8 ,133.1
342070 ,96.7 ,98 ,97.1 ,89.4 ,32.9,-40.7 ,23.5 ,133.1
342160 ,97.5 ,98 ,97.1 ,90.3 ,32.9,-41.1 ,23.2 ,133.4
342280 ,95.9 ,97 ,97.1 ,89.4 ,31.9,-41.2 ,23.3 ,133.1
342370 ,97.5 ,98 ,97.1 ,89.4 ,32.9,-41.2 ,23.6 ,132.8
342460 ,97.5 ,98 ,96.2 ,90.3 ,32.9,-41.1 ,23.8 ,132.6
342580 ,97.5 ,98 ,96.2 ,89.4 ,32.9,-41.0 ,23.3 ,132.0
342670 ,96.7 ,98 ,97.1 ,90.3 ,31.9,-40.9 ,23.5 ,131.9
342760 ,97.5 ,98 ,96.2 ,89.4 ,31.9,-40.9 ,23.8 ,131.9
342880 ,96.7 ,98 ,96.2 ,90.3 ,32.9,-41.0 ,23.6 ,132.2
342970 ,96.7 ,98 ,97.1 ,90.3 ,32.9,-41.0 ,24.2 ,132.6
343060 ,96.7 ,98 ,97.1 ,89.4 ,32.9,-41.8 ,25.1 ,132.0
343180 ,96.7 ,98 ,97.1 ,89.4 ,32.9,-42.2 ,24.9 ,131.5
343270 ,97.5 ,98 ,96.2 ,89.4 ,34.0,-42.1 ,24.7 ,130.8
343360 ,96.7 ,97 ,97.1 ,90.3 ,31.9,-41.5 ,24.7 ,130.5
343480 ,97.5 ,98 ,97.1 ,89.4 ,32.9,-42.0 ,24.6 ,130.4
343570 ,96.7 ,98 ,97.1 ,89.4 ,31.9,-41.6 ,23.7 ,130.9
343660 ,97.5 ,98 ,97.1 ,90.3 ,31.9,-43.3 ,23.7 ,130.6
343780 ,96.7 ,98 ,97.1 ,90.3 ,32.9,-42.7 ,22.2 ,130.8
343870 ,97.5 ,98 ,96.2 ,89.4 ,32.9,-41.7 ,20.5 ,131.1
343960 ,96.7 ,98 ,97.1 ,90.3 ,32.9,-39.4 ,18.4 ,132.4
344050 ,96.7 ,98 ,96.2 ,89.4 ,31.9,-37.3 ,17.8 ,132.9
344170 ,96.7 ,98 ,96.2 ,89.4 ,31.9,-35.4 ,16.8 ,134.1
344260 ,96.7 ,98 ,97.1 ,90.3 ,31.9,-34.0 ,18.3 ,134.8
344350 ,97.5 ,98 ,97.1 ,89.4 ,31.9,-34.1 ,21.3 ,135.5
344470 ,96.7 ,98 ,97.1 ,90.3 ,31.9,-33.8 ,24.3 ,136.0
344560 ,96.7 ,98 ,96.2 ,89.4 ,31.9,-33.6 ,26.7 ,135.4
344650 ,97.5 ,97 ,96.2 ,90.3 ,32.9,-34.2 ,28.9 ,135.7
344770 ,95.9 ,98 ,97.1 ,90.3 ,32.9,-32.1 ,25.3 ,134.0
344860 ,96.7 ,98 ,96.2 ,89.4 ,32.9,-34.4 ,25.5 ,132.6
344950 ,96.7 ,98 ,97.1 ,89.4 ,34.0,-35.3 ,27.1 ,132.3
345070 ,96.7 ,98 ,97.1 ,90.3 ,32.9,-34.6 ,27.6 ,132.0
345160 ,97.5 ,97 ,96.2 ,89.4 ,34.0,-34.2 ,27.3 ,131.9
345250 ,97.5 ,98 ,97.1 ,90.3 ,34.0,-34.2 ,26.6 ,131.8
345370 ,97.5 ,98 ,96.2 ,89.4 ,32.9,-34.3 ,26.1 ,131.5
345460 ,96.7 ,98 ,97.1 ,89.4 ,32.9,-34.4 ,26.1 ,131.3
345550 ,97.5 ,99 ,97.1 ,89.4 ,32.9,-34.9 ,26.4 ,131.4
345670 ,97.5 ,98 ,96.2 ,90.3 ,32.9,-34.5 ,26.0 ,131.6
345760 ,97.5 ,98 ,96.2 ,90.3 ,34.0,-34.5 ,26.1 ,131.5
345850 ,97.5 ,98 ,97.1 ,89.4 ,32.9,-34.6 ,26.1 ,131.2
345970 ,96.7 ,98 ,97.1 ,90.3 ,32.9,-34.9 ,25.8 ,130.4
346060 ,97.5 ,98 ,96.2 ,90.3 ,34.0,-35.0 ,25.9 ,130.4
346150 ,97.5 ,98 ,95.2 ,89.4 ,32.9,-35.2 ,26.3 ,131.1
346270 ,97.5 ,98 ,97.1 ,90.3 ,32.9,-36.5 ,26.1 ,130.1
346360 ,97.5 ,98 ,97.1 ,89.4 ,34.0,-37.6 ,26.8 ,128.7
346450 ,96.7 ,98 ,97.1 ,90.3 ,32.9,-37.4 ,27.4 ,128.8
346570 ,97.5 ,98 ,97.1 ,90.3 ,34.0,-37.4 ,26.6 ,129.7
346660 ,96.7 ,98 ,96.2 ,89.4 ,32.9,-37.3 ,25.6 ,130.0
346750 ,96.7 ,97 ,97.1 ,89.4 ,32.9,-37.1 ,25.8 ,130.5
346870 ,97.5 ,97 ,97.1 ,90.3 ,34.0,-32.4 ,23.5 ,129.0
346960 ,97.5 ,98 ,96.2 ,89.4 ,32.9,-30.9 ,21.3 ,129.3
347050 ,96.7 ,97 ,97.1 ,90.3 ,34.0,-32.5 ,22.9 ,129.6
