TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
306700 ,92.7 ,95 ,42.8 ,84.1 ,32.2,7.9 ,30.7 ,-148.1
306820 ,93.5 ,96 ,40.0 ,82.9 ,33.8,7.8 ,31.1 ,-147.0
306910 ,92.7 ,96 ,40.0 ,85.3 ,33.8,8.1 ,31.4 ,-145.4
307000 ,92.7 ,96 ,40.9 ,82.9 ,33.8,9.1 ,31.2 ,-145.3
307120 ,93.5 ,96 ,40.0 ,82.9 ,32.2,10.1 ,30.0 ,-147.1
307210 ,92.7 ,96 ,40.9 ,82.9 ,35.4,7.5 ,30.3 ,-149.6
307300 ,92.7 ,97 ,40.9 ,81.7 ,33.8,7.6 ,30.2 ,-148.6
307420 ,92.7 ,97 ,40.9 ,84.1 ,33.8,7.1 ,29.5 ,-145.4
307540 ,91.9 ,96 ,42.8 ,84.1 ,33.8,7.4 ,29.7 ,-145.3
307660 ,92.7 ,96 ,40.9 ,82.9 ,33.8,10.9 ,28.9 ,-145.7
307810 ,93.5 ,97 ,41.9 ,81.7 ,32.2,11.2 ,28.5 ,-148.0
307930 ,91.9 ,96 ,40.9 ,82.9 ,32.2,9.2 ,28.8 ,-144.8
308020 ,92.7 ,95 ,41.9 ,82.9 ,35.4,9.8 ,29.7 ,-143.1
308110 ,92.7 ,96 ,40.9 ,84.1 ,32.2,10.7 ,30.3 ,-143.3
308230 ,92.7 ,95 ,41.9 ,82.9 ,33.8,10.5 ,29.1 ,-146.7
308320 ,93.5 ,97 ,40.9 ,81.7 ,33.8,8.6 ,28.5 ,-149.3
308410 ,92.7 ,95 ,40.9 ,84.1 ,33.8,7.4 ,27.2 ,-147.6
308530 ,92.7 ,96 ,40.0 ,84.1 ,35.4,6.6 ,28.9 ,-144.9
308620 ,93.5 ,97 ,40.0 ,82.9 ,32.2,7.5 ,30.1 ,-145.4
308710 ,93.5 ,97 ,40.0 ,82.9 ,32.2,7.3 ,30.2 ,-146.3
308830 ,92.7 ,96 ,41.9 ,85.3 ,32.2,7.6 ,30.1 ,-147.3
308920 ,91.9 ,96 ,40.9 ,84.1 ,32.2,7.8 ,30.3 ,-147.7
309010 ,92.7 ,96 ,40.9 ,82.9 ,33.8,8.5 ,30.9 ,-148.4
309130 ,93.5 ,96 ,40.0 ,82.9 ,32.2,9.1 ,31.1 ,-147.6
309220 ,92.7 ,95 ,40.9 ,81.7 ,33.8,9.8 ,31.1 ,-145.8
309310 ,91.9 ,96 ,40.9 ,82.9 ,33.8,9.7 ,30.9 ,-145.1
309430 ,92.7 ,96 ,40.9 ,84.1 ,32.2,8.4 ,30.8 ,-145.1
309520 ,93.5 ,96 ,40.0 ,82.9 ,32.2,10.5 ,32.4 ,-144.5
309640 ,93.5 ,96 ,40.0 ,82.9 ,32.2,11.9 ,32.9 ,-143.8
309730 ,91.9 ,95 ,40.9 ,82.9 ,30.6,10.5 ,33.2 ,-144.9
309820 ,93.5 ,96 ,41.9 ,82.9 ,27.4,10.6 ,32.5 ,-144.1
309940 ,93.5 ,96 ,41.9 ,82.9 ,30.6,11.2 ,32.5 ,-146.8
310030 ,93.5 ,96 ,41.9 ,82.9 ,29.0,10.0 ,32.5 ,-146.9
310120 ,92.7 ,95 ,40.9 ,84.1 ,32.2,9.8 ,33.0 ,-145.2
310240 ,92.7 ,95 ,41.9 ,82.9 ,32.2,11.2 ,33.0 ,-143.2
310330 ,92.7 ,96 ,40.9 ,84.1 ,30.6,10.3 ,32.5 ,-144.2
310420 ,94.3 ,96 ,40.0 ,84.1 ,30.6,12.2 ,33.0 ,-145.7
310540 ,91.9 ,96 ,40.9 ,82.9 ,29.0,10.2 ,33.0 ,-146.1
310630 ,92.7 ,96 ,40.9 ,84.1 ,29.0,8.1 ,33.8 ,-144.9
310720 ,92.7 ,96 ,40.9 ,84.1 ,30.6,6.9 ,34.2 ,-144.0
310840 ,92.7 ,97 ,40.0 ,82.9 ,30.6,5.1 ,33.1 ,-143.7
310930 ,93.5 ,97 ,40.0 ,81.7 ,30.6,4.0 ,32.6 ,-144.4
311020 ,92.7 ,96 ,40.9 ,82.9 ,29.0,3.2 ,32.7 ,-146.6
311140 ,93.5 ,96 ,40.9 ,82.9 ,29.0,5.2 ,33.8 ,-146.8
311230 ,92.7 ,96 ,40.9 ,84.1 ,30.6,6.4 ,33.7 ,-146.5
311320 ,93.5 ,96 ,40.9 ,84.1 ,27.4,6.0 ,34.2 ,-146.5
311440 ,92.7 ,96 ,41.9 ,85.3 ,30.6,6.5 ,34.8 ,-146.1
311530 ,92.7 ,96 ,41.9 ,84.1 ,29.0,7.1 ,35.0 ,-145.6
311600 ,92.7 ,96 ,40.9 ,84.1 ,30.6,7.5 ,34.7 ,-145.4
311740 ,92.7 ,96 ,40.0 ,84.1 ,30.6,7.8 ,34.7 ,-145.4
311830 ,92.7 ,96 ,40.9 ,82.9 ,29.0,7.6 ,34.7 ,-145.8
311920 ,92.7 ,95 ,41.9 ,85.3 ,30.6,7.2 ,34.8 ,-146.2
312040 ,92.7 ,96 ,40.0 ,84.1 ,29.0,6.4 ,34.4 ,-146.0
312130 ,93.5 ,97 ,37.1 ,82.9 ,32.2,6.8 ,36.6 ,-144.5
312220 ,93.5 ,96 ,43.8 ,84.1 ,35.4,9.7 ,39.4 ,-143.7
312310 ,92.7 ,95 ,49.5 ,84.1 ,33.8,10.2 ,39.1 ,-144.4
312430 ,93.5 ,96 ,64.7 ,84.1 ,35.4,11.9 ,37.4 ,-145.0
312520 ,91.9 ,95 ,67.6 ,85.3 ,35.4,14.6 ,37.4 ,-144.4
312610 ,92.7 ,95 ,70.4 ,84.1 ,33.8,14.7 ,37.1 ,-144.9
312730 ,93.5 ,96 ,41.9 ,82.9 ,32.2,12.6 ,36.1 ,-144.5
312820 ,92.7 ,96 ,45.7 ,81.7 ,46.7,7.3 ,33.2 ,-144.5
312910 ,91.1 ,95 ,46.6 ,78.0 ,43.5,4.6 ,30.2 ,-146.7
313030 ,91.1 ,96 ,47.6 ,78.0 ,40.3,1.4 ,29.5 ,-147.9
313120 ,92.7 ,96 ,45.7 ,78.0 ,37.0,0.7 ,30.3 ,-147.8
313210 ,91.9 ,96 ,45.7 ,76.8 ,37.0,0.7 ,30.7 ,-147.5
313330 ,93.5 ,97 ,44.7 ,78.0 ,33.8,1.3 ,31.0 ,-147.7
313420 ,93.5 ,96 ,44.7 ,76.8 ,32.2,2.3 ,31.2 ,-147.6
313510 ,91.9 ,96 ,45.7 ,78.0 ,33.8,2.6 ,31.2 ,-147.5
313630 ,92.7 ,95 ,44.7 ,79.2 ,35.4,2.4 ,31.4 ,-147.3
313720 ,92.7 ,95 ,43.8 ,79.2 ,35.4,2.7 ,31.7 ,-147.0
313810 ,92.7 ,96 ,43.8 ,79.2 ,35.4,3.1 ,31.8 ,-146.9
313930 ,92.7 ,96 ,42.8 ,78.0 ,33.8,2.7 ,31.7 ,-146.9
314020 ,92.7 ,95 ,42.8 ,78.0 ,35.4,2.5 ,31.7 ,-147.1
314110 ,91.9 ,97 ,43.8 ,79.2 ,32.2,2.4 ,31.6 ,-147.4
314230 ,91.9 ,94 ,43.8 ,79.2 ,33.8,2.1 ,31.1 ,-147.8
314320 ,91.9 ,95 ,42.8 ,79.2 ,33.8,2.3 ,31.0 ,-147.7
314410 ,91.9 ,95 ,43.8 ,78.0 ,33.8,2.5 ,31.2 ,-147.5
314530 ,91.9 ,97 ,42.8 ,78.0 ,33.8,2.5 ,31.6 ,-147.1
314620 ,92.7 ,96 ,44.7 ,79.2 ,32.2,1.8 ,31.4 ,-147.0
314710 ,92.7 ,95 ,43.8 ,79.2 ,32.2,1.5 ,31.2 ,-147.0
314830 ,91.9 ,96 ,42.8 ,79.2 ,35.4,1.2 ,30.8 ,-147.2
314920 ,92.7 ,95 ,44.7 ,80.4 ,33.8,1.5 ,30.3 ,-147.3
315010 ,91.9 ,95 ,43.8 ,78.0 ,35.4,2.2 ,29.9 ,-147.6
315130 ,91.1 ,95 ,42.8 ,79.2 ,35.4,2.5 ,29.1 ,-147.6
