TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
352530 ,95.2 ,97 ,95.8 ,14.5 ,96.2,-30.9 ,26.4 ,71.0
352650 ,95.2 ,98 ,96.8 ,14.5 ,95.0,-30.9 ,26.5 ,71.0
352740 ,94.4 ,98 ,95.8 ,13.5 ,96.2,-30.8 ,26.5 ,71.0
352830 ,94.4 ,97 ,95.8 ,14.5 ,96.2,-30.8 ,26.5 ,71.0
352950 ,94.4 ,97 ,96.8 ,14.5 ,96.2,-30.8 ,26.5 ,71.0
353040 ,94.4 ,97 ,95.8 ,13.5 ,96.2,-30.8 ,26.4 ,71.0
353130 ,94.4 ,98 ,96.8 ,14.5 ,95.0,-30.8 ,26.4 ,71.0
353250 ,94.4 ,97 ,95.8 ,13.5 ,96.2,-30.8 ,26.3 ,71.0
353340 ,94.4 ,97 ,95.8 ,14.5 ,96.2,-30.8 ,26.4 ,71.0
353430 ,94.4 ,98 ,95.8 ,13.5 ,96.2,-30.8 ,26.4 ,71.0
353550 ,94.4 ,98 ,95.8 ,13.5 ,95.0,-30.8 ,26.3 ,71.0
353640 ,94.4 ,98 ,96.8 ,13.5 ,95.0,-30.8 ,26.2 ,71.0
353730 ,94.4 ,97 ,96.8 ,13.5 ,95.0,-30.7 ,26.2 ,71.1
353850 ,94.4 ,97 ,95.8 ,13.5 ,96.2,-30.7 ,26.3 ,71.1
353940 ,93.6 ,97 ,96.8 ,13.5 ,96.2,-30.6 ,26.3 ,71.1
354030 ,94.4 ,97 ,96.8 ,13.5 ,96.2,-30.7 ,26.4 ,71.0
354150 ,94.4 ,97 ,95.8 ,12.5 ,96.2,-30.7 ,26.3 ,71.1
354240 ,95.2 ,97 ,95.8 ,13.5 ,96.2,-30.7 ,26.2 ,71.1
354330 ,95.2 ,98 ,95.8 ,12.5 ,96.2,-30.7 ,26.3 ,71.1
354450 ,95.2 ,97 ,95.8 ,13.5 ,95.0,-30.7 ,26.2 ,71.0
354540 ,94.4 ,97 ,95.8 ,13.5 ,95.0,-30.7 ,26.2 ,71.0
354630 ,94.4 ,98 ,95.8 ,12.5 ,96.2,-30.7 ,26.2 ,71.0
354750 ,95.2 ,97 ,96.8 ,14.5 ,95.0,-30.7 ,26.3 ,70.9
354840 ,94.4 ,98 ,96.8 ,12.5 ,96.2,-30.7 ,26.3 ,70.9
354930 ,95.2 ,97 ,95.8 ,13.5 ,96.2,-30.6 ,26.4 ,70.9
355050 ,95.2 ,97 ,95.8 ,13.5 ,96.2,-30.7 ,26.4 ,71.0
355140 ,95.2 ,98 ,94.7 ,13.5 ,96.2,-30.6 ,26.4 ,71.1
355260 ,94.4 ,98 ,95.8 ,13.5 ,95.0,-30.6 ,26.4 ,71.0
355350 ,94.4 ,97 ,95.8 ,13.5 ,96.2,-30.6 ,26.4 ,70.9
355440 ,94.4 ,97 ,95.8 ,13.5 ,96.2,-30.6 ,26.4 ,71.0
355560 ,95.2 ,97 ,95.8 ,13.5 ,96.2,-30.6 ,26.4 ,71.0
355650 ,94.4 ,97 ,96.8 ,12.5 ,96.2,-30.6 ,26.4 ,71.0
355740 ,94.4 ,98 ,96.8 ,13.5 ,95.0,-30.5 ,26.3 ,71.1
355860 ,95.2 ,97 ,95.8 ,13.5 ,96.2,-30.5 ,26.3 ,71.1
355950 ,95.2 ,97 ,95.8 ,13.5 ,95.0,-30.5 ,26.3 ,71.2
356040 ,94.4 ,98 ,95.8 ,12.5 ,95.0,-30.6 ,26.3 ,71.2
356160 ,95.2 ,98 ,95.8 ,12.5 ,96.2,-30.6 ,26.2 ,71.2
356250 ,95.2 ,98 ,95.8 ,12.5 ,95.0,-30.6 ,25.9 ,71.2
356340 ,95.2 ,97 ,95.8 ,12.5 ,95.0,-30.6 ,25.9 ,71.1
356460 ,94.4 ,97 ,95.8 ,13.5 ,96.2,-30.5 ,25.8 ,71.3
356550 ,94.4 ,98 ,95.8 ,12.5 ,96.2,-30.5 ,25.8 ,71.3
356640 ,94.4 ,97 ,95.8 ,12.5 ,96.2,-30.5 ,25.8 ,71.2
356760 ,95.2 ,97 ,95.8 ,13.5 ,96.2,-30.4 ,25.8 ,71.2
356850 ,94.4 ,97 ,96.8 ,12.5 ,95.0,-30.4 ,25.8 ,71.2
356940 ,95.2 ,98 ,95.8 ,12.5 ,95.0,-30.3 ,25.8 ,71.2
357060 ,94.4 ,97 ,95.8 ,12.5 ,96.2,-30.4 ,25.7 ,71.2
357150 ,94.4 ,97 ,95.8 ,13.5 ,96.2,-30.4 ,25.7 ,71.2
357240 ,94.4 ,97 ,96.8 ,13.5 ,95.0,-30.4 ,25.6 ,71.2
357360 ,94.4 ,97 ,94.7 ,13.5 ,96.2,-30.5 ,25.5 ,71.1
357450 ,94.4 ,97 ,96.8 ,12.5 ,96.2,-30.5 ,25.3 ,71.1
357540 ,94.4 ,97 ,95.8 ,12.5 ,96.2,-30.5 ,25.4 ,71.1
357660 ,94.4 ,97 ,95.8 ,12.5 ,96.2,-30.7 ,25.2 ,70.9
357750 ,94.4 ,97 ,95.8 ,13.5 ,95.0,-30.7 ,25.1 ,71.0
357840 ,94.4 ,97 ,95.8 ,13.5 ,95.0,-30.8 ,25.2 ,71.0
357960 ,95.2 ,98 ,95.8 ,12.5 ,96.2,-30.8 ,25.2 ,71.0
358050 ,94.4 ,98 ,94.7 ,13.5 ,96.2,-30.9 ,25.0 ,70.9
358140 ,94.4 ,97 ,96.8 ,12.5 ,96.2,-30.9 ,25.0 ,71.0
358260 ,94.4 ,97 ,96.8 ,13.5 ,95.0,-30.9 ,25.2 ,71.1
358350 ,94.4 ,97 ,95.8 ,12.5 ,95.0,-30.8 ,25.3 ,71.1
358440 ,94.4 ,97 ,95.8 ,13.5 ,95.0,-30.8 ,25.2 ,71.2
358560 ,94.4 ,98 ,95.8 ,13.5 ,95.0,-30.8 ,25.2 ,71.2
358650 ,95.2 ,98 ,95.8 ,12.5 ,95.0,-30.7 ,25.2 ,71.3
358740 ,95.2 ,98 ,94.7 ,12.5 ,96.2,-30.7 ,25.3 ,71.4
358860 ,95.2 ,98 ,95.8 ,13.5 ,95.0,-30.6 ,25.3 ,71.5
358950 ,94.4 ,97 ,96.8 ,12.5 ,95.0,-30.6 ,25.3 ,71.5
359040 ,95.2 ,97 ,95.8 ,12.5 ,96.2,-30.6 ,25.2 ,71.5
359160 ,94.4 ,97 ,95.8 ,12.5 ,96.2,-30.6 ,25.3 ,71.5
359250 ,95.2 ,97 ,95.8 ,12.5 ,95.0,-30.5 ,25.3 ,71.6
359340 ,95.2 ,97 ,95.8 ,12.5 ,96.2,-30.5 ,25.3 ,71.6
359460 ,94.4 ,98 ,95.8 ,12.5 ,96.2,-30.6 ,25.1 ,71.6
359550 ,94.4 ,97 ,96.8 ,13.5 ,95.0,-30.6 ,25.1 ,71.6
359640 ,94.4 ,97 ,96.8 ,13.5 ,95.0,-30.6 ,25.2 ,71.6
359760 ,95.2 ,97 ,95.8 ,12.5 ,96.2,-30.6 ,25.3 ,71.5
359850 ,95.2 ,97 ,95.8 ,13.5 ,95.0,-30.6 ,25.3 ,71.5
359970 ,95.2 ,97 ,95.8 ,12.5 ,96.2,-30.6 ,25.4 ,71.5
360060 ,95.2 ,98 ,95.8 ,12.5 ,95.0,-30.6 ,25.5 ,71.6
360150 ,95.2 ,97 ,95.8 ,12.5 ,96.2,-30.6 ,25.5 ,71.5
360270 ,95.2 ,97 ,95.8 ,12.5 ,95.0,-30.7 ,25.4 ,71.4
360360 ,94.4 ,97 ,95.8 ,12.5 ,95.0,-30.6 ,25.5 ,71.5
360450 ,94.4 ,97 ,95.8 ,11.4 ,96.2,-30.7 ,25.5 ,71.4
360570 ,94.4 ,96 ,95.8 ,12.5 ,96.2,-30.7 ,25.2 ,71.2
360660 ,95.2 ,97 ,95.8 ,12.5 ,96.2,-30.7 ,25.2 ,71.1
360750 ,95.2 ,97 ,95.8 ,12.5 ,96.2,-30.8 ,25.3 ,70.9
360870 ,94.4 ,97 ,95.8 ,12.5 ,95.0,-30.9 ,25.3 ,70.8
360960 ,94.4 ,97 ,95.8 ,13.5 ,96.2,-30.9 ,25.0 ,70.8
361050 ,94.4 ,97 ,95.8 ,12.5 ,95.0,-31.0 ,24.7 ,70.7
361170 ,94.4 ,97 ,94.7 ,13.5 ,96.2,-31.0 ,24.5 ,70.5
361260 ,94.4 ,97 ,94.7 ,12.5 ,96.2,-31.1 ,24.3 ,70.4
361350 ,94.4 ,97 ,95.8 ,12.5 ,96.2,-31.1 ,24.1 ,70.3
361470 ,94.4 ,97 ,95.8 ,12.5 ,95.0,-31.1 ,24.0 ,70.2
361560 ,94.4 ,97 ,95.8 ,12.5 ,96.2,-31.2 ,23.7 ,70.1
361650 ,95.2 ,97 ,95.8 ,12.5 ,96.2,-31.2 ,23.5 ,70.1
361770 ,95.2 ,97 ,95.8 ,12.5 ,95.0,-31.3 ,23.2 ,70.0
361860 ,95.2 ,97 ,94.7 ,12.5 ,96.2,-31.4 ,23.0 ,69.8
361950 ,95.2 ,97 ,95.8 ,12.5 ,96.2,-31.4 ,22.9 ,69.8
362070 ,94.4 ,97 ,95.8 ,13.5 ,96.2,-31.3 ,23.4 ,69.9
