TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
463400 ,94.4 ,95 ,93.7 ,83.3 ,59.2,-24.3 ,1.6 ,98.4
463520 ,94.4 ,96 ,93.7 ,83.3 ,59.2,-24.3 ,1.5 ,98.5
463610 ,94.4 ,95 ,93.7 ,82.2 ,59.2,-24.3 ,1.5 ,98.5
463700 ,94.4 ,96 ,93.7 ,82.2 ,58.0,-24.3 ,1.5 ,98.6
463820 ,94.4 ,96 ,93.7 ,83.3 ,59.2,-24.3 ,1.4 ,98.5
463910 ,94.4 ,95 ,93.7 ,83.3 ,58.0,-24.3 ,1.5 ,98.5
464000 ,94.4 ,95 ,92.7 ,83.3 ,58.0,-24.3 ,1.5 ,98.6
464120 ,94.4 ,96 ,93.7 ,82.2 ,58.0,-24.3 ,1.4 ,98.5
464210 ,94.4 ,96 ,92.7 ,82.2 ,58.0,-24.3 ,1.4 ,98.6
464300 ,94.4 ,95 ,92.7 ,83.3 ,58.0,-24.4 ,1.2 ,98.5
464420 ,94.4 ,95 ,93.7 ,83.3 ,59.2,-24.4 ,1.2 ,98.5
464510 ,94.4 ,95 ,93.7 ,83.3 ,58.0,-24.4 ,1.1 ,98.5
464600 ,94.4 ,95 ,93.7 ,82.2 ,58.0,-24.4 ,1.0 ,98.5
464720 ,94.4 ,95 ,93.7 ,83.3 ,58.0,-24.5 ,1.0 ,98.6
464810 ,94.4 ,95 ,93.7 ,83.3 ,58.0,-24.5 ,1.0 ,98.6
464960 ,94.4 ,96 ,93.7 ,83.3 ,56.7,-24.5 ,0.9 ,98.6
465050 ,94.4 ,95 ,93.7 ,83.3 ,59.2,-24.5 ,0.8 ,98.5
465170 ,94.4 ,95 ,93.7 ,83.3 ,58.0,-24.5 ,0.9 ,98.6
465260 ,94.4 ,96 ,93.7 ,82.2 ,58.0,-24.5 ,0.9 ,98.7
465350 ,94.4 ,95 ,93.7 ,82.2 ,56.7,-24.5 ,0.9 ,98.7
465470 ,94.4 ,95 ,93.7 ,82.2 ,58.0,-24.5 ,1.0 ,98.7
465560 ,94.4 ,95 ,92.7 ,83.3 ,58.0,-24.5 ,1.0 ,98.7
465680 ,94.4 ,95 ,93.7 ,83.3 ,58.0,-24.6 ,0.9 ,98.7
465770 ,94.4 ,95 ,93.7 ,83.3 ,58.0,-24.6 ,0.9 ,98.7
465860 ,94.4 ,95 ,93.7 ,83.3 ,58.0,-24.6 ,0.8 ,98.7
465980 ,94.4 ,96 ,93.7 ,82.2 ,58.0,-24.6 ,0.9 ,98.7
466070 ,94.4 ,96 ,93.7 ,82.2 ,58.0,-24.6 ,0.9 ,98.6
466190 ,94.4 ,95 ,92.7 ,82.2 ,58.0,-24.6 ,0.8 ,98.7
466280 ,94.4 ,95 ,93.7 ,82.2 ,58.0,-24.5 ,0.9 ,98.7
466400 ,94.4 ,95 ,93.7 ,83.3 ,58.0,-24.6 ,0.8 ,98.7
466490 ,94.4 ,95 ,93.7 ,83.3 ,56.7,-24.6 ,0.8 ,98.6
466610 ,94.4 ,95 ,93.7 ,83.3 ,58.0,-24.6 ,0.8 ,98.7
466700 ,94.4 ,95 ,93.7 ,82.2 ,58.0,-24.6 ,0.8 ,98.7
466790 ,94.4 ,95 ,93.7 ,82.2 ,58.0,-24.5 ,0.8 ,98.8
466910 ,94.4 ,95 ,93.7 ,83.3 ,56.7,-24.5 ,0.9 ,98.7
467000 ,94.4 ,95 ,93.7 ,82.2 ,56.7,-24.5 ,0.9 ,98.8
467090 ,95.2 ,96 ,92.7 ,82.2 ,56.7,-24.6 ,0.8 ,98.7
467210 ,94.4 ,96 ,93.7 ,83.3 ,58.0,-24.6 ,0.8 ,98.7
467300 ,94.4 ,95 ,93.7 ,83.3 ,58.0,-24.6 ,0.8 ,98.7
467390 ,95.2 ,96 ,93.7 ,82.2 ,56.7,-24.6 ,0.8 ,98.7
467510 ,94.4 ,95 ,93.7 ,83.3 ,56.7,-24.6 ,0.7 ,98.7
467600 ,95.2 ,95 ,92.7 ,83.3 ,56.7,-24.6 ,0.6 ,98.6
467690 ,94.4 ,95 ,93.7 ,83.3 ,56.7,-24.6 ,0.6 ,98.6
467810 ,95.2 ,96 ,93.7 ,82.2 ,56.7,-24.6 ,0.6 ,98.7
467900 ,95.2 ,95 ,92.7 ,82.2 ,56.7,-24.6 ,0.6 ,98.7
467990 ,95.2 ,96 ,93.7 ,82.2 ,56.7,-24.6 ,0.6 ,98.7
468110 ,94.4 ,95 ,93.7 ,82.2 ,56.7,-24.6 ,0.6 ,98.7
468200 ,94.4 ,95 ,93.7 ,82.2 ,56.7,-24.7 ,0.6 ,98.7
468290 ,94.4 ,95 ,93.7 ,83.3 ,56.7,-24.7 ,0.6 ,98.7
468410 ,94.4 ,96 ,93.7 ,82.2 ,56.7,-24.7 ,0.5 ,98.7
468500 ,94.4 ,96 ,92.7 ,82.2 ,56.7,-24.6 ,0.6 ,98.7
468590 ,94.4 ,95 ,93.7 ,82.2 ,56.7,-24.6 ,0.7 ,98.7
468710 ,94.4 ,95 ,93.7 ,82.2 ,58.0,-24.5 ,0.7 ,98.6
468800 ,94.4 ,95 ,93.7 ,82.2 ,56.7,-24.5 ,0.8 ,98.5
468890 ,94.4 ,95 ,93.7 ,83.3 ,56.7,-24.6 ,0.8 ,98.5
469010 ,94.4 ,96 ,93.7 ,82.2 ,55.5,-24.6 ,0.9 ,98.5
469100 ,94.4 ,95 ,92.7 ,83.3 ,56.7,-24.5 ,0.9 ,98.6
469190 ,94.4 ,95 ,93.7 ,82.2 ,56.7,-24.5 ,0.9 ,98.5
469310 ,93.6 ,95 ,93.7 ,83.3 ,56.7,-24.5 ,0.8 ,98.6
469400 ,95.2 ,95 ,93.7 ,83.3 ,56.7,-24.5 ,0.8 ,98.6
469490 ,95.2 ,95 ,93.7 ,83.3 ,56.7,-24.5 ,0.9 ,98.7
469610 ,95.2 ,95 ,93.7 ,83.3 ,55.5,-24.5 ,0.8 ,98.7
469700 ,95.2 ,95 ,93.7 ,83.3 ,55.5,-24.6 ,0.7 ,98.7
469790 ,95.2 ,96 ,93.7 ,82.2 ,56.7,-24.5 ,0.8 ,98.7
469910 ,94.4 ,96 ,93.7 ,82.2 ,55.5,-24.5 ,0.8 ,98.7
470000 ,94.4 ,95 ,93.7 ,82.2 ,55.5,-24.5 ,0.7 ,98.6
470120 ,95.2 ,95 ,92.7 ,83.3 ,56.7,-24.5 ,0.7 ,98.6
470210 ,95.2 ,95 ,92.7 ,83.3 ,56.7,-24.5 ,0.7 ,98.6
470300 ,94.4 ,95 ,92.7 ,82.2 ,56.7,-24.5 ,0.7 ,98.6
470420 ,95.2 ,96 ,93.7 ,83.3 ,55.5,-24.5 ,0.6 ,98.6
470510 ,94.4 ,95 ,93.7 ,83.3 ,56.7,-24.6 ,0.6 ,98.6
470600 ,94.4 ,95 ,93.7 ,83.3 ,55.5,-24.6 ,0.5 ,98.6
470720 ,94.4 ,95 ,92.7 ,83.3 ,56.7,-24.6 ,0.5 ,98.7
470810 ,95.2 ,96 ,93.7 ,82.2 ,55.5,-24.6 ,0.5 ,98.7
470900 ,94.4 ,96 ,93.7 ,83.3 ,55.5,-24.6 ,0.4 ,98.7
471020 ,94.4 ,95 ,93.7 ,82.2 ,56.7,-24.6 ,0.6 ,98.7
471110 ,94.4 ,95 ,93.7 ,82.2 ,56.7,-24.7 ,0.6 ,98.7
471200 ,94.4 ,95 ,93.7 ,83.3 ,56.7,-24.7 ,0.5 ,98.8
471320 ,94.4 ,95 ,93.7 ,82.2 ,56.7,-24.6 ,0.6 ,98.8
471410 ,94.4 ,95 ,93.7 ,83.3 ,56.7,-24.7 ,0.7 ,98.7
471500 ,94.4 ,96 ,92.7 ,82.2 ,56.7,-24.6 ,0.6 ,98.8
471620 ,94.4 ,96 ,93.7 ,82.2 ,55.5,-24.6 ,0.5 ,98.9
471710 ,94.4 ,95 ,93.7 ,83.3 ,56.7,-24.5 ,0.7 ,98.9
471800 ,95.2 ,95 ,92.7 ,83.3 ,56.7,-24.5 ,0.8 ,98.8
471920 ,95.2 ,95 ,93.7 ,82.2 ,56.7,-24.4 ,0.8 ,98.8
472010 ,95.2 ,95 ,92.7 ,82.2 ,55.5,-24.4 ,0.7 ,98.8
472100 ,95.2 ,96 ,93.7 ,82.2 ,55.5,-24.4 ,0.8 ,98.8
472220 ,95.2 ,96 ,92.7 ,82.2 ,56.7,-24.4 ,1.0 ,98.9
472310 ,94.4 ,96 ,93.7 ,81.2 ,56.7,-24.3 ,1.0 ,99.0
472400 ,94.4 ,95 ,92.7 ,83.3 ,55.5,-24.3 ,1.1 ,99.0
472520 ,95.2 ,95 ,93.7 ,83.3 ,56.7,-24.4 ,1.2 ,99.0
472610 ,94.4 ,95 ,93.7 ,83.3 ,55.5,-24.3 ,1.3 ,99.1
472700 ,95.2 ,95 ,93.7 ,82.2 ,55.5,-24.4 ,1.4 ,99.2
472820 ,94.4 ,95 ,93.7 ,83.3 ,55.5,-24.4 ,1.3 ,99.1
472910 ,95.2 ,95 ,92.7 ,83.3 ,55.5,-24.4 ,1.2 ,99.0
473030 ,95.2 ,95 ,93.7 ,82.2 ,55.5,-24.3 ,1.2 ,98.8
473120 ,94.4 ,95 ,93.7 ,83.3 ,55.5,-24.3 ,1.4 ,98.7
