TIME, F1, F2, F3, F4, F5, ROLL, PITCH, YAW
300780 ,97.4 ,94 ,84.6 ,17.8 ,77.9,-166.8 ,-41.0 ,118.1
300900 ,97.4 ,94 ,85.7 ,17.8 ,77.9,-166.9 ,-41.4 ,117.9
300990 ,97.4 ,94 ,85.7 ,17.8 ,77.9,-166.8 ,-41.5 ,117.9
301080 ,97.4 ,94 ,85.7 ,17.8 ,76.4,-166.9 ,-41.4 ,118.0
301200 ,96.5 ,94 ,85.7 ,17.8 ,77.9,-166.8 ,-41.5 ,117.9
301290 ,97.4 ,94 ,84.6 ,17.8 ,76.4,-166.7 ,-41.6 ,117.8
301380 ,96.5 ,94 ,85.7 ,16.8 ,77.9,-166.7 ,-41.8 ,117.7
301500 ,96.5 ,94 ,85.7 ,16.8 ,77.9,-166.6 ,-41.8 ,117.7
301590 ,96.5 ,93 ,85.7 ,17.8 ,77.9,-166.8 ,-41.9 ,117.8
301680 ,97.4 ,93 ,85.7 ,16.8 ,77.9,-166.9 ,-41.8 ,118.0
301800 ,97.4 ,94 ,85.7 ,17.8 ,77.9,-166.9 ,-41.8 ,118.1
301890 ,97.4 ,94 ,84.6 ,16.8 ,77.9,-167.0 ,-41.8 ,118.1
301980 ,97.4 ,94 ,85.7 ,16.8 ,77.9,-167.0 ,-41.8 ,118.1
302100 ,97.4 ,93 ,85.7 ,16.8 ,77.9,-167.0 ,-41.7 ,118.1
302190 ,96.5 ,93 ,85.7 ,17.8 ,77.9,-166.9 ,-41.6 ,118.1
302280 ,96.5 ,94 ,85.7 ,16.8 ,79.4,-167.0 ,-41.5 ,118.2
302400 ,96.5 ,94 ,85.7 ,16.8 ,77.9,-167.1 ,-41.8 ,118.2
302490 ,96.5 ,93 ,84.6 ,16.8 ,79.4,-166.8 ,-41.6 ,118.3
302580 ,97.4 ,94 ,84.6 ,17.8 ,79.4,-166.5 ,-41.5 ,118.4
302700 ,97.4 ,93 ,84.6 ,18.9 ,79.4,-166.2 ,-41.6 ,118.5
302790 ,97.4 ,94 ,85.7 ,17.8 ,79.4,-166.1 ,-42.0 ,118.5
302880 ,96.5 ,94 ,85.7 ,17.8 ,77.9,-166.2 ,-42.2 ,118.6
303000 ,96.5 ,93 ,85.7 ,18.9 ,79.4,-166.0 ,-42.1 ,118.6
303090 ,97.4 ,94 ,84.6 ,17.8 ,77.9,-166.0 ,-42.2 ,118.6
303180 ,97.4 ,93 ,84.6 ,17.8 ,79.4,-165.8 ,-42.2 ,118.5
303300 ,96.5 ,93 ,85.7 ,17.8 ,77.9,-166.0 ,-42.4 ,118.6
303390 ,96.5 ,94 ,84.6 ,17.8 ,77.9,-166.0 ,-42.3 ,118.6
